Symbol,Name,Last_Close,LSTM_Base_Return(%)
300223,北京君正,121.83,-2.71
300458,全志科技,41.96,0.25
300474,景嘉微,71.58,-0.66
301536,星宸科技,70.96,-0.93
603160,汇顶科技,78.7,-0.24
603501,韦尔股份,115.82,-0.05
603893,瑞芯微,184.35,-0.5
688008,澜起科技,164.6,0.76
688018,乐鑫科技,167.3,-0.27
688099,晶晨股份,94.28,0.19
688256,寒武纪,1120.68,2.85
688385,复旦微电,85.65,-1.57
688521,芯原股份,275.5,-3.73
688608,恒玄科技,209.01,0.13
002281,光迅科技,70.02,-1.46
300308,中际旭创,531.0,5.1
300502,新易盛,366.11,1.26
000938,紫光股份,25.5,0.27
000977,浪潮信息,65.33,0.04
002261,拓维信息,33.16,0.13
300383,光环新网,17.75,-1.01
300442,润泽科技,76.5,-3.43
300857,协创数据,247.87,-3.65
600100,同方股份,9.33,-1.36
603019,中科曙光,91.7,0.26
002402,和而泰,36.01,3.97
603486,科沃斯,70.86,-0.4
688169,石头科技,148.2,0.73
002920,德赛西威,122.63,-1.35
600699,均胜电子,27.9,-2.72
002230,科大讯飞,57.12,0.01
002555,三七互娱,25.18,0.15
300002,神州泰岳,12.21,0.47
300418,昆仑万维,60.39,-1.99
688615,合合信息,239.72,2.82
002236,大华股份,18.92,-0.0
002415,海康威视,32.38,-0.25
688322,奥比中光,96.77,0.39
688475,萤石网络,30.29,0.26
000032,深桑达A,20.8,-1.03
002065,东华软件,9.62,0.06
002152,广电运通,13.46,-0.4
300454,深信服,146.51,-0.13
300496,中科创达,73.8,-0.16
600536,中国软件,45.13,-0.23
600588,用友网络,14.6,-0.5
600845,宝信软件,23.91,0.0
601360,三六零,12.9,-0.52
688111,金山办公,307.28,0.04
688568,中科星图,65.1,-1.62
