date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300223,70.08,70.84,71.09,69.42,26785,189921506.0,2.38,1.11,0.78,0.65
2023-01-04,300223,70.84,69.6,71.95,69.3,39796,281462924.0,3.74,-1.75,-1.24,0.97
2023-01-05,300223,69.8,70.04,70.55,69.3,26789,188623715.0,1.8,0.63,0.44,0.65
2023-01-06,300223,69.67,70.66,71.35,69.19,41896,297437437.0,3.08,0.89,0.62,1.02
2023-01-09,300223,70.22,70.63,71.99,70.2,41320,294486335.0,2.53,-0.04,-0.03,1.01
2023-01-10,300223,70.53,71.43,72.22,70.28,47905,344197967.0,2.75,1.13,0.8,1.17
2023-01-11,300223,71.3,71.15,72.7,71.02,41675,301036341.0,2.35,-0.39,-0.28,1.02
2023-01-12,300223,71.15,69.82,71.37,69.42,41272,290333540.0,2.74,-1.87,-1.33,1.01
2023-01-13,300223,69.82,69.83,70.32,69.28,27707,193985394.0,1.49,0.01,0.01,0.68
2023-01-16,300223,69.28,75.18,75.42,69.13,102769,749822608.0,9.01,7.66,5.35,2.51
2023-01-17,300223,74.67,76.24,77.38,74.44,88305,677709873.0,3.91,1.41,1.06,2.15
2023-01-18,300223,76.52,76.21,76.54,75.3,40080,305666541.0,1.63,-0.04,-0.03,0.98
2023-01-19,300223,76.24,79.35,79.62,75.8,82902,652328497.0,5.01,4.12,3.14,2.02
2023-01-20,300223,78.73,79.61,79.91,78.55,56467,450003561.0,1.71,0.33,0.26,1.38
2023-01-30,300223,79.95,79.34,80.54,77.83,52537,419690377.0,3.4,-0.34,-0.27,1.28
2023-01-31,300223,78.63,77.47,79.58,77.28,45970,359926685.0,2.9,-2.36,-1.87,1.12
2023-02-01,300223,77.49,79.1,79.7,77.49,42407,334878130.0,2.85,2.1,1.63,1.03
2023-02-02,300223,79.26,78.75,80.62,78.74,60337,482960342.0,2.38,-0.44,-0.35,1.47
2023-02-03,300223,78.14,78.54,79.4,77.12,40809,319965646.0,2.9,-0.27,-0.21,0.99
2023-02-06,300223,77.7,77.52,78.98,77.38,25036,195943351.0,2.04,-1.3,-1.02,0.61
2023-02-07,300223,78.11,77.81,78.29,76.87,26765,208588523.0,1.83,0.37,0.29,0.65
2023-02-08,300223,78.22,76.93,80.01,76.8,42451,333462309.0,4.13,-1.13,-0.88,1.03
2023-02-09,300223,76.42,79.92,80.32,75.93,88775,706333263.0,5.71,3.89,2.99,2.16
2023-02-10,300223,80.62,80.34,84.11,79.72,118700,977659200.0,5.49,0.53,0.42,2.89
2023-02-13,300223,80.12,80.9,82.49,78.53,109276,879050621.0,4.93,0.7,0.56,2.66
2023-02-14,300223,80.39,79.38,83.32,79.01,79900,646070255.0,5.33,-1.88,-1.52,1.95
2023-02-15,300223,79.13,80.32,80.62,78.3,67429,538329538.0,2.92,1.18,0.94,1.64
2023-02-16,300223,81.56,83.2,86.3,80.23,196923,1655629005.0,7.56,3.59,2.88,4.8
2023-02-17,300223,82.52,76.97,83.27,76.92,172507,1376637925.0,7.63,-7.49,-6.23,4.21
2023-02-20,300223,76.57,76.61,76.95,74.23,91565,693826999.0,3.53,-0.47,-0.36,2.23
2023-02-21,300223,76.3,76.22,77.31,75.39,52660,403484880.0,2.51,-0.51,-0.39,1.28
2023-02-22,300223,75.18,76.61,77.21,75.13,37459,286502550.0,2.73,0.51,0.39,0.91
2023-02-23,300223,76.42,76.52,77.02,75.63,33773,259066042.0,1.81,-0.12,-0.09,0.82
2023-02-24,300223,77.32,76.62,77.89,76.48,43306,335531507.0,1.84,0.13,0.1,1.06
2023-02-27,300223,75.42,74.5,76.32,74.13,44187,333600469.0,2.86,-2.77,-2.12,1.08
2023-02-28,300223,74.94,75.32,75.4,73.96,26819,201587255.0,1.93,1.1,0.82,0.65
2023-03-01,300223,74.82,76.09,76.31,74.71,41263,313401011.0,2.12,1.02,0.77,1.01
2023-03-02,300223,76.12,76.04,77.72,75.84,41943,322954723.0,2.47,-0.07,-0.05,1.02
2023-03-03,300223,78.42,77.52,79.13,76.69,73509,576183786.0,3.21,1.95,1.48,1.79
2023-03-06,300223,76.62,76.72,77.6,75.74,51846,399107271.0,2.4,-1.03,-0.8,1.26
2023-03-07,300223,76.72,74.5,77.17,74.5,43018,326335250.0,3.48,-2.89,-2.22,1.05
2023-03-08,300223,74.13,75.74,75.84,74.07,33986,256896088.0,2.38,1.66,1.24,0.83
2023-03-09,300223,75.75,75.5,76.9,75.35,45143,345668035.0,2.05,-0.32,-0.24,1.1
2023-03-10,300223,74.56,73.59,75.6,73.43,48581,363149973.0,2.87,-2.53,-1.91,1.18
2023-03-13,300223,73.37,73.53,74.32,72.62,38407,283806669.0,2.31,-0.08,-0.06,0.94
2023-03-14,300223,73.01,77.39,77.77,72.78,100015,759531528.0,6.79,5.25,3.86,2.44
2023-03-15,300223,78.06,76.81,78.42,76.68,69831,543676350.0,2.25,-0.75,-0.58,1.7
2023-03-16,300223,76.12,76.97,78.47,76.12,69593,541908536.0,3.06,0.21,0.16,1.7
2023-03-17,300223,78.12,77.99,78.74,76.96,85493,668759797.0,2.31,1.33,1.02,2.08
2023-03-20,300223,77.94,79.16,80.72,77.62,105295,841862865.0,3.97,1.5,1.17,2.57
2023-03-21,300223,79.22,79.26,79.82,78.22,54137,429515980.0,2.02,0.13,0.1,1.32
2023-03-22,300223,79.36,79.78,80.52,78.54,63826,510675388.0,2.5,0.66,0.52,1.56
2023-03-23,300223,79.12,84.98,85.42,79.12,175533,1462294990.0,7.9,6.52,5.2,4.28
2023-03-24,300223,84.5,85.05,86.12,82.62,145034,1229386477.0,4.12,0.08,0.07,3.54
2023-03-27,300223,84.3,83.16,85.34,82.42,115744,973343544.0,3.43,-2.22,-1.89,2.82
2023-03-28,300223,82.44,81.45,83.22,81.22,72678,598515953.0,2.41,-2.06,-1.71,1.77
2023-03-29,300223,81.42,84.05,85.07,80.92,128763,1078553913.0,5.1,3.19,2.6,3.14
2023-03-30,300223,84.9,88.38,91.53,84.9,259997,2323591447.0,7.89,5.15,4.33,6.34
2023-03-31,300223,87.63,88.63,89.28,86.57,120571,1065062832.0,3.07,0.28,0.25,2.94
2023-04-03,300223,98.02,99.92,105.17,96.28,416776,4201870219.0,10.03,12.74,11.29,10.16
2023-04-04,300223,99.64,109.86,112.2,99.64,478488,5029786342.0,12.57,9.95,9.94,11.67
2023-04-06,300223,108.48,109.0,119.5,107.33,441981,5044260628.0,11.08,-0.78,-0.86,10.78
2023-04-07,300223,111.41,112.6,115.52,108.13,345887,3876455203.0,6.78,3.3,3.6,8.43
2023-04-10,300223,111.27,103.61,112.5,102.02,347318,3744268254.0,9.31,-7.98,-8.99,8.47
2023-04-11,300223,106.62,108.74,112.77,106.38,337800,3709068196.0,6.17,4.95,5.13,8.24
2023-04-12,300223,108.26,108.35,110.39,104.74,209583,2271525807.0,5.2,-0.36,-0.39,5.11
2023-04-13,300223,106.22,104.23,107.12,103.62,167932,1773504508.0,3.23,-3.8,-4.12,4.09
2023-04-14,300223,104.3,103.62,105.1,97.92,270068,2766414698.0,6.89,-0.59,-0.61,6.58
2023-04-17,300223,102.62,101.82,105.62,101.3,154101,1592900168.0,4.17,-1.74,-1.8,3.76
2023-04-18,300223,101.07,102.2,102.99,98.62,142306,1436870915.0,4.29,0.37,0.38,3.47
2023-04-19,300223,100.79,101.43,105.02,100.62,176601,1823285257.0,4.31,-0.75,-0.77,4.31
2023-04-20,300223,99.62,105.1,105.1,99.62,216993,2245003371.0,5.4,3.62,3.67,5.29
2023-04-21,300223,103.72,95.37,103.72,93.55,262280,2582722097.0,9.68,-9.26,-9.73,6.39
2023-04-24,300223,95.2,91.95,96.32,90.92,171219,1597969438.0,5.66,-3.59,-3.42,4.17
2023-04-25,300223,93.4,92.85,96.22,92.02,166916,1575019668.0,4.57,0.98,0.9,4.07
2023-04-26,300223,91.46,87.42,92.31,86.73,174497,1556590205.0,6.01,-5.85,-5.43,4.25
2023-04-27,300223,87.53,87.45,90.23,86.68,116378,1034314471.0,4.06,0.03,0.03,2.84
2023-04-28,300223,86.02,88.04,88.92,85.88,120234,1060369053.0,3.48,0.67,0.59,2.93
2023-05-04,300223,86.65,83.67,87.36,83.12,133459,1132964626.0,4.82,-4.96,-4.37,3.25
2023-05-05,300223,83.52,82.07,85.05,81.61,96055,800055812.0,4.11,-1.91,-1.6,2.34
2023-05-08,300223,82.08,82.58,82.9,81.42,92503,764189896.0,1.8,0.62,0.51,2.26
2023-05-09,300223,82.6,81.43,83.7,81.43,108621,898443261.0,2.75,-1.39,-1.15,2.65
2023-05-10,300223,81.15,79.96,81.92,79.04,82479,663575911.0,3.54,-1.81,-1.47,2.01
2023-05-11,300223,80.26,81.27,81.72,79.34,114007,925479717.0,2.98,1.64,1.31,2.78
2023-05-12,300223,81.27,79.42,82.9,79.42,105936,865178457.0,4.28,-2.28,-1.85,2.58
2023-05-15,300223,78.44,79.91,79.91,78.0,71313,565510391.0,2.4,0.62,0.49,1.74
2023-05-16,300223,80.91,83.59,85.76,79.03,205007,1710503639.0,8.42,4.61,3.68,4.98
2023-05-17,300223,83.58,84.76,87.55,82.27,180282,1546670022.0,6.32,1.4,1.17,4.38
2023-05-18,300223,83.63,83.89,85.43,82.95,108782,918535613.0,2.93,-1.03,-0.87,2.64
2023-05-19,300223,85.56,88.49,90.48,85.36,217574,1934454353.0,6.1,5.48,4.6,5.29
2023-05-22,300223,94.82,91.0,95.61,89.39,249298,2305300152.0,7.03,2.84,2.51,6.0
2023-05-23,300223,88.82,88.12,90.31,87.02,145146,1292354930.0,3.62,-3.16,-2.88,3.49
2023-05-24,300223,86.92,88.33,90.98,85.18,165320,1466997374.0,6.58,0.24,0.21,3.98
2023-05-25,300223,89.33,90.55,91.33,86.3,146322,1305113167.0,5.69,2.51,2.22,3.52
2023-05-26,300223,89.83,93.63,95.62,89.25,219545,2053104233.0,7.03,3.4,3.08,5.28
2023-05-29,300223,94.23,90.92,96.11,90.84,164881,1540353021.0,5.63,-2.89,-2.71,3.97
2023-05-30,300223,90.22,93.39,93.42,88.81,140981,1291384936.0,5.07,2.72,2.47,3.39
2023-05-31,300223,92.37,94.04,95.57,90.43,178226,1668627427.0,5.5,0.7,0.65,4.29
2023-06-01,300223,92.38,91.68,94.52,91.3,141196,1312793132.0,3.42,-2.51,-2.36,3.4
2023-06-02,300223,91.64,89.89,92.02,89.22,114303,1035502391.0,3.05,-1.95,-1.79,2.75
2023-06-05,300223,89.29,88.74,91.38,88.53,92943,838487404.0,3.17,-1.28,-1.15,2.24
2023-06-06,300223,88.12,84.62,88.52,84.49,119038,1032884767.0,4.54,-4.64,-4.12,2.86
2023-06-07,300223,85.2,85.25,86.2,83.98,70124,599266057.0,2.62,0.74,0.63,1.69
2023-06-08,300223,85.26,83.7,85.3,82.82,71526,600152859.0,2.91,-1.82,-1.55,1.72
2023-06-09,300223,84.15,87.86,87.98,82.91,118954,1019788633.0,6.06,4.97,4.16,2.86
2023-06-12,300223,86.81,87.96,89.62,86.7,88340,782799965.0,3.32,0.11,0.1,2.12
2023-06-13,300223,87.75,93.93,94.53,87.61,206174,1899411723.0,7.87,6.79,5.97,4.96
2023-06-14,300223,93.47,93.31,94.7,92.61,121210,1136326458.0,2.23,-0.66,-0.62,2.92
2023-06-15,300223,93.7,91.1,94.0,90.89,104134,960206099.0,3.33,-2.37,-2.21,2.5
2023-06-16,300223,90.71,93.06,93.55,90.19,112770,1043686090.0,3.69,2.15,1.96,2.71
2023-06-19,300223,92.25,93.45,95.22,91.5,147438,1386781188.0,4.0,0.42,0.39,3.55
2023-06-20,300223,92.4,92.0,93.33,91.45,103979,961176904.0,2.01,-1.55,-1.45,2.5
2023-06-21,300223,91.6,86.52,91.9,86.5,125450,1112546708.0,5.87,-5.96,-5.48,3.02
2023-06-26,300223,84.8,86.91,88.38,84.8,93623,815629314.0,4.14,0.45,0.39,2.25
2023-06-27,300223,86.5,86.46,88.16,86.3,67461,588741397.0,2.14,-0.52,-0.45,1.62
