date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300458,15.2,15.58,15.61,15.03,78034,160504985.0,3.81,2.23,0.34,1.54
2023-01-04,300458,15.48,15.6,15.99,15.48,96404,202701813.0,3.27,0.13,0.02,1.9
2023-01-05,300458,15.53,15.88,15.88,15.45,89218,187105604.0,2.76,1.79,0.28,1.76
2023-01-06,300458,15.99,15.72,16.06,15.7,111919,237500105.0,2.27,-1.01,-0.16,2.21
2023-01-09,300458,15.76,15.88,16.08,15.73,79761,169118105.0,2.23,1.02,0.16,1.57
2023-01-10,300458,15.94,16.06,16.52,15.88,135806,293532681.0,4.03,1.13,0.18,2.68
2023-01-11,300458,16.0,15.68,16.35,15.65,115129,245616083.0,4.36,-2.37,-0.38,2.27
2023-01-12,300458,15.58,15.66,15.76,15.38,64221,134098949.0,2.42,-0.13,-0.02,1.27
2023-01-13,300458,15.69,15.58,15.73,15.43,53674,111455687.0,1.92,-0.51,-0.08,1.06
2023-01-16,300458,15.43,15.82,15.94,15.42,92797,195676063.0,3.34,1.54,0.24,1.83
2023-01-17,300458,15.88,15.99,16.28,15.82,123949,265772849.0,2.91,1.07,0.17,2.44
2023-01-18,300458,16.19,16.2,16.62,16.05,119098,258589005.0,3.56,1.31,0.21,2.35
2023-01-19,300458,16.16,16.87,17.23,16.09,223400,498251422.0,7.04,4.14,0.67,4.4
2023-01-20,300458,16.96,17.07,17.26,16.92,151785,345104991.0,2.02,1.19,0.2,2.99
2023-01-30,300458,17.35,17.05,17.45,16.91,167240,381483312.0,3.16,-0.12,-0.02,3.3
2023-01-31,300458,16.98,16.82,17.26,16.79,127573,287721060.0,2.76,-1.35,-0.23,2.51
2023-02-01,300458,16.81,17.16,17.25,16.79,158384,360007644.0,2.73,2.02,0.34,3.12
2023-02-02,300458,17.25,17.61,18.0,17.18,279336,652531560.0,4.78,2.62,0.45,5.5
