date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300474,54.27,56.08,56.45,53.3,44749,250202719.0,5.8,3.34,1.81,1.41
2023-01-04,300474,56.08,55.74,56.92,55.08,39475,221320346.0,3.28,-0.61,-0.34,1.24
2023-01-05,300474,55.4,55.9,56.07,55.09,30546,170822900.0,1.76,0.29,0.16,0.96
2023-01-06,300474,55.89,55.58,56.31,55.2,33621,188184342.0,1.99,-0.57,-0.32,1.06
2023-01-09,300474,55.45,54.56,56.63,54.45,43049,239390151.0,3.92,-1.84,-1.02,1.36
2023-01-10,300474,54.15,54.5,55.5,54.15,34862,192203210.0,2.47,-0.11,-0.06,1.1
2023-01-11,300474,54.65,53.5,55.81,53.31,43268,237479796.0,4.59,-1.83,-1.0,1.36
2023-01-12,300474,53.56,53.59,54.24,53.03,29880,161318942.0,2.26,0.17,0.09,0.94
2023-01-13,300474,53.42,53.0,53.9,52.4,30439,162100551.0,2.8,-1.1,-0.59,0.96
2023-01-16,300474,52.99,54.8,55.44,52.9,43809,239580959.0,4.79,3.4,1.8,1.38
2023-01-17,300474,54.85,57.1,59.59,54.7,91315,526708805.0,8.92,4.2,2.3,2.88
2023-01-18,300474,56.88,58.59,59.3,56.8,80562,470173906.0,4.38,2.61,1.49,2.54
2023-01-19,300474,58.18,60.36,60.9,58.12,84214,507778317.0,4.74,3.02,1.77,2.66
2023-01-20,300474,59.88,60.08,60.8,59.39,59406,358607418.0,2.34,-0.46,-0.28,1.87
2023-01-30,300474,61.2,60.34,61.55,59.46,56489,341985753.0,3.48,0.43,0.26,1.78
2023-01-31,300474,59.7,59.7,60.2,59.15,45793,274191338.0,1.74,-1.06,-0.64,1.44
2023-02-01,300474,59.6,61.91,62.15,59.6,84226,519654981.0,4.27,3.7,2.21,2.66
2023-02-02,300474,63.2,65.7,67.2,63.2,150780,991294266.0,6.46,6.12,3.79,4.75
2023-02-03,300474,64.68,65.95,66.36,63.5,89288,583055566.0,4.35,0.38,0.25,2.82
2023-02-06,300474,66.6,65.89,68.18,64.2,110597,735223327.0,6.03,-0.09,-0.06,3.49
2023-02-07,300474,66.3,69.76,71.3,66.21,189921,1325978167.0,7.72,5.87,3.87,5.99
2023-02-08,300474,71.28,68.59,71.35,66.3,159827,1101050767.0,7.24,-1.68,-1.17,5.04
2023-02-09,300474,67.2,82.37,82.37,66.2,293441,2263123941.0,23.57,20.09,13.78,9.25
2023-02-10,300474,85.69,80.7,86.69,79.4,307216,2575356018.0,8.85,-2.03,-1.67,9.69
2023-02-13,300474,79.7,84.49,88.23,79.65,288557,2429349891.0,10.63,4.7,3.79,9.1
2023-02-14,300474,82.76,83.63,86.58,80.59,219916,1824869578.0,7.09,-1.02,-0.86,6.93
2023-02-15,300474,80.4,85.78,87.46,77.62,339401,2779718209.0,11.77,2.57,2.15,10.7
2023-02-16,300474,83.44,79.42,83.44,78.28,247233,2015964407.0,6.02,-7.41,-6.36,7.8
2023-02-17,300474,78.76,74.03,79.41,73.93,204194,1553222682.0,6.9,-6.79,-5.39,6.44
2023-02-20,300474,74.03,76.01,76.45,73.04,135882,1021315426.0,4.61,2.67,1.98,4.28
2023-02-21,300474,75.55,74.57,77.7,73.48,135894,1027411273.0,5.55,-1.89,-1.44,4.28
2023-02-22,300474,73.37,74.05,74.75,72.87,97394,721232770.0,2.52,-0.7,-0.52,3.07
2023-02-23,300474,74.2,75.55,78.5,72.7,202172,1545092760.0,7.83,2.03,1.5,6.37
2023-02-24,300474,77.7,73.93,78.5,73.7,201080,1538757304.0,6.35,-2.14,-1.62,6.34
2023-02-27,300474,72.61,71.17,74.21,70.56,169601,1222131895.0,4.94,-3.73,-2.76,5.34
2023-02-28,300474,72.7,71.96,73.25,70.5,113060,816432699.0,3.86,1.11,0.79,3.56
2023-03-01,300474,71.73,74.72,75.57,71.21,175098,1301202838.0,6.06,3.84,2.76,5.51
2023-03-02,300474,74.5,77.71,79.46,73.46,229005,1763795950.0,8.03,4.0,2.99,7.21
2023-03-03,300474,77.71,79.9,81.7,75.5,230872,1816963317.0,7.98,2.82,2.19,7.27
2023-03-06,300474,78.67,77.42,79.6,77.2,125748,985191529.0,3.0,-3.1,-2.48,3.96
2023-03-07,300474,76.9,73.08,78.39,73.07,132185,998863953.0,6.87,-5.61,-4.34,4.16
2023-03-08,300474,73.09,74.41,74.85,72.92,93161,691531159.0,2.64,1.82,1.33,2.93
2023-03-09,300474,74.65,73.26,74.7,72.4,86906,641715274.0,3.09,-1.55,-1.15,2.74
2023-03-10,300474,72.38,73.27,75.27,72.2,98535,731004400.0,4.19,0.01,0.01,3.1
2023-03-13,300474,73.08,75.92,75.92,72.71,116962,878164660.0,4.38,3.62,2.65,3.68
2023-03-14,300474,74.95,77.08,78.5,73.9,154472,1184785845.0,6.06,1.53,1.16,4.86
2023-03-15,300474,77.72,75.74,79.85,75.5,144615,1128523722.0,5.64,-1.74,-1.34,4.55
2023-03-16,300474,75.01,74.59,77.1,73.8,99190,752453244.0,4.36,-1.52,-1.15,3.12
2023-03-17,300474,74.79,80.42,84.1,74.79,274133,2202283117.0,12.48,7.82,5.83,8.63
2023-03-20,300474,80.71,78.75,82.43,78.58,196840,1593087436.0,4.79,-2.08,-1.67,6.2
2023-03-21,300474,79.6,78.76,79.8,76.7,157340,1239426899.0,3.94,0.01,0.01,4.95
2023-03-22,300474,78.91,83.96,85.66,78.32,334269,2749935946.0,9.32,6.6,5.2,10.52
2023-03-23,300474,80.7,100.81,100.81,80.7,521854,4817181627.0,23.95,20.07,16.85,16.43
2023-03-24,300474,103.7,112.75,117.0,101.52,563281,6071045432.0,15.36,11.84,11.94,17.73
2023-03-27,300474,113.0,118.7,121.9,109.69,424974,4949124708.0,10.83,5.28,5.95,13.38
2023-03-28,300474,114.7,109.12,117.58,107.59,333456,3789958576.0,8.42,-8.07,-9.58,10.5
2023-03-29,300474,109.12,108.46,116.68,103.0,439250,4812462075.0,12.54,-0.6,-0.66,13.83
2023-03-30,300474,109.72,116.95,121.48,109.47,414429,4758814986.0,11.07,7.83,8.49,13.05
2023-03-31,300474,115.9,121.7,122.7,110.59,334247,3901511313.0,10.35,4.06,4.75,10.23
2023-04-03,300474,120.98,136.91,137.06,120.78,351509,4554902341.0,13.38,12.5,15.21,10.76
2023-04-04,300474,137.7,130.55,142.9,126.98,379265,5135367129.0,11.63,-4.65,-6.36,11.61
2023-04-06,300474,126.71,127.27,136.18,121.47,401798,5182994420.0,11.27,-2.51,-3.28,12.3
2023-04-07,300474,123.7,127.0,128.7,122.71,272860,3445797225.0,4.71,-0.21,-0.27,8.35
2023-04-10,300474,122.2,107.59,122.62,105.47,429089,4853967652.0,13.5,-15.28,-19.41,13.13
2023-04-11,300474,110.11,110.15,113.4,105.64,306317,3374886891.0,7.21,2.38,2.56,9.38
