date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688018,45.25,46.63,47.31,44.78,4696,43234649.0,5.6,3.23,1.46,0.58
2023-01-04,688018,46.99,45.45,47.45,45.14,4821,44252154.0,4.95,-2.53,-1.18,0.6
2023-01-05,688018,46.01,45.91,46.36,45.1,3929,35901631.0,2.77,1.01,0.46,0.49
2023-01-06,688018,46.47,45.81,46.61,45.1,4033,36994234.0,3.29,-0.22,-0.1,0.5
2023-01-09,688018,45.81,46.27,47.25,45.6,5817,53643275.0,3.6,1.0,0.46,0.72
2023-01-10,688018,46.12,47.54,48.21,45.91,7254,68442666.0,4.97,2.74,1.27,0.9
2023-01-11,688018,47.48,49.49,50.06,47.37,13184,129043290.0,5.66,4.1,1.95,1.64
2023-01-12,688018,49.39,49.34,49.7,48.42,5369,52608618.0,2.59,-0.3,-0.15,0.67
2023-01-13,688018,49.75,48.37,49.75,47.66,8971,86330183.0,4.24,-1.97,-0.97,1.11
2023-01-16,688018,48.21,49.84,50.66,47.44,9492,94414305.0,6.66,3.04,1.47,1.18
2023-01-17,688018,50.25,53.63,55.07,50.17,26997,288103864.0,9.83,7.6,3.79,3.35
2023-01-18,688018,54.81,55.16,55.71,53.1,16436,179786243.0,4.87,2.85,1.53,2.04
2023-01-19,688018,55.16,57.88,58.71,54.81,16118,184221325.0,7.07,4.93,2.72,2.0
2023-01-20,688018,58.39,56.34,58.54,56.1,11458,129747892.0,4.22,-2.66,-1.54,1.42
2023-01-30,688018,56.35,55.53,57.94,54.85,11149,123574262.0,5.48,-1.44,-0.81,1.39
2023-01-31,688018,55.34,54.23,55.73,53.96,10328,111723606.0,3.19,-2.34,-1.3,1.28
2023-02-01,688018,54.23,54.22,54.82,53.48,10751,115487882.0,2.47,-0.02,-0.01,1.34
2023-02-02,688018,54.16,56.34,57.31,54.07,18733,207533818.0,5.98,3.91,2.12,2.33
2023-02-03,688018,55.82,57.64,58.39,55.8,14950,170060611.0,4.6,2.31,1.3,1.86
2023-02-06,688018,57.52,55.47,57.83,54.82,10025,111317769.0,5.22,-3.76,-2.17,1.25
2023-02-07,688018,56.17,55.04,56.17,54.61,7524,82626811.0,2.81,-0.78,-0.43,0.93
2023-02-08,688018,55.28,54.2,56.32,54.17,7974,87404578.0,3.91,-1.53,-0.84,0.99
2023-02-09,688018,53.53,55.94,56.42,53.28,10665,116829886.0,5.79,3.21,1.74,1.33
2023-02-10,688018,55.91,56.29,59.02,55.58,14949,170263766.0,6.15,0.63,0.35,1.86
2023-02-13,688018,55.83,61.35,61.81,55.58,25486,302021645.0,11.07,8.99,5.06,3.17
2023-02-14,688018,61.54,59.67,62.37,59.47,15163,182759493.0,4.73,-2.74,-1.68,1.88
2023-02-15,688018,59.48,58.45,60.17,57.88,12483,144973644.0,3.84,-2.04,-1.22,1.55
2023-02-16,688018,58.47,56.55,59.46,56.24,12534,144116811.0,5.51,-3.25,-1.9,1.56
