date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688099,69.56,71.0,71.69,68.19,30344,214212686.0,5.0,1.41,0.99,0.73
2023-01-04,688099,71.5,71.69,72.35,70.52,32535,233428629.0,2.58,0.97,0.69,0.79
2023-01-05,688099,71.5,71.58,72.6,69.94,42178,302206146.0,3.71,-0.15,-0.11,1.02
2023-01-06,688099,71.38,69.0,71.62,68.86,55041,386902636.0,3.86,-3.6,-2.58,1.33
2023-01-09,688099,69.28,68.2,71.39,68.2,34466,240649202.0,4.62,-1.16,-0.8,0.83
2023-01-10,688099,68.25,69.28,70.69,67.61,42887,299201402.0,4.52,1.58,1.08,1.04
2023-01-11,688099,69.28,67.61,70.7,67.15,36211,250260739.0,5.12,-2.41,-1.67,0.88
2023-01-12,688099,67.51,68.47,69.25,66.6,28267,194551370.0,3.92,1.27,0.86,0.68
2023-01-13,688099,70.19,69.17,71.08,68.28,31766,221737817.0,4.09,1.02,0.7,0.77
2023-01-16,688099,68.97,72.29,73.68,68.52,62709,456093714.0,7.46,4.51,3.12,1.52
2023-01-17,688099,73.38,75.98,76.71,72.5,87842,666879023.0,5.82,5.1,3.69,2.12
2023-01-18,688099,75.96,77.55,79.85,75.5,54611,427976397.0,5.73,2.07,1.57,1.32
2023-01-19,688099,77.45,80.29,80.7,76.5,51407,409831933.0,5.42,3.53,2.74,1.24
2023-01-20,688099,80.03,80.3,81.38,79.0,30678,247578755.0,2.96,0.01,0.01,0.74
2023-01-30,688099,81.2,79.78,83.0,79.7,38339,312478028.0,4.11,-0.65,-0.52,0.93
2023-01-31,688099,79.42,77.12,80.3,77.01,36681,287680421.0,4.12,-3.33,-2.66,0.89
2023-02-01,688099,77.09,77.71,78.62,76.7,22583,176839318.0,2.49,0.77,0.59,0.55
2023-02-02,688099,78.73,79.3,81.08,77.82,41844,334274728.0,4.2,2.05,1.59,1.01
2023-02-03,688099,79.0,80.43,80.68,77.54,38132,303776244.0,3.96,1.42,1.13,0.92
