date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688385,69.65,75.08,75.87,69.08,91277,675986086.0,9.77,8.03,5.58,2.89
2023-01-04,688385,75.26,74.22,75.65,73.44,43914,327104856.0,2.94,-1.15,-0.86,1.39
2023-01-05,688385,74.7,73.91,74.91,72.49,39525,292791645.0,3.26,-0.42,-0.31,1.25
2023-01-06,688385,73.45,73.91,75.16,73.04,39808,295993828.0,2.87,0.0,0.0,1.26
2023-01-09,688385,73.31,73.14,75.49,72.6,39456,292743282.0,3.91,-1.04,-0.77,1.25
2023-01-10,688385,72.69,72.52,73.99,71.82,44363,324320010.0,2.97,-0.85,-0.62,1.4
2023-01-11,688385,72.91,65.24,73.13,64.69,151797,1024785915.0,11.64,-10.04,-7.28,4.81
2023-01-12,688385,65.64,64.66,65.71,62.78,81909,532185179.0,4.49,-0.89,-0.58,2.59
2023-01-13,688385,64.82,63.62,64.89,62.7,71956,459576374.0,3.39,-1.61,-1.04,2.28
2023-01-16,688385,63.29,63.02,64.54,62.88,81394,520005687.0,2.61,-0.94,-0.6,2.58
2023-01-17,688385,63.34,66.2,66.72,62.6,98206,647100230.0,6.54,5.05,3.18,3.11
2023-01-18,688385,65.77,66.78,67.6,65.06,46974,313602002.0,3.84,0.88,0.58,1.49
2023-01-19,688385,66.34,68.43,68.49,65.8,47884,325366846.0,4.03,2.47,1.65,1.52
2023-01-20,688385,67.69,68.69,70.68,66.88,56920,395271274.0,5.55,0.38,0.26,1.8
2023-01-30,688385,69.34,69.29,69.79,67.69,67406,465742425.0,3.06,0.87,0.6,2.13
2023-01-31,688385,69.11,67.45,69.68,67.17,52081,356472962.0,3.62,-2.66,-1.84,1.65
2023-02-01,688385,67.7,69.38,69.97,67.7,56520,392805140.0,3.37,2.86,1.93,1.79
2023-02-02,688385,69.69,70.22,71.24,69.5,61889,437928993.0,2.51,1.21,0.84,1.96
2023-02-03,688385,70.04,69.83,70.25,68.15,54122,375997726.0,2.99,-0.56,-0.39,1.71
2023-02-06,688385,69.69,68.62,70.29,67.99,35592,246873130.0,3.29,-1.73,-1.21,1.13
2023-02-07,688385,68.68,67.69,69.13,66.9,37667,256266379.0,3.25,-1.36,-0.93,1.19
2023-02-08,688385,68.23,67.98,69.97,67.61,40455,279062703.0,3.49,0.43,0.29,1.28
2023-02-09,688385,66.95,72.52,72.55,66.7,83724,590724549.0,8.61,6.68,4.54,2.65
2023-02-10,688385,72.27,71.19,74.94,70.19,102505,745438979.0,6.55,-1.83,-1.33,3.25
2023-02-13,688385,70.65,71.34,73.82,70.56,89004,640344233.0,4.58,0.21,0.15,2.82
2023-02-14,688385,70.86,69.0,71.85,68.59,81642,572619943.0,4.57,-3.28,-2.34,2.59
2023-02-15,688385,68.72,69.54,70.38,67.68,72515,502927677.0,3.91,0.78,0.54,2.3
2023-02-16,688385,69.29,67.29,70.98,66.82,82034,568630711.0,5.98,-3.24,-2.25,2.6
2023-02-17,688385,66.94,64.59,67.04,64.13,86901,568435466.0,4.32,-4.01,-2.7,2.75
2023-02-20,688385,64.89,64.06,64.98,63.53,71612,461980295.0,2.24,-0.82,-0.53,2.27
2023-02-21,688385,65.69,65.5,66.47,64.19,59201,386885947.0,3.56,2.25,1.44,1.87
2023-02-22,688385,64.57,68.79,69.68,64.19,130837,891063595.0,8.38,5.02,3.29,4.14
2023-02-23,688385,67.99,68.7,69.03,67.02,58000,397186893.0,2.92,-0.13,-0.09,1.84
2023-02-24,688385,69.17,69.95,70.98,68.52,86968,610881784.0,3.58,1.82,1.25,2.75
2023-02-27,688385,70.53,72.27,74.46,69.69,152258,1109574100.0,6.82,3.32,2.32,4.82
2023-02-28,688385,72.22,71.66,72.69,70.25,91735,655740863.0,3.38,-0.84,-0.61,2.91
2023-03-01,688385,72.13,71.86,72.13,71.02,55823,401294634.0,1.55,0.28,0.2,1.77
2023-03-02,688385,71.86,70.32,72.31,70.24,47472,337648276.0,2.88,-2.14,-1.54,1.5
2023-03-03,688385,71.26,72.34,72.69,71.07,69269,501046109.0,2.3,2.87,2.02,2.19
2023-03-06,688385,72.05,76.68,77.89,71.99,125366,957156246.0,8.16,6.0,4.34,3.97
2023-03-07,688385,75.93,74.56,76.51,74.22,75556,570929163.0,2.99,-2.76,-2.12,2.39
2023-03-08,688385,73.87,73.85,75.14,73.19,71797,533502380.0,2.62,-0.95,-0.71,2.27
2023-03-09,688385,74.17,73.44,74.27,72.69,74490,550368270.0,2.14,-0.56,-0.41,2.36
2023-03-10,688385,72.69,70.11,73.19,70.11,112730,810960557.0,4.19,-4.53,-3.33,3.57
2023-03-13,688385,71.19,71.36,72.85,70.37,99173,712493733.0,3.54,1.78,1.25,3.14
2023-03-14,688385,71.69,72.45,73.01,70.29,80164,578352867.0,3.81,1.53,1.09,2.54
2023-03-15,688385,72.25,70.46,73.96,70.36,74285,537144311.0,4.97,-2.75,-1.99,2.35
2023-03-16,688385,69.69,70.34,71.78,69.66,51359,365473035.0,3.01,-0.17,-0.12,1.63
2023-03-17,688385,70.96,71.0,72.3,69.57,57347,410102581.0,3.88,0.94,0.66,1.82
2023-03-20,688385,71.14,68.59,71.47,68.39,75529,528608894.0,4.34,-3.39,-2.41,2.39
2023-03-21,688385,68.09,69.1,69.8,67.59,44261,304538808.0,3.22,0.74,0.51,1.4
2023-03-22,688385,68.61,64.29,68.66,64.02,153128,1005104623.0,6.71,-6.96,-4.81,4.85
2023-03-23,688385,64.17,72.67,73.35,63.2,216840,1478988470.0,15.79,13.03,8.38,6.87
2023-03-24,688385,72.27,70.69,73.1,70.24,147497,1061750134.0,3.94,-2.72,-1.98,4.67
