date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688608,79.96,81.72,81.85,77.11,10175,115973981.0,5.93,2.18,1.74,1.28
2023-01-04,688608,82.11,79.34,83.46,77.27,12194,138584102.0,7.57,-2.91,-2.38,1.54
2023-01-05,688608,80.33,84.2,85.2,79.0,13761,162577503.0,7.81,6.13,4.86,1.73
2023-01-06,688608,84.2,82.9,84.91,82.3,7402,87946828.0,3.1,-1.54,-1.3,0.93
2023-01-09,688608,82.9,82.46,84.7,81.62,6206,72975155.0,3.72,-0.53,-0.44,0.78
2023-01-10,688608,82.41,84.14,85.15,82.4,7729,92542047.0,3.33,2.04,1.68,0.97
2023-01-11,688608,84.2,82.49,86.1,81.89,7823,92952363.0,5.0,-1.96,-1.65,0.99
2023-01-12,688608,82.54,83.03,83.41,81.44,4453,52390174.0,2.39,0.65,0.54,0.56
2023-01-13,688608,83.22,82.96,83.89,81.05,5365,63205762.0,3.42,-0.08,-0.07,0.68
2023-01-16,688608,82.12,86.84,88.21,81.48,9329,114632911.0,8.11,4.68,3.88,1.18
2023-01-17,688608,89.26,94.86,98.06,86.27,24668,331282903.0,13.58,9.24,8.02,3.11
2023-01-18,688608,95.34,94.98,95.56,92.99,8800,118227817.0,2.71,0.13,0.12,1.11
2023-01-19,688608,94.98,96.8,99.74,94.03,15677,216970808.0,6.01,1.92,1.82,1.98
2023-01-20,688608,98.3,96.99,98.3,95.03,9240,127318774.0,3.38,0.2,0.19,1.16
2023-01-30,688608,96.34,97.44,99.21,95.71,13508,187443050.0,3.61,0.46,0.45,1.7
2023-01-31,688608,97.14,95.72,98.19,92.75,12784,172017251.0,5.58,-1.77,-1.72,1.61
2023-02-01,688608,95.98,97.34,98.12,94.67,6644,91487019.0,3.6,1.69,1.62,0.84
2023-02-02,688608,98.57,97.25,99.91,95.85,12188,169565708.0,4.17,-0.09,-0.09,1.54
2023-02-03,688608,96.44,96.54,98.77,95.13,9337,127698949.0,3.74,-0.73,-0.71,1.18
2023-02-06,688608,96.28,96.49,97.71,94.28,7573,103095920.0,3.55,-0.05,-0.05,0.95
2023-02-07,688608,96.64,96.66,97.14,95.36,5293,72467076.0,1.84,0.18,0.17,0.67
2023-02-08,688608,97.14,94.99,99.22,94.71,7067,96725366.0,4.67,-1.73,-1.67,0.89
2023-02-09,688608,93.99,97.64,98.25,93.68,8443,115598809.0,4.81,2.79,2.65,1.06
2023-02-10,688608,97.61,96.57,99.19,95.25,7994,110088896.0,4.04,-1.1,-1.07,1.01
