date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002281,15.06,15.56,15.61,14.98,37571,60200330.03,4.19,3.39,0.51,0.56
2023-01-04,002281,15.56,15.62,15.68,15.48,24855,40410211.94,1.29,0.39,0.06,0.37
2023-01-05,002281,15.64,15.67,15.68,15.52,23302,37949057.85,1.02,0.32,0.05,0.35
2023-01-06,002281,15.67,15.67,15.74,15.58,25662,41941088.5,1.02,0.0,0.0,0.38
2023-01-09,002281,15.72,15.61,15.82,15.57,21715,35524870.52,1.6,-0.38,-0.06,0.32
2023-01-10,002281,15.62,15.59,15.7,15.54,20793,33851765.32,1.02,-0.13,-0.02,0.31
2023-01-11,002281,15.57,15.5,15.77,15.44,23416,38068759.18,2.12,-0.58,-0.09,0.35
2023-01-12,002281,15.5,15.56,15.63,15.44,15483,25125069.0,1.23,0.39,0.06,0.23
2023-01-13,002281,15.55,15.59,15.66,15.49,18373,29840640.0,1.09,0.19,0.03,0.27
2023-01-16,002281,15.57,15.81,15.94,15.54,33054,54541970.58,2.57,1.41,0.22,0.49
2023-01-17,002281,15.75,15.94,15.97,15.74,31642,52442019.0,1.45,0.82,0.13,0.47
2023-01-18,002281,15.93,16.02,16.05,15.89,28234,47026744.7,1.0,0.5,0.08,0.42
2023-01-19,002281,15.94,16.25,16.3,15.93,33915,57040751.11,2.31,1.44,0.23,0.5
2023-01-20,002281,16.32,16.37,16.48,16.24,43678,74443898.23,1.48,0.74,0.12,0.65
2023-01-30,002281,16.59,16.5,16.78,16.5,57788,99862274.07,1.71,0.79,0.13,0.86
2023-01-31,002281,16.52,16.7,16.79,16.44,47678,82676079.65,2.12,1.21,0.2,0.71
2023-02-01,002281,16.8,17.11,17.13,16.71,68423,120675679.52,2.51,2.46,0.41,1.01
2023-02-02,002281,17.41,17.83,18.69,17.33,246506,457451155.87,7.95,4.21,0.72,3.66
2023-02-03,002281,17.79,18.21,18.48,17.73,230153,433524513.35,4.21,2.13,0.38,3.41
2023-02-06,002281,18.52,19.25,19.53,18.23,297534,585695572.9,7.14,5.71,1.04,4.41
2023-02-07,002281,18.84,19.32,19.91,18.7,351246,705791309.56,6.29,0.36,0.07,5.21
2023-02-08,002281,19.15,18.49,19.52,18.42,276103,536571735.0,5.69,-4.3,-0.83,4.1
2023-02-09,002281,18.37,19.68,19.76,18.31,330954,657334951.94,7.84,6.44,1.19,4.91
2023-02-10,002281,19.91,21.72,21.72,19.23,601292,1258999030.87,12.65,10.37,2.04,8.92
2023-02-13,002281,22.83,22.74,23.58,22.22,886795,2086431744.46,6.26,4.7,1.02,13.15
2023-02-14,002281,22.43,22.52,23.29,22.25,568761,1334154135.95,4.57,-0.97,-0.22,8.44
2023-02-15,002281,22.21,23.14,23.5,22.02,586649,1375652694.67,6.57,2.75,0.62,8.7
2023-02-16,002281,22.53,21.55,22.95,21.32,609148,1386870900.71,7.04,-6.87,-1.59,9.04
2023-02-17,002281,21.33,20.31,21.55,20.15,390947,835131896.57,6.5,-5.75,-1.24,5.8
2023-02-20,002281,20.55,21.11,21.25,20.41,323626,698979577.37,4.14,3.94,0.8,4.8
2023-02-21,002281,21.08,20.83,21.18,20.54,241224,518772294.64,3.03,-1.33,-0.28,3.58
2023-02-22,002281,20.68,20.86,21.07,20.36,194468,416577820.69,3.41,0.14,0.03,2.89
2023-02-23,002281,20.78,21.06,21.5,20.73,302915,662425767.62,3.69,0.96,0.2,4.49
2023-02-24,002281,21.18,21.42,22.1,21.17,328412,733243906.92,4.42,1.71,0.36,4.87
2023-02-27,002281,21.27,21.19,21.9,21.04,233599,515132746.99,4.01,-1.07,-0.23,3.47
