date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300308,18.18,18.97,19.17,17.95,113000,314737995.0,6.76,5.04,0.91,1.51
2023-01-04,300308,18.91,19.25,19.37,18.83,74769,212973185.0,2.85,1.48,0.28,1.0
2023-01-05,300308,19.16,19.24,19.32,19.06,67242,192143889.0,1.35,-0.05,-0.01,0.9
2023-01-06,300308,19.25,19.06,19.25,18.96,68781,195869779.0,1.51,-0.94,-0.18,0.92
2023-01-09,300308,19.15,18.9,19.15,18.74,69137,195050074.0,2.15,-0.84,-0.16,0.92
2023-01-10,300308,18.9,18.94,19.01,18.77,38061,107450484.0,1.27,0.21,0.04,0.51
2023-01-11,300308,19.01,18.73,19.01,18.7,41759,117332139.0,1.64,-1.11,-0.21,0.56
2023-01-12,300308,18.76,18.84,18.95,18.63,41389,116163145.0,1.71,0.59,0.11,0.55
2023-01-13,300308,18.84,18.63,18.89,18.54,49455,137713505.0,1.86,-1.11,-0.21,0.66
2023-01-16,300308,18.66,18.91,19.12,18.55,58294,164893405.0,3.06,1.5,0.28,0.78
2023-01-17,300308,18.97,18.99,19.16,18.88,48470,137237770.0,1.48,0.42,0.08,0.65
2023-01-18,300308,18.99,19.26,19.37,18.84,60343,172524051.0,2.79,1.42,0.27,0.81
2023-01-19,300308,19.26,19.37,19.43,19.16,46517,133750253.0,1.4,0.57,0.11,0.62
2023-01-20,300308,19.45,19.47,19.68,19.28,57322,166115697.0,2.07,0.52,0.1,0.77
2023-01-30,300308,19.76,19.41,19.8,19.35,72234,210091828.0,2.31,-0.31,-0.06,0.97
2023-01-31,300308,19.83,19.55,20.17,19.53,123894,364297090.0,3.3,0.72,0.14,1.66
2023-02-01,300308,20.19,20.07,20.41,19.63,125566,372290583.0,3.99,2.66,0.52,1.68
2023-02-02,300308,20.27,20.45,20.68,20.01,156886,475326403.0,3.34,1.89,0.38,2.1
2023-02-03,300308,20.47,21.31,21.42,20.41,217365,677745890.0,4.94,4.21,0.86,2.91
2023-02-06,300308,21.58,21.66,21.85,21.16,213555,681956314.0,3.24,1.64,0.35,2.85
2023-02-07,300308,22.04,22.95,23.51,21.99,398733,1346372387.0,7.02,5.96,1.29,5.33
2023-02-08,300308,23.22,22.42,23.71,22.35,206069,693838882.0,5.93,-2.31,-0.53,2.75
2023-02-09,300308,22.35,23.92,24.12,21.81,368725,1266532261.0,10.3,6.69,1.5,4.93
2023-02-10,300308,23.93,23.75,25.14,23.32,468958,1672355326.0,7.61,-0.71,-0.17,6.27
2023-02-13,300308,23.99,24.49,24.78,23.66,335379,1197062570.0,4.72,3.12,0.74,4.48
