date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,000938,19.31,20.16,20.27,19.23,231063,466671907.79,5.39,4.46,0.86,0.81
2023-01-04,000938,22.2,22.2,22.2,22.2,226052,506582487.18,0.0,10.12,2.04,0.79
2023-01-05,000938,22.89,24.44,24.44,22.68,1895564,4507993458.32,7.93,10.09,2.24,6.63
2023-01-06,000938,23.77,23.25,23.95,22.97,1027391,2430510966.42,4.01,-4.87,-1.19,3.59
2023-01-09,000938,23.4,23.19,23.72,22.79,467712,1099466437.09,4.0,-0.26,-0.06,1.64
2023-01-10,000938,23.09,22.66,23.36,22.37,502979,1156661617.52,4.27,-2.29,-0.53,1.76
2023-01-11,000938,22.66,22.95,23.57,22.63,436768,1022346308.14,4.15,1.28,0.29,1.53
2023-01-12,000938,22.95,23.08,23.56,22.51,393232,911111811.41,4.58,0.57,0.13,1.37
2023-01-13,000938,23.15,23.39,23.47,23.02,247612,581565062.73,1.95,1.34,0.31,0.87
2023-01-16,000938,23.09,23.52,24.14,23.09,332208,794951116.53,4.49,0.56,0.13,1.16
2023-01-17,000938,23.39,23.85,24.17,23.29,243645,586385172.41,3.74,1.4,0.33,0.85
2023-01-18,000938,23.59,23.66,23.99,23.4,212114,505647013.06,2.47,-0.8,-0.19,0.74
2023-01-19,000938,23.56,23.64,23.77,23.38,246756,586694931.02,1.65,-0.08,-0.02,0.86
2023-01-20,000938,23.58,23.55,24.1,23.24,343130,816524708.4,3.64,-0.38,-0.09,1.2
2023-01-30,000938,23.61,23.16,23.92,22.84,453792,1059856606.08,4.59,-1.66,-0.39,1.59
2023-01-31,000938,23.16,22.79,23.33,22.67,220644,510064588.49,2.85,-1.6,-0.37,0.77
2023-02-01,000938,22.87,23.09,23.18,22.71,245850,570588422.32,2.06,1.32,0.3,0.86
2023-02-02,000938,23.11,22.64,23.36,22.54,296787,683630213.6,3.55,-1.95,-0.45,1.04
2023-02-03,000938,22.63,22.91,22.95,22.41,250052,573364352.64,2.39,1.19,0.27,0.87
2023-02-06,000938,23.18,22.59,23.27,22.45,303011,696947229.54,3.58,-1.4,-0.32,1.06
2023-02-07,000938,22.54,23.14,23.34,22.39,354559,823750791.27,4.21,2.43,0.55,1.24
2023-02-08,000938,23.17,22.73,23.87,22.56,415604,968363166.8,5.66,-1.77,-0.41,1.45
2023-02-09,000938,22.49,23.79,24.26,22.44,557746,1322611986.99,8.01,4.66,1.06,1.95
2023-02-10,000938,23.86,23.2,24.69,22.99,732827,1761338760.37,7.15,-2.48,-0.59,2.56
2023-02-13,000938,23.2,24.99,25.39,22.88,912905,2232412055.5,10.82,7.72,1.79,3.19
2023-02-14,000938,25.3,24.2,25.36,23.73,617608,1516348123.64,6.52,-3.16,-0.79,2.16
2023-02-15,000938,24.24,25.21,25.57,23.94,725738,1822919717.18,6.74,4.17,1.01,2.54
2023-02-16,000938,24.9,24.39,26.05,24.18,919704,2331219495.83,7.42,-3.25,-0.82,3.22
2023-02-17,000938,24.41,22.67,24.54,22.67,737822,1727016130.85,7.67,-7.05,-1.72,2.58
2023-02-20,000938,22.58,23.91,24.03,22.58,510611,1204048859.12,6.4,5.47,1.24,1.79
2023-02-21,000938,24.2,24.3,25.06,23.86,657535,1622007153.52,5.02,1.63,0.39,2.3
2023-02-22,000938,24.1,24.09,24.41,23.63,318437,770106899.17,3.21,-0.86,-0.21,1.11
2023-02-23,000938,23.94,22.99,24.09,22.87,603174,1414917916.49,5.06,-4.57,-1.1,2.11
2023-02-24,000938,23.02,23.44,23.84,22.91,516061,1218518042.17,4.05,1.96,0.45,1.8
2023-02-27,000938,23.34,24.27,24.86,23.21,747765,1825604754.97,7.04,3.54,0.83,2.61
2023-02-28,000938,25.31,25.19,25.89,24.7,875269,2225031833.4,4.9,3.79,0.92,3.06
2023-03-01,000938,25.24,26.78,26.97,25.09,1131699,3004059719.95,7.46,6.31,1.59,3.96
2023-03-02,000938,26.3,26.36,26.85,26.24,533332,1423993504.8,2.28,-1.57,-0.42,1.86
2023-03-03,000938,25.39,25.62,25.88,24.81,579766,1488055274.17,4.06,-2.81,-0.74,2.03
2023-03-06,000938,25.64,25.79,26.26,25.4,424465,1106636337.98,3.36,0.66,0.17,1.48
2023-03-07,000938,25.76,24.65,25.76,24.62,504700,1277799346.15,4.42,-4.42,-1.14,1.76
2023-03-08,000938,24.77,24.89,25.02,24.45,329210,821586697.66,2.31,0.97,0.24,1.15
2023-03-09,000938,24.79,27.4,27.4,24.61,858338,2271819023.24,11.21,10.08,2.51,3.0
2023-03-10,000938,26.97,27.2,27.85,26.68,918714,2524326420.07,4.27,-0.73,-0.2,3.21
2023-03-13,000938,26.73,27.77,28.02,26.34,849166,2347278364.79,6.18,2.1,0.57,2.97
2023-03-14,000938,27.29,27.07,27.49,26.34,667436,1811201397.24,4.14,-2.52,-0.7,2.33
