date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,600100,4.31,4.42,4.44,4.3,180477,79151084.0,3.25,2.55,0.11,0.61
2023-01-04,600100,4.43,4.46,4.49,4.42,182723,81313449.0,1.58,0.9,0.04,0.62
2023-01-05,600100,4.47,4.48,4.49,4.44,141030,63050984.0,1.12,0.45,0.02,0.48
2023-01-06,600100,4.48,4.43,4.48,4.41,111858,49591725.0,1.56,-1.12,-0.05,0.38
2023-01-09,600100,4.42,4.42,4.46,4.41,106529,47255127.0,1.13,-0.23,-0.01,0.36
2023-01-10,600100,4.42,4.39,4.43,4.38,103318,45499045.0,1.13,-0.68,-0.03,0.35
2023-01-11,600100,4.39,4.31,4.41,4.31,151881,66175848.0,2.28,-1.82,-0.08,0.51
2023-01-12,600100,4.31,4.38,4.4,4.31,174878,76281415.0,2.09,1.62,0.07,0.59
2023-01-13,600100,4.37,4.39,4.4,4.34,99759,43571418.0,1.37,0.23,0.01,0.34
2023-01-16,600100,4.38,4.45,4.47,4.38,162401,72252308.0,2.05,1.37,0.06,0.55
2023-01-17,600100,4.44,4.45,4.47,4.43,85824,38186900.0,0.9,0.0,0.0,0.29
2023-01-18,600100,4.46,4.5,4.51,4.44,145144,65067058.0,1.57,1.12,0.05,0.49
2023-01-19,600100,4.49,4.55,4.55,4.48,146768,66506671.0,1.56,1.11,0.05,0.5
2023-01-20,600100,4.53,4.56,4.59,4.53,159183,72639560.0,1.32,0.22,0.01,0.54
2023-01-30,600100,4.66,4.68,4.75,4.62,441569,207118047.0,2.85,2.63,0.12,1.49
2023-01-31,600100,4.67,4.69,4.72,4.66,235544,110501314.0,1.28,0.21,0.01,0.79
2023-02-01,600100,4.69,4.8,4.83,4.67,406963,194738491.0,3.41,2.35,0.11,1.37
2023-02-02,600100,4.82,4.86,4.91,4.78,480040,233661924.0,2.71,1.25,0.06,1.62
2023-02-03,600100,4.84,4.92,4.94,4.83,445592,217765354.0,2.26,1.23,0.06,1.5
2023-02-06,600100,4.94,5.13,5.15,4.9,856582,434874694.0,5.08,4.27,0.21,2.89
2023-02-07,600100,5.08,5.11,5.18,5.02,605637,308655950.0,3.12,-0.39,-0.02,2.04
2023-02-08,600100,5.07,5.18,5.19,5.05,562125,288560648.0,2.74,1.37,0.07,1.9
2023-02-09,600100,5.14,5.16,5.2,5.05,532931,273594239.0,2.9,-0.39,-0.02,1.8
2023-02-10,600100,5.17,5.25,5.4,5.12,853903,450257648.0,5.43,1.74,0.09,2.88
2023-02-13,600100,5.2,5.41,5.52,5.2,731506,393886478.0,6.1,3.05,0.16,2.47
2023-02-14,600100,5.42,5.44,5.47,5.34,620782,335747301.0,2.4,0.55,0.03,2.09
2023-02-15,600100,5.44,5.69,5.83,5.38,1337362,751587259.0,8.27,4.6,0.25,4.51
2023-02-16,600100,5.63,5.65,5.98,5.6,1600022,922157295.0,6.68,-0.7,-0.04,5.4
2023-02-17,600100,5.75,5.94,6.22,5.67,2518825,1505829205.0,9.73,5.13,0.29,8.5
2023-02-20,600100,6.08,6.02,6.17,5.73,2066967,1236100222.0,7.41,1.35,0.08,6.97
2023-02-21,600100,5.9,5.87,6.01,5.78,1485184,872347365.0,3.82,-2.49,-0.15,5.01
2023-02-22,600100,5.78,5.82,5.85,5.63,1006157,577926707.0,3.75,-0.85,-0.05,3.39
2023-02-23,600100,5.76,5.55,5.77,5.52,1154424,646977560.0,4.3,-4.64,-0.27,3.89
2023-02-24,600100,5.51,5.92,6.09,5.49,1975563,1143348706.0,10.81,6.67,0.37,6.67
2023-02-27,600100,5.95,5.9,6.15,5.8,1471012,877132408.0,5.91,-0.34,-0.02,4.96
2023-02-28,600100,5.96,5.91,6.01,5.75,864583,507560836.0,4.41,0.17,0.01,2.92
2023-03-01,600100,5.86,6.03,6.16,5.85,1284226,775106674.0,5.25,2.03,0.12,4.33
2023-03-02,600100,6.0,6.35,6.45,6.0,1783158,1108798976.0,7.46,5.31,0.32,6.02
2023-03-03,600100,6.2,6.36,6.47,6.17,1509578,953244171.0,4.72,0.16,0.01,5.09
2023-03-06,600100,6.34,6.09,6.44,6.03,1310145,813835513.0,6.45,-4.25,-0.27,4.42
2023-03-07,600100,6.03,6.0,6.22,5.99,883738,537513196.0,3.78,-1.48,-0.09,2.98
2023-03-08,600100,6.1,6.05,6.17,5.96,791276,478926638.0,3.5,0.83,0.05,2.67
2023-03-09,600100,6.03,6.05,6.14,5.86,797905,477191383.0,4.63,0.0,0.0,2.69
2023-03-10,600100,5.95,5.97,6.07,5.93,543266,325365004.0,2.31,-1.32,-0.08,1.83
2023-03-13,600100,5.99,6.09,6.09,5.9,955331,575247250.0,3.18,2.01,0.12,3.22
2023-03-14,600100,6.06,5.99,6.08,5.92,720928,431540330.0,2.63,-1.64,-0.1,2.43
2023-03-15,600100,6.06,5.94,6.06,5.82,700854,414720971.0,4.01,-0.83,-0.05,2.36
2023-03-16,600100,5.89,5.84,5.94,5.77,558637,327711022.0,2.86,-1.68,-0.1,1.88
2023-03-17,600100,5.88,6.05,6.1,5.88,915076,551538467.0,3.77,3.6,0.21,3.09
2023-03-20,600100,6.03,5.84,6.07,5.83,885994,527364299.0,3.97,-3.47,-0.21,2.99
2023-03-21,600100,5.85,5.95,6.04,5.81,814695,485335530.0,3.94,1.88,0.11,2.75
2023-03-22,600100,5.99,6.28,6.33,5.92,1489777,922847733.0,6.89,5.55,0.33,5.03
2023-03-23,600100,6.25,6.42,6.44,6.24,1247276,792446917.0,3.18,2.23,0.14,4.21
2023-03-24,600100,6.37,7.06,7.06,6.33,2350798,1586310493.0,11.37,9.97,0.64,7.93
2023-03-27,600100,7.49,7.57,7.77,7.31,3948259,2997339316.0,6.52,7.22,0.51,13.32
2023-03-28,600100,7.5,7.2,7.54,7.12,2524883,1852204232.0,5.55,-4.89,-0.37,8.52
2023-03-29,600100,7.38,7.54,7.9,7.19,2957507,2226014625.0,9.86,4.72,0.34,9.98
2023-03-30,600100,7.66,7.35,7.81,7.21,2386260,1791916768.0,7.96,-2.52,-0.19,8.05
2023-03-31,600100,7.22,7.81,7.96,7.09,2672679,2004673037.0,11.84,6.26,0.46,9.02
2023-04-03,600100,8.0,8.59,8.59,8.0,2705354,2250378249.0,7.55,9.99,0.78,9.13
2023-04-04,600100,8.88,8.45,8.88,8.18,3670836,3109564904.0,8.15,-1.63,-0.14,12.39
2023-04-06,600100,8.17,8.03,8.28,7.78,2628539,2116659571.0,5.92,-4.97,-0.42,8.87
2023-04-07,600100,8.04,8.21,8.29,7.84,1864173,1514247781.0,5.6,2.24,0.18,6.29
2023-04-10,600100,8.01,7.45,8.15,7.39,2415946,1863587167.0,9.26,-9.26,-0.76,8.15
2023-04-11,600100,7.79,8.1,8.2,7.61,3146014,2518025212.0,7.92,8.72,0.65,10.61
2023-04-12,600100,8.09,8.06,8.24,7.82,2690438,2168927210.0,5.19,-0.49,-0.04,9.08
2023-04-13,600100,7.98,8.14,8.54,7.72,3111398,2544470292.0,10.17,0.99,0.08,10.5
2023-04-14,600100,8.14,7.98,8.28,7.74,1702571,1361591567.0,6.63,-1.97,-0.16,5.74
2023-04-17,600100,7.99,7.89,8.12,7.74,1181114,932535199.0,4.76,-1.13,-0.09,3.99
2023-04-18,600100,7.98,7.85,8.05,7.62,1344583,1052473145.0,5.45,-0.51,-0.04,4.54
2023-04-19,600100,7.85,8.16,8.48,7.8,2293079,1883203967.0,8.66,3.95,0.31,7.74
2023-04-20,600100,8.58,8.98,8.98,8.58,1315666,1171428029.0,4.9,10.05,0.82,4.44
2023-04-21,600100,9.59,8.69,9.66,8.69,4361210,4005387194.0,10.8,-3.23,-0.29,14.71
2023-04-24,600100,8.58,8.32,8.84,8.2,2975462,2510867570.0,7.36,-4.26,-0.37,10.04
2023-04-25,600100,8.2,8.96,9.15,8.05,3487846,3030929830.0,13.22,7.69,0.64,11.77
2023-04-26,600100,8.77,8.4,8.95,8.16,2674887,2279147596.0,8.82,-6.25,-0.56,9.02
2023-04-27,600100,8.19,7.76,8.36,7.56,2128423,1682093374.0,9.52,-7.62,-0.64,7.18
2023-04-28,600100,7.7,8.3,8.35,7.7,1695160,1380481440.0,8.38,6.96,0.54,5.72
2023-05-04,600100,8.3,8.6,8.74,8.03,2109086,1772499804.0,8.55,3.61,0.3,7.12
2023-05-05,600100,8.54,9.11,9.35,8.48,2973176,2669433364.0,10.12,5.93,0.51,10.03
2023-05-08,600100,9.11,10.02,10.02,8.78,3756309,3591641363.0,13.61,9.99,0.91,12.67
2023-05-09,600100,9.89,10.04,10.55,9.73,3418217,3453482659.0,8.18,0.2,0.02,11.53
2023-05-10,600100,9.98,9.74,10.44,9.55,2567237,2555445111.0,8.86,-2.99,-0.3,8.66
2023-05-11,600100,9.8,9.24,9.93,9.14,2266627,2152906987.0,8.11,-5.13,-0.5,7.65
2023-05-12,600100,9.17,8.94,9.34,8.91,1416423,1286306303.0,4.65,-3.25,-0.3,4.78
2023-05-15,600100,8.94,8.55,9.0,8.27,2193063,1875533569.0,8.17,-4.36,-0.39,7.4
2023-05-16,600100,8.59,8.04,8.59,7.98,1804904,1477261287.0,7.13,-5.96,-0.51,6.09
2023-05-17,600100,8.01,8.17,8.36,7.97,1269105,1040074871.0,4.85,1.62,0.13,4.28
2023-05-18,600100,8.09,8.33,8.53,8.07,1609186,1344478247.0,5.63,1.96,0.16,5.43
2023-05-19,600100,8.27,8.1,8.54,8.06,1266535,1047546379.0,5.76,-2.76,-0.23,4.27
2023-05-22,600100,8.1,8.07,8.23,7.92,886826,714397178.0,3.83,-0.37,-0.03,2.99
2023-05-23,600100,8.06,7.76,8.07,7.76,957503,751638101.0,3.84,-3.84,-0.31,3.23
2023-05-24,600100,7.7,7.79,7.92,7.61,781636,608412329.0,3.99,0.39,0.03,2.64
2023-05-25,600100,7.86,7.94,8.11,7.56,1114536,873631284.0,7.06,1.93,0.15,3.76
2023-05-26,600100,7.83,8.21,8.26,7.82,1406951,1142698649.0,5.54,3.4,0.27,4.75
2023-05-29,600100,8.25,8.0,8.31,7.98,1114555,907011351.0,4.02,-2.56,-0.21,3.76
2023-05-30,600100,7.91,8.5,8.5,7.78,1711132,1408996060.0,9.0,6.25,0.5,5.77
2023-05-31,600100,8.56,8.44,8.61,8.34,1258620,1063923048.0,3.18,-0.71,-0.06,4.25
2023-06-01,600100,8.31,8.83,9.18,8.28,2019360,1779577134.0,10.66,4.62,0.39,6.81
2023-06-02,600100,8.86,8.76,9.11,8.63,1535589,1358090876.0,5.44,-0.79,-0.07,5.18
2023-06-05,600100,8.67,8.76,8.97,8.67,1194546,1049303598.0,3.42,0.0,0.0,4.03
2023-06-06,600100,8.66,8.32,8.79,8.3,1213025,1035782511.0,5.59,-5.02,-0.44,4.09
2023-06-07,600100,8.35,8.33,8.45,8.2,943529,786660051.0,3.0,0.12,0.01,3.18
2023-06-08,600100,8.24,8.46,8.62,8.03,1559098,1298040511.0,7.08,1.56,0.13,5.26
2023-06-09,600100,8.42,8.92,8.98,8.41,2005858,1764659820.0,6.74,5.44,0.46,6.77
2023-06-12,600100,8.98,8.84,9.08,8.79,1386007,1231212080.0,3.25,-0.9,-0.08,4.68
2023-06-13,600100,8.81,9.18,9.27,8.66,2095187,1906398058.0,6.9,3.85,0.34,7.07
2023-06-14,600100,9.18,9.33,9.38,9.04,2036435,1876904225.0,3.7,1.63,0.15,6.87
2023-06-15,600100,9.27,9.01,9.28,8.96,1610101,1464838276.0,3.43,-3.43,-0.32,5.43
2023-06-16,600100,8.96,9.38,9.47,8.83,1913546,1769091608.0,7.1,4.11,0.37,6.46
2023-06-19,600100,9.3,9.59,9.78,9.27,2175195,2069406253.0,5.44,2.24,0.21,7.34
2023-06-20,600100,9.45,9.4,9.6,9.19,1635219,1530861874.0,4.28,-1.98,-0.19,5.52
2023-06-21,600100,9.45,8.62,9.49,8.6,2116176,1884727580.0,9.47,-8.3,-0.78,7.14
2023-06-26,600100,8.54,8.05,8.62,7.99,1622069,1340046560.0,7.31,-6.61,-0.57,5.47
2023-06-27,600100,8.09,8.15,8.25,8.01,829098,675064065.0,2.98,1.24,0.1,2.8
2023-06-28,600100,8.07,8.01,8.14,7.67,1198204,944989235.0,5.77,-1.72,-0.14,4.04
2023-06-29,600100,7.97,8.0,8.08,7.86,808632,644462621.0,2.75,-0.12,-0.01,2.73
2023-06-30,600100,7.96,8.12,8.18,7.89,778044,627309298.0,3.63,1.5,0.12,2.63
2023-07-03,600100,8.12,8.14,8.19,7.91,815682,657065234.0,3.45,0.25,0.02,2.75
2023-07-04,600100,8.1,8.07,8.17,8.01,693202,559337468.0,1.97,-0.86,-0.07,2.34
2023-07-05,600100,8.07,7.96,8.12,7.92,706670,567020714.0,2.48,-1.36,-0.11,2.38
2023-07-06,600100,7.94,8.04,8.19,7.9,793500,641616032.0,3.64,1.01,0.08,2.68
2023-07-07,600100,7.99,7.84,8.0,7.69,855087,667863586.0,3.86,-2.49,-0.2,2.89
2023-07-10,600100,7.87,7.81,7.9,7.73,518714,404295707.0,2.17,-0.38,-0.03,1.75
2023-07-11,600100,7.8,7.8,8.03,7.76,704548,553783712.0,3.46,-0.13,-0.01,2.38
2023-07-12,600100,7.76,7.4,7.78,7.4,1173314,884154095.0,4.87,-5.13,-0.4,3.96
2023-07-13,600100,7.47,7.57,7.66,7.38,812962,610396721.0,3.78,2.3,0.17,2.74
2023-07-14,600100,7.57,7.8,7.9,7.55,869717,674734795.0,4.62,3.04,0.23,2.93
2023-07-17,600100,7.76,7.73,7.85,7.67,559714,433369053.0,2.31,-0.9,-0.07,1.89
2023-07-18,600100,7.75,7.63,7.78,7.63,427089,328408592.0,1.94,-1.29,-0.1,1.44
