date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,600699,13.38,13.74,13.8,13.26,160995,228236611.0,4.02,2.31,0.31,1.18
2023-01-04,600699,13.72,13.65,13.8,13.51,106674,152160336.0,2.11,-0.66,-0.09,0.78
2023-01-05,600699,13.75,13.82,14.1,13.68,213860,310239812.0,3.08,1.25,0.17,1.56
2023-01-06,600699,13.76,14.11,14.33,13.76,209038,307895091.0,4.12,2.1,0.29,1.53
2023-01-09,600699,14.26,14.31,14.52,14.18,220270,330286139.0,2.41,1.42,0.2,1.61
2023-01-10,600699,14.34,14.53,14.62,14.18,214822,323074182.0,3.07,1.54,0.22,1.57
2023-01-11,600699,14.44,14.41,14.59,14.34,138879,209413610.0,1.72,-0.83,-0.12,1.02
2023-01-12,600699,14.38,14.46,14.61,14.38,102072,154066773.0,1.6,0.35,0.05,0.75
2023-01-13,600699,14.48,14.52,14.65,14.34,126439,191226916.0,2.14,0.41,0.06,0.92
2023-01-16,600699,14.42,14.6,14.68,14.27,163093,247957812.0,2.82,0.55,0.08,1.19
2023-01-17,600699,14.6,14.6,14.83,14.53,122388,187156165.0,2.05,0.0,0.0,0.89
2023-01-18,600699,14.6,14.62,14.67,14.53,95062,144631206.0,0.96,0.14,0.02,0.69
2023-01-19,600699,14.55,14.7,14.73,14.41,119168,181328223.0,2.19,0.55,0.08,0.87
2023-01-20,600699,15.04,14.66,15.04,14.36,316147,481181737.0,4.63,-0.27,-0.04,2.31
2023-01-30,600699,14.97,15.33,15.44,14.88,369919,588798250.0,3.82,4.57,0.67,2.7
2023-01-31,600699,15.21,15.32,15.45,15.13,230529,367619329.0,2.09,-0.07,-0.01,1.69
2023-02-01,600699,15.37,15.73,15.9,15.34,292832,477150771.0,3.66,2.68,0.41,2.14
2023-02-02,600699,15.78,15.64,15.88,15.59,199998,326044271.0,1.84,-0.57,-0.09,1.46
2023-02-03,600699,15.62,15.52,15.62,15.28,200620,322084370.0,2.17,-0.77,-0.12,1.47
2023-02-06,600699,15.39,15.54,15.71,15.32,182440,294406458.0,2.51,0.13,0.02,1.33
2023-02-07,600699,15.54,15.81,16.07,15.44,267160,438604657.0,4.05,1.74,0.27,1.95
2023-02-08,600699,15.78,15.57,15.83,15.48,173364,281474183.0,2.21,-1.52,-0.24,1.27
2023-02-09,600699,15.57,15.85,15.92,15.51,211768,347663209.0,2.63,1.8,0.28,1.55
2023-02-10,600699,15.77,15.61,15.87,15.54,133876,218208474.0,2.08,-1.51,-0.24,0.98
2023-02-13,600699,15.5,15.57,15.7,15.49,142648,231304679.0,1.35,-0.26,-0.04,1.04
2023-02-14,600699,15.6,15.5,15.7,15.38,139494,225058634.0,2.06,-0.45,-0.07,1.02
2023-02-15,600699,15.77,15.68,15.82,15.57,174100,284186424.0,1.61,1.16,0.18,1.27
2023-02-16,600699,15.6,15.14,15.71,14.97,242752,388346291.0,4.72,-3.44,-0.54,1.77
2023-02-17,600699,15.22,15.03,15.32,14.98,137881,217329597.0,2.25,-0.73,-0.11,1.01
2023-02-20,600699,14.99,15.08,15.22,14.89,137114,215524401.0,2.2,0.33,0.05,1.0
2023-02-21,600699,15.08,15.17,15.33,15.06,125132,197808716.0,1.79,0.6,0.09,0.91
2023-02-22,600699,15.16,15.13,15.33,15.04,129693,204638562.0,1.91,-0.26,-0.04,0.95
2023-02-23,600699,15.13,15.18,15.37,15.06,151603,239974263.0,2.05,0.33,0.05,1.11
2023-02-24,600699,15.16,14.97,15.16,14.8,142995,222650108.0,2.37,-1.38,-0.21,1.05
2023-02-27,600699,14.87,14.79,15.02,14.73,102259,158310340.0,1.94,-1.2,-0.18,0.75
2023-02-28,600699,14.92,15.11,15.14,14.79,142681,223095253.0,2.37,2.16,0.32,1.04
2023-03-01,600699,15.08,15.16,15.21,14.93,157864,248030200.0,1.85,0.33,0.05,1.15
2023-03-02,600699,15.46,15.05,15.52,15.01,139925,221226872.0,3.36,-0.73,-0.11,1.02
2023-03-03,600699,14.98,14.89,15.09,14.79,114709,178076875.0,1.99,-1.06,-0.16,0.84
2023-03-06,600699,14.81,14.56,14.83,14.38,165427,250880944.0,3.02,-2.22,-0.33,1.21
2023-03-07,600699,14.58,14.26,14.65,14.22,113449,170654039.0,2.95,-2.06,-0.3,0.83
2023-03-08,600699,14.18,14.32,14.34,14.15,105339,156874206.0,1.33,0.42,0.06,0.77
2023-03-09,600699,14.34,14.23,14.42,14.16,76920,114537655.0,1.82,-0.63,-0.09,0.56
2023-03-10,600699,14.11,13.79,14.19,13.78,131566,191168033.0,2.88,-3.09,-0.44,0.96
2023-03-13,600699,13.63,13.82,13.88,13.58,142177,203809388.0,2.18,0.22,0.03,1.04
2023-03-14,600699,13.7,13.67,13.82,13.22,173355,245344842.0,4.34,-1.09,-0.15,1.27
2023-03-15,600699,13.76,13.74,14.03,13.69,102653,148460827.0,2.49,0.51,0.07,0.75
2023-03-16,600699,13.65,13.53,13.86,13.51,90319,129123393.0,2.55,-1.53,-0.21,0.66
2023-03-17,600699,13.69,13.55,13.74,13.51,99949,142332125.0,1.7,0.15,0.02,0.73
2023-03-20,600699,13.56,13.61,13.68,13.38,93389,132286831.0,2.21,0.44,0.06,0.68
2023-03-21,600699,13.6,13.98,14.0,13.58,116166,167744832.0,3.09,2.72,0.37,0.85
2023-03-22,600699,14.11,14.03,14.17,13.94,89063,130618966.0,1.65,0.36,0.05,0.65
2023-03-23,600699,14.0,14.05,14.06,13.82,89609,130518684.0,1.71,0.14,0.02,0.65
2023-03-24,600699,14.06,14.2,14.23,13.95,108161,159902186.0,1.99,1.07,0.15,0.79
2023-03-27,600699,14.22,14.39,14.47,14.12,150688,225447639.0,2.46,1.34,0.19,1.1
2023-03-28,600699,14.38,14.29,14.46,14.23,94737,141607364.0,1.6,-0.69,-0.1,0.69
2023-03-29,600699,14.29,14.39,14.58,14.26,109582,165070842.0,2.24,0.7,0.1,0.8
2023-03-30,600699,14.41,14.31,14.46,14.2,97121,144671086.0,1.81,-0.56,-0.08,0.71
2023-03-31,600699,14.56,14.61,14.86,14.31,194332,296130334.0,3.84,2.1,0.3,1.42
2023-04-03,600699,14.49,14.71,14.79,14.46,198546,303342144.0,2.26,0.68,0.1,1.45
2023-04-04,600699,14.59,14.43,14.68,14.36,161841,244035734.0,2.18,-1.9,-0.28,1.18
2023-04-06,600699,14.43,14.39,14.49,14.27,126527,189779211.0,1.52,-0.28,-0.04,0.92
2023-04-07,600699,14.39,14.39,14.64,14.33,137928,208298965.0,2.15,0.0,0.0,1.01
2023-04-10,600699,14.43,14.38,14.57,14.32,120463,181270361.0,1.74,-0.07,-0.01,0.88
2023-04-11,600699,14.38,14.29,14.43,14.21,108313,161436663.0,1.53,-0.63,-0.09,0.79
2023-04-12,600699,14.27,14.14,14.36,14.08,102917,152174579.0,1.96,-1.05,-0.15,0.75
2023-04-13,600699,14.88,14.63,15.06,14.56,487099,749185040.0,3.54,3.47,0.49,3.56
2023-04-14,600699,14.64,14.5,14.84,14.44,296963,452115401.0,2.73,-0.89,-0.13,2.17
2023-04-17,600699,14.53,14.53,14.57,14.36,206752,312146732.0,1.45,0.21,0.03,1.51
2023-04-18,600699,14.6,14.33,14.68,14.32,166439,250801363.0,2.48,-1.38,-0.2,1.22
2023-04-19,600699,14.33,14.16,14.34,14.08,140406,207757980.0,1.81,-1.19,-0.17,1.03
2023-04-20,600699,14.14,14.01,14.16,13.93,128679,188398562.0,1.62,-1.06,-0.15,0.94
2023-04-21,600699,13.96,13.56,14.11,13.56,152656,220030899.0,3.93,-3.21,-0.45,1.12
