date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002555,15.13,15.64,15.66,15.0,340236,623989006.75,4.34,2.83,0.43,2.08
2023-01-04,002555,15.64,16.33,16.45,15.59,539034,1022937525.67,5.5,4.41,0.69,3.3
2023-01-05,002555,16.66,17.29,17.99,16.54,994568,2001651431.34,8.88,5.88,0.96,6.08
2023-01-06,002555,17.29,16.9,17.33,16.71,403323,799488806.07,3.59,-2.26,-0.39,2.47
2023-01-09,002555,16.8,17.43,17.6,16.77,462691,936458093.47,4.91,3.14,0.53,2.83
2023-01-10,002555,17.43,17.57,17.86,17.27,293603,600108200.46,3.38,0.8,0.14,1.8
2023-01-11,002555,17.6,17.11,17.68,17.07,327442,661863641.83,3.47,-2.62,-0.46,2.0
2023-01-12,002555,17.22,17.09,17.31,16.82,263312,526091766.9,2.86,-0.12,-0.02,1.61
2023-01-13,002555,17.14,17.14,17.2,16.88,206386,411656822.17,1.87,0.29,0.05,1.26
2023-01-16,002555,17.22,16.94,17.26,16.78,250986,498692227.2,2.8,-1.17,-0.2,1.53
2023-01-17,002555,16.99,16.79,17.08,16.62,176498,347539922.17,2.72,-0.89,-0.15,1.08
2023-01-18,002555,17.41,17.72,18.15,17.3,727759,1501197450.4,5.06,5.54,0.93,4.45
2023-01-19,002555,17.74,18.22,18.37,17.14,407282,851524656.28,6.94,2.82,0.5,2.49
2023-01-20,002555,18.22,18.3,18.51,18.01,229535,485644350.55,2.74,0.44,0.08,1.4
2023-01-30,002555,18.76,18.09,18.76,18.03,288068,608846647.09,3.99,-1.15,-0.21,1.76
2023-01-31,002555,18.01,17.51,18.11,17.44,225660,463236731.33,3.7,-3.21,-0.58,1.38
2023-02-01,002555,17.51,17.8,17.8,17.16,229501,467315620.5,3.66,1.66,0.29,1.4
2023-02-02,002555,17.8,18.34,18.66,17.69,314408,665160032.12,5.45,3.03,0.54,1.92
2023-02-03,002555,18.3,18.72,18.89,18.19,281578,603428017.17,3.82,2.07,0.38,1.72
2023-02-06,002555,18.74,19.78,20.1,18.56,500225,1124394978.58,8.23,5.66,1.06,3.06
2023-02-07,002555,19.72,19.61,20.18,19.23,344988,777657743.25,4.8,-0.86,-0.17,2.11
2023-02-08,002555,19.57,19.19,19.58,18.99,262556,580772034.56,3.01,-2.14,-0.42,1.61
2023-02-09,002555,19.1,19.43,19.51,18.77,222376,490857709.41,3.86,1.25,0.24,1.36
