date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300454,111.89,124.89,124.89,110.49,58692,697123493.0,12.81,11.07,12.45,2.16
2023-01-04,300454,124.14,122.39,124.88,120.71,40839,499849560.0,3.34,-2.0,-2.5,1.5
2023-01-05,300454,122.08,124.89,126.9,121.49,34143,424735996.0,4.42,2.04,2.5,1.26
2023-01-06,300454,124.9,129.1,129.49,122.19,31073,389394769.0,5.85,3.37,4.21,1.14
2023-01-09,300454,127.39,134.45,136.47,125.99,44810,589222477.0,8.12,4.14,5.35,1.65
2023-01-10,300454,132.87,136.09,138.39,130.39,32774,437267522.0,5.95,1.22,1.64,1.21
2023-01-11,300454,134.88,125.6,135.82,124.18,44121,564647369.0,8.55,-7.71,-10.49,1.62
2023-01-12,300454,125.59,128.39,129.39,124.19,25289,322050368.0,4.14,2.22,2.79,0.93
2023-01-13,300454,128.89,129.37,131.49,127.26,22440,290451481.0,3.29,0.76,0.98,0.83
2023-01-16,300454,130.14,135.12,140.43,130.14,41612,567500707.0,7.95,4.44,5.75,1.53
2023-01-17,300454,140.89,136.89,142.49,134.99,28456,394049987.0,5.55,1.31,1.77,1.05
2023-01-18,300454,137.06,153.49,153.55,136.89,64686,954706762.0,12.17,12.13,16.6,2.38
2023-01-19,300454,149.89,154.89,160.89,148.39,53531,833382091.0,8.14,0.91,1.4,1.97
2023-01-20,300454,155.89,153.46,157.89,146.66,59870,904013376.0,7.25,-0.92,-1.43,2.2
2023-01-30,300454,151.9,160.9,163.54,145.1,62144,942630595.0,12.02,4.85,7.44,2.29
2023-01-31,300454,156.78,150.89,157.09,148.45,45730,696585029.0,5.37,-6.22,-10.01,1.68
2023-02-01,300454,151.25,153.87,155.76,147.12,40119,609779866.0,5.73,1.97,2.98,1.48
2023-02-02,300454,151.89,145.4,154.08,143.99,58256,857512640.0,6.56,-5.5,-8.47,2.14
2023-02-03,300454,144.09,148.89,148.89,143.44,37056,543233534.0,3.75,2.4,3.49,1.36
2023-02-06,300454,146.39,145.5,148.31,143.05,42726,622083078.0,3.53,-2.28,-3.39,1.57
2023-02-07,300454,146.35,143.57,146.5,142.15,32980,473221839.0,2.99,-1.33,-1.93,1.21
2023-02-08,300454,142.89,141.99,144.52,141.6,17966,256505734.0,2.03,-1.1,-1.58,0.66
2023-02-09,300454,141.88,144.19,145.47,139.39,28981,415796937.0,4.28,1.55,2.2,1.07
2023-02-10,300454,143.54,141.39,145.09,139.79,29291,415106858.0,3.68,-1.94,-2.8,1.08
2023-02-13,300454,141.69,142.17,142.88,139.71,30500,430122773.0,2.24,0.55,0.78,1.12
