date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,600536,44.75,48.73,49.34,44.37,472571,2917320733.0,11.08,8.65,3.88,7.35
2023-01-04,600536,48.45,48.45,48.81,47.48,288094,1806238510.0,2.73,-0.57,-0.28,4.48
2023-01-05,600536,48.18,48.37,48.52,46.89,213790,1330550314.0,3.36,-0.17,-0.08,3.33
2023-01-06,600536,48.05,47.36,48.08,47.1,163061,1009874809.0,2.03,-2.09,-1.01,2.54
2023-01-09,600536,47.45,47.23,47.98,46.91,155484,957141744.0,2.26,-0.27,-0.13,2.42
2023-01-10,600536,47.24,47.18,47.7,46.55,140604,862587767.0,2.43,-0.11,-0.05,2.19
2023-01-11,600536,47.18,45.98,47.36,45.82,166689,1006369082.0,3.26,-2.54,-1.2,2.59
2023-01-12,600536,45.98,47.14,48.42,45.68,236366,1450752992.0,5.96,2.52,1.16,3.68
2023-01-13,600536,47.2,46.14,47.35,45.38,155135,932964556.0,4.18,-2.12,-1.0,2.41
2023-01-16,600536,46.18,48.35,49.18,46.18,274338,1726230351.0,6.5,4.79,2.21,4.27
2023-01-17,600536,48.35,48.24,49.1,48.09,134584,849431893.0,2.09,-0.23,-0.11,2.09
2023-01-18,600536,48.21,50.57,51.77,47.74,334425,2179091539.0,8.35,4.83,2.33,5.2
2023-01-19,600536,50.57,55.63,55.63,50.37,398960,2824709448.0,10.4,10.01,5.06,6.21
2023-01-20,600536,57.68,61.19,61.19,57.21,478196,3758699729.0,7.15,9.99,5.56,7.44
2023-01-30,600536,62.29,61.59,63.64,60.75,543310,4371565884.0,4.72,0.65,0.4,8.45
2023-01-31,600536,60.75,57.9,61.45,57.55,447252,3436697197.0,6.33,-5.99,-3.69,6.96
2023-02-01,600536,57.96,58.84,59.08,57.31,398398,3014051789.0,3.06,1.62,0.94,6.2
2023-02-02,600536,58.8,58.33,62.27,57.95,473380,3679524167.0,7.34,-0.87,-0.51,7.36
2023-02-03,600536,58.32,61.89,64.17,57.18,555416,4368752857.0,11.98,6.1,3.56,8.64
2023-02-06,600536,61.51,62.49,64.81,60.5,441758,3584908701.0,6.96,0.97,0.6,6.87
2023-02-07,600536,60.54,59.61,61.91,59.21,321391,2509564239.0,4.32,-4.61,-2.88,5.0
2023-02-08,600536,59.22,59.25,61.09,58.14,244343,1888419061.0,4.95,-0.6,-0.36,3.8
2023-02-09,600536,58.98,60.35,61.09,58.37,264106,2052522989.0,4.59,1.86,1.1,4.11
2023-02-10,600536,59.37,58.45,59.75,57.68,233031,1777602197.0,3.43,-3.15,-1.9,3.62
2023-02-13,600536,58.44,58.39,59.1,57.91,184701,1400979547.0,2.04,-0.1,-0.06,2.87
2023-02-14,600536,58.45,57.39,59.07,57.06,206443,1554495472.0,3.44,-1.71,-1.0,3.21
2023-02-15,600536,57.16,57.76,58.45,56.64,232230,1742525396.0,3.15,0.64,0.37,3.61
2023-02-16,600536,58.45,59.81,63.54,56.68,584937,4571506973.0,11.88,3.55,2.05,9.1
2023-02-17,600536,59.21,55.08,59.79,54.8,455444,3340370674.0,8.34,-7.91,-4.73,7.08
2023-02-20,600536,54.82,56.0,56.58,54.44,249844,1809121087.0,3.89,1.67,0.92,3.89
2023-02-21,600536,55.6,55.45,57.2,54.8,226050,1641646417.0,4.29,-0.98,-0.55,3.52
2023-02-22,600536,54.96,59.8,60.75,54.85,547284,4139934323.0,10.64,7.84,4.35,8.51
2023-02-23,600536,58.28,55.58,58.45,54.61,480506,3509160848.0,6.42,-7.06,-4.22,7.47
2023-02-24,600536,55.1,54.18,55.1,52.52,281680,1971291983.0,4.64,-2.52,-1.4,4.38
2023-02-27,600536,53.84,54.07,54.93,53.2,166944,1176104575.0,3.19,-0.2,-0.11,2.6
2023-02-28,600536,55.68,54.92,56.39,54.15,261912,1878926259.0,4.14,1.57,0.85,4.07
2023-03-01,600536,54.29,56.46,58.06,54.29,365721,2682094449.0,6.86,2.8,1.54,5.69
2023-03-02,600536,56.37,55.83,57.51,55.37,259472,1896107711.0,3.79,-1.12,-0.63,4.04
2023-03-03,600536,55.35,57.51,58.35,54.42,360251,2665730528.0,7.04,3.01,1.68,5.6
2023-03-06,600536,57.68,57.81,60.75,56.95,386123,2945063076.0,6.61,0.52,0.3,6.01
2023-03-07,600536,57.3,56.58,58.88,56.51,262300,1963984235.0,4.1,-2.13,-1.23,4.08
2023-03-08,600536,56.45,59.2,59.64,55.37,410884,3097517970.0,7.55,4.63,2.62,6.39
2023-03-09,600536,58.79,58.25,59.05,56.79,260254,1959418230.0,3.82,-1.6,-0.95,4.05
2023-03-10,600536,57.64,56.9,59.18,56.83,226909,1711249896.0,4.03,-2.32,-1.35,3.53
2023-03-13,600536,56.29,59.18,59.46,56.05,335764,2554973474.0,5.99,4.01,2.28,5.22
2023-03-14,600536,57.81,58.18,58.97,56.52,428273,3201494373.0,4.14,-1.69,-1.0,6.66
2023-03-15,600536,58.09,56.14,58.14,56.05,299299,2210953037.0,3.59,-3.51,-2.04,4.66
2023-03-16,600536,55.68,52.95,55.7,52.76,398272,2780679553.0,5.24,-5.68,-3.19,6.19
2023-03-17,600536,53.31,53.38,54.35,53.0,271121,1891264950.0,2.55,0.81,0.43,4.22
2023-03-20,600536,53.06,51.21,53.82,50.81,344719,2328630303.0,5.64,-4.07,-2.17,5.36
2023-03-21,600536,51.52,51.6,52.05,50.28,222247,1484839390.0,3.46,0.76,0.39,3.46
2023-03-22,600536,51.45,52.57,53.1,50.83,207157,1409866933.0,4.4,1.88,0.97,3.22
2023-03-23,600536,52.23,54.33,54.56,51.91,307041,2139029437.0,5.04,3.35,1.76,4.78
2023-03-24,600536,54.2,54.52,55.27,52.91,281745,1989458828.0,4.34,0.35,0.19,4.38
2023-03-27,600536,54.56,53.08,55.37,52.37,280435,1959766453.0,5.5,-2.64,-1.44,4.36
2023-03-28,600536,52.68,53.54,54.98,52.38,264926,1861671574.0,4.9,0.87,0.46,4.12
2023-03-29,600536,53.1,51.98,53.41,50.89,318525,2147280743.0,4.71,-2.91,-1.56,4.95
2023-03-30,600536,51.68,51.12,52.38,50.95,192669,1290349482.0,2.75,-1.65,-0.86,3.0
2023-03-31,600536,51.32,52.93,53.31,50.92,245933,1677463707.0,4.68,3.54,1.81,3.83
2023-04-03,600536,52.83,53.93,54.21,52.45,264891,1844134908.0,3.33,1.89,1.0,4.12
2023-04-04,600536,53.91,53.9,55.75,53.34,307208,2168740855.0,4.47,-0.06,-0.03,4.78
2023-04-06,600536,53.02,53.36,55.03,52.68,264365,1843965255.0,4.36,-1.0,-0.54,4.11
2023-04-07,600536,53.38,52.39,53.52,52.29,209032,1432197262.0,2.31,-1.82,-0.97,3.25
2023-04-10,600536,52.91,50.2,53.34,49.74,292681,1951089535.0,6.87,-4.18,-2.19,4.55
2023-04-11,600536,50.01,49.98,50.74,48.97,185714,1203599780.0,3.53,-0.44,-0.22,2.89
2023-04-12,600536,50.28,51.65,52.65,49.76,283093,1889833729.0,5.78,3.34,1.67,4.4
2023-04-13,600536,51.21,51.48,53.68,50.75,284360,1923714297.0,5.67,-0.33,-0.17,4.42
2023-04-14,600536,51.75,53.04,54.85,51.28,365224,2533450614.0,6.93,3.03,1.56,5.68
2023-04-17,600536,52.52,50.98,52.56,50.75,271741,1812601912.0,3.41,-3.88,-2.06,4.23
2023-04-18,600536,51.29,51.14,51.33,50.07,159374,1052295205.0,2.47,0.31,0.16,2.48
2023-04-19,600536,50.98,53.6,55.01,50.76,555893,3877012432.0,8.31,4.81,2.46,8.65
2023-04-20,600536,53.85,53.14,54.19,51.75,341794,2349407504.0,4.55,-0.86,-0.46,5.32
2023-04-21,600536,53.06,48.54,53.06,48.45,442180,2886644673.0,8.68,-8.66,-4.6,6.88
2023-04-24,600536,48.27,46.78,48.54,46.21,231738,1427531694.0,4.8,-3.63,-1.76,3.6
2023-04-25,600536,46.91,46.11,48.11,45.52,211878,1285741561.0,5.54,-1.43,-0.67,3.3
2023-04-26,600536,45.75,44.14,46.29,43.75,219906,1276856957.0,5.51,-4.27,-1.97,3.42
2023-04-27,600536,44.15,44.2,45.29,43.68,149641,864264238.0,3.65,0.14,0.06,2.33
2023-04-28,600536,43.06,43.76,44.9,42.29,196830,1122585637.0,5.9,-1.0,-0.44,3.06
2023-05-04,600536,43.68,44.05,44.55,42.74,170821,965296478.0,4.14,0.66,0.29,2.66
