date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,600588,24.11,24.84,25.02,23.94,317093,784420771.0,4.48,3.03,0.73,0.93
2023-01-04,600588,24.99,24.82,25.46,24.54,305332,763372199.0,3.7,-0.08,-0.02,0.89
2023-01-05,600588,24.74,24.47,24.9,24.35,232368,572419930.0,2.22,-1.41,-0.35,0.68
2023-01-06,600588,24.47,24.21,24.54,24.01,193142,468932934.0,2.17,-1.06,-0.26,0.57
2023-01-09,600588,24.21,24.29,24.43,24.04,151157,367206327.0,1.61,0.33,0.08,0.44
2023-01-10,600588,24.34,24.06,24.39,23.84,141552,341228518.0,2.26,-0.95,-0.23,0.41
2023-01-11,600588,24.03,23.52,24.04,23.39,174324,413834032.0,2.7,-2.24,-0.54,0.51
2023-01-12,600588,23.61,23.62,23.91,23.26,146411,346182490.0,2.76,0.43,0.1,0.43
2023-01-13,600588,23.62,23.34,23.78,23.01,167092,389150019.0,3.26,-1.19,-0.28,0.49
2023-01-16,600588,23.34,23.82,24.14,23.34,207659,497116560.0,3.43,2.06,0.48,0.61
2023-01-17,600588,23.81,23.59,24.02,23.44,138874,329589533.0,2.43,-0.97,-0.23,0.41
2023-01-18,600588,23.65,24.34,24.69,23.6,239271,583331682.0,4.62,3.18,0.75,0.7
2023-01-19,600588,24.04,25.26,25.43,24.04,337614,845874126.0,5.71,3.78,0.92,0.99
2023-01-20,600588,25.24,26.02,26.2,25.14,369888,960178602.0,4.2,3.01,0.76,1.08
2023-01-30,600588,26.54,24.89,26.67,24.85,573766,1455505957.0,6.99,-4.34,-1.13,1.68
2023-01-31,600588,25.06,24.45,25.42,24.34,340856,845550893.0,4.34,-1.77,-0.44,1.0
2023-02-01,600588,24.49,24.66,24.68,24.27,327678,803494309.0,1.68,0.86,0.21,0.96
2023-02-02,600588,24.94,25.66,26.62,24.74,531360,1365928197.0,7.62,4.06,1.0,1.56
2023-02-03,600588,25.44,26.19,26.39,25.25,337343,874852291.0,4.44,2.07,0.53,0.99
2023-02-06,600588,26.06,25.64,26.42,25.3,366589,946676143.0,4.28,-2.1,-0.55,1.07
2023-02-07,600588,25.54,25.1,25.64,24.93,232908,588818754.0,2.77,-2.11,-0.54,0.68
2023-02-08,600588,25.11,24.99,25.47,24.83,227243,573043182.0,2.55,-0.44,-0.11,0.67
2023-02-09,600588,24.93,25.78,26.14,24.26,416209,1049346508.0,7.52,3.16,0.79,1.22
2023-02-10,600588,25.53,24.82,25.7,24.71,305025,767983127.0,3.84,-3.72,-0.96,0.89
2023-02-13,600588,24.65,24.81,25.12,24.56,215694,537392131.0,2.26,-0.04,-0.01,0.63
2023-02-14,600588,24.8,24.43,25.02,24.4,191834,473116818.0,2.5,-1.53,-0.38,0.56
2023-02-15,600588,24.39,25.23,25.68,24.22,418214,1051584192.0,5.98,3.27,0.8,1.22
2023-02-16,600588,25.42,25.02,25.91,24.8,347451,883908737.0,4.4,-0.83,-0.21,1.02
2023-02-17,600588,24.97,23.19,25.09,23.13,475600,1130822220.0,7.83,-7.31,-1.83,1.39
2023-02-20,600588,23.19,23.52,23.59,22.97,238564,556598164.0,2.67,1.42,0.33,0.7
2023-02-21,600588,23.48,23.18,23.86,22.95,324779,759664869.0,3.87,-1.45,-0.34,0.95
2023-02-22,600588,23.02,23.54,23.94,22.83,276070,648401549.0,4.79,1.55,0.36,0.81
2023-02-23,600588,23.54,23.03,23.54,22.85,202985,470122497.0,2.93,-2.17,-0.51,0.59
2023-02-24,600588,22.97,23.01,23.26,22.79,189476,437189672.0,2.04,-0.09,-0.02,0.55
2023-02-27,600588,22.86,22.76,23.2,22.6,176299,402656432.0,2.61,-1.09,-0.25,0.52
2023-02-28,600588,23.23,23.22,23.76,23.02,370437,869297704.0,3.25,2.02,0.46,1.08
2023-03-01,600588,23.22,25.55,25.55,23.14,790160,1960434756.0,10.38,10.03,2.33,2.31
2023-03-02,600588,25.91,26.41,26.74,25.65,787714,2060676821.0,4.27,3.37,0.86,2.31
2023-03-03,600588,26.11,25.9,26.57,25.3,434777,1126747812.0,4.81,-1.93,-0.51,1.27
2023-03-06,600588,25.74,25.71,26.14,25.53,249000,643458049.0,2.36,-0.73,-0.19,0.73
2023-03-07,600588,25.67,24.92,25.89,24.91,248232,628122832.0,3.81,-3.07,-0.79,0.73
2023-03-08,600588,24.92,25.27,25.46,24.92,220711,556505865.0,2.17,1.4,0.35,0.65
2023-03-09,600588,25.29,25.43,25.83,24.89,244685,620563181.0,3.72,0.63,0.16,0.72
