Symbol,Name,Last_Close,LSTM_Base_Return(%)
300223,北京君正,121.83,-3.12
300458,全志科技,41.96,0.09
300474,景嘉微,71.58,-0.47
301536,星宸科技,70.96,-0.78
603160,汇顶科技,78.7,-0.16
603501,韦尔股份,115.82,0.11
603893,瑞芯微,184.35,-1.07
688008,澜起科技,164.6,0.73
688018,乐鑫科技,167.3,-0.47
688099,晶晨股份,94.28,0.34
688256,寒武纪,1120.68,2.98
688385,复旦微电,85.65,-0.76
688521,芯原股份,275.5,-4.87
688608,恒玄科技,209.01,0.22
002281,光迅科技,70.02,-0.43
300308,中际旭创,531.0,6.55
300502,新易盛,366.11,0.11
000938,紫光股份,25.5,0.27
000977,浪潮信息,65.33,-0.29
002261,拓维信息,33.16,-0.82
300383,光环新网,17.75,-0.64
300442,润泽科技,76.5,-0.64
300857,协创数据,247.87,-3.11
600100,同方股份,9.33,-1.96
603019,中科曙光,91.7,0.12
002402,和而泰,36.01,2.64
603486,科沃斯,70.86,-0.53
688169,石头科技,148.2,0.59
002920,德赛西威,122.63,-0.88
600699,均胜电子,27.9,-2.76
002230,科大讯飞,57.12,0.18
002555,三七互娱,25.18,-0.14
300002,神州泰岳,12.21,0.29
300418,昆仑万维,60.39,-2.53
688615,合合信息,239.72,3.93
002236,大华股份,18.92,0.22
002415,海康威视,32.38,-0.32
688322,奥比中光,96.77,0.64
688475,萤石网络,30.29,0.29
000032,深桑达A,20.8,-0.91
002065,东华软件,9.62,-0.12
002152,广电运通,13.46,-0.66
300454,深信服,146.51,-0.02
300496,中科创达,73.8,-0.45
600536,中国软件,45.13,-0.14
600588,用友网络,14.6,-0.38
600845,宝信软件,23.91,0.07
601360,三六零,12.9,-0.32
688111,金山办公,307.28,0.17
688568,中科星图,65.1,-1.6
