date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,603501,75.96,76.45,76.47,74.24,86370,662547175.0,2.93,0.53,0.4,0.73
2023-01-04,603501,75.96,76.85,77.46,75.96,97391,757396540.0,1.96,0.52,0.4,0.83
2023-01-05,603501,77.19,78.46,79.26,76.76,102599,814306009.0,3.25,2.09,1.61,0.87
2023-01-06,603501,78.76,80.53,82.35,78.09,137589,1121836924.0,5.43,2.64,2.07,1.17
2023-01-09,603501,80.84,81.98,83.36,80.77,118637,988836352.0,3.22,1.8,1.45,1.01
2023-01-10,603501,82.3,84.45,86.54,82.0,164567,1408525831.0,5.54,3.01,2.47,1.39
2023-01-11,603501,84.45,82.46,85.96,82.46,112286,952647661.0,4.14,-2.36,-1.99,0.95
2023-01-12,603501,82.93,82.71,83.55,81.96,62240,520889966.0,1.93,0.3,0.25,0.53
2023-01-13,603501,82.28,83.33,83.46,82.06,59345,497417398.0,1.69,0.75,0.62,0.5
2023-01-16,603501,80.29,90.21,91.77,79.97,480754,4269724613.0,14.16,8.26,6.88,4.08
2023-01-17,603501,89.95,91.96,94.13,89.73,258463,2418863174.0,4.88,1.94,1.75,2.19
2023-01-18,603501,91.96,92.14,93.46,90.72,141831,1320340199.0,2.98,0.2,0.18,1.2
2023-01-19,603501,92.14,96.41,97.05,91.68,229012,2199542493.0,5.83,4.63,4.27,1.94
2023-01-20,603501,96.49,95.54,96.94,94.98,139096,1344006608.0,2.03,-0.9,-0.87,1.18
2023-01-30,603501,99.84,95.26,99.84,94.31,180227,1750413103.0,5.79,-0.29,-0.28,1.53
2023-01-31,603501,95.26,93.12,96.46,92.99,146301,1389282772.0,3.64,-2.25,-2.14,1.24
2023-02-01,603501,92.27,93.78,94.84,92.27,102801,971083330.0,2.76,0.71,0.66,0.87
2023-02-02,603501,93.96,94.06,95.91,93.64,118062,1129521249.0,2.42,0.3,0.28,1.0
2023-02-03,603501,93.35,93.03,94.88,91.66,113577,1066115089.0,3.42,-1.1,-1.03,0.96
2023-02-06,603501,93.03,91.33,93.44,90.78,97045,899398300.0,2.86,-1.83,-1.7,0.82
2023-02-07,603501,92.54,91.6,92.66,90.66,78222,724725569.0,2.19,0.3,0.27,0.66
2023-02-08,603501,91.86,90.66,92.96,90.55,75699,699034730.0,2.63,-1.03,-0.94,0.64
2023-02-09,603501,89.99,93.96,93.96,89.37,151349,1414364984.0,5.06,3.64,3.3,1.28
2023-02-10,603501,93.86,92.96,94.46,92.38,105353,994188090.0,2.21,-1.06,-1.0,0.89
2023-02-13,603501,92.49,93.36,94.43,92.01,92494,872497068.0,2.6,0.43,0.4,0.78
2023-02-14,603501,93.36,92.83,94.8,92.1,86659,815500566.0,2.89,-0.57,-0.53,0.73
2023-02-15,603501,92.89,93.43,93.96,92.08,75785,713673971.0,2.03,0.65,0.6,0.64
2023-02-16,603501,93.41,90.55,94.87,89.41,147143,1378477786.0,5.84,-3.08,-2.88,1.25
2023-02-17,603501,90.34,86.84,90.95,86.75,146494,1310605693.0,4.64,-4.1,-3.71,1.24
2023-02-20,603501,86.75,88.55,88.94,86.04,83552,741432106.0,3.34,1.97,1.71,0.71
2023-02-21,603501,88.55,88.19,89.41,87.46,71083,636096445.0,2.2,-0.41,-0.36,0.6
2023-02-22,603501,87.82,87.37,88.38,87.07,51310,454733223.0,1.49,-0.93,-0.82,0.43
2023-02-23,603501,87.16,87.0,88.25,86.76,67193,593604890.0,1.71,-0.42,-0.37,0.57
2023-02-24,603501,87.86,86.02,88.31,85.97,61180,536806532.0,2.69,-1.13,-0.98,0.52
2023-02-27,603501,85.46,84.41,86.02,83.66,93728,802106734.0,2.74,-1.87,-1.61,0.79
2023-02-28,603501,84.77,84.91,85.23,83.19,75410,643389347.0,2.42,0.59,0.5,0.64
2023-03-01,603501,84.92,85.5,85.93,84.51,104704,902423110.0,1.67,0.69,0.59,0.89
2023-03-02,603501,86.16,85.07,87.28,84.98,101522,885073606.0,2.69,-0.5,-0.43,0.86
2023-03-03,603501,86.1,85.56,87.68,84.46,125595,1093039198.0,3.79,0.58,0.49,1.06
2023-03-06,603501,85.57,84.96,85.95,83.8,86151,739337998.0,2.51,-0.7,-0.6,0.73
2023-03-07,603501,84.76,82.42,85.26,82.42,93443,790755632.0,3.34,-2.99,-2.54,0.79
2023-03-08,603501,82.16,83.1,83.63,81.96,58447,490373484.0,2.03,0.83,0.68,0.5
2023-03-09,603501,83.22,82.32,84.38,82.24,86132,725069874.0,2.58,-0.94,-0.78,0.73
