date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,603893,66.97,69.32,69.63,66.1,15942,111589430.0,5.26,3.22,2.16,0.83
2023-01-04,603893,69.64,69.34,71.0,68.91,18348,130977468.0,3.02,0.03,0.02,0.96
2023-01-05,603893,69.0,69.77,70.85,68.94,15811,113435243.0,2.75,0.62,0.43,0.83
2023-01-06,603893,69.95,69.92,71.33,69.01,19515,140746592.0,3.33,0.21,0.15,1.02
2023-01-09,603893,69.92,70.33,71.75,69.55,13460,97260277.0,3.15,0.59,0.41,0.7
2023-01-10,603893,70.69,71.52,73.6,70.16,22458,164994622.0,4.89,1.69,1.19,1.17
2023-01-11,603893,71.35,70.36,72.51,69.35,23556,170156218.0,4.42,-1.62,-1.16,1.23
2023-01-12,603893,70.33,70.46,70.85,69.1,13622,97870767.0,2.49,0.14,0.1,0.71
2023-01-13,603893,70.55,70.56,70.84,69.58,12245,88092727.0,1.79,0.14,0.1,0.64
2023-01-16,603893,68.35,71.74,72.26,68.35,29144,212827398.0,5.54,1.67,1.18,1.52
2023-01-17,603893,72.01,74.42,75.11,71.85,37360,283046388.0,4.54,3.74,2.68,1.95
2023-01-18,603893,74.05,73.85,74.85,72.6,21929,164868625.0,3.02,-0.77,-0.57,1.15
2023-01-19,603893,73.87,75.57,76.33,73.19,23532,180677320.0,4.25,2.33,1.72,1.23
2023-01-20,603893,75.77,74.72,76.35,74.53,17288,132465049.0,2.41,-1.12,-0.85,0.9
2023-01-30,603893,75.98,76.21,76.85,75.05,21513,167158934.0,2.41,1.99,1.49,1.13
2023-01-31,603893,75.8,73.95,76.14,73.67,18636,141697160.0,3.24,-2.97,-2.26,0.97
2023-02-01,603893,74.23,74.74,75.71,73.85,22863,174525724.0,2.52,1.07,0.79,1.2
2023-02-02,603893,75.98,82.38,82.38,74.74,56025,451521835.0,10.22,10.22,7.64,2.93
2023-02-03,603893,82.38,80.17,83.26,78.54,69425,569718896.0,5.73,-2.68,-2.21,3.63
2023-02-06,603893,79.91,78.98,81.15,78.38,36588,296888904.0,3.46,-1.48,-1.19,1.91
2023-02-07,603893,78.98,81.54,83.73,77.85,70880,583880291.0,7.44,3.24,2.56,3.71
2023-02-08,603893,82.55,84.83,87.29,82.15,88187,763832139.0,6.3,4.03,3.29,2.12
