date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688256,54.51,56.78,57.34,54.15,20491,114950544.0,5.85,4.07,2.22,0.85
2023-01-04,688256,57.23,56.94,58.08,56.33,15567,88769209.0,3.08,0.28,0.16,0.64
2023-01-05,688256,56.88,56.8,57.22,55.8,16151,91448611.0,2.49,-0.25,-0.14,0.67
2023-01-06,688256,56.98,56.65,57.54,56.02,17082,97090922.0,2.68,-0.26,-0.15,0.71
2023-01-09,688256,56.83,56.89,57.6,56.6,14167,80789058.0,1.77,0.42,0.24,0.58
2023-01-10,688256,56.89,57.14,58.16,56.89,19147,109909934.0,2.23,0.44,0.25,0.79
2023-01-11,688256,57.17,56.37,58.0,56.25,16727,95478630.0,3.06,-1.35,-0.77,0.69
2023-01-12,688256,56.19,55.73,56.68,55.3,18234,101906330.0,2.45,-1.14,-0.64,0.75
2023-01-13,688256,56.26,56.09,56.26,55.51,11981,67067291.0,1.35,0.65,0.36,0.49
2023-01-16,688256,55.99,57.79,58.5,55.83,27548,158869671.0,4.76,3.03,1.7,1.14
2023-01-17,688256,57.99,58.05,59.42,57.52,20689,121012993.0,3.29,0.45,0.26,0.85
2023-01-18,688256,58.55,58.5,59.17,58.04,16387,96114529.0,1.95,0.78,0.45,0.68
2023-01-19,688256,58.1,61.0,61.0,58.07,28935,173912817.0,5.01,4.27,2.5,1.19
2023-01-20,688256,61.02,61.03,61.63,60.51,18462,112711724.0,1.84,0.05,0.03,0.76
2023-01-30,688256,65.5,64.31,65.98,63.56,50901,329053146.0,3.97,5.37,3.28,2.1
2023-01-31,688256,64.0,62.1,64.78,61.88,28411,178354197.0,4.51,-3.44,-2.21,1.17
2023-02-01,688256,62.0,64.74,65.98,62.0,44081,283995043.0,6.41,4.25,2.64,1.82
2023-02-02,688256,66.0,69.9,74.69,65.71,92852,661459274.0,13.87,7.97,5.16,3.83
2023-02-03,688256,69.88,71.11,72.78,69.84,81695,582621675.0,4.21,1.73,1.21,3.37
2023-02-06,688256,73.1,72.84,74.96,71.05,105268,771667409.0,5.5,2.43,1.73,4.35
2023-02-07,688256,71.31,75.7,80.88,71.31,151268,1150227076.0,13.14,3.93,2.86,6.25
