date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688521,44.03,45.23,45.28,43.52,20489,91239238.0,3.99,2.63,1.16,0.99
2023-01-04,688521,45.47,45.48,46.57,44.9,23194,105752110.0,3.69,0.55,0.25,1.12
2023-01-05,688521,45.23,45.7,45.89,44.85,20723,93955961.0,2.29,0.48,0.22,1.0
2023-01-06,688521,45.67,45.61,46.16,45.06,21512,98229036.0,2.41,-0.2,-0.09,1.04
2023-01-09,688521,46.0,45.6,46.46,45.41,17697,81297602.0,2.3,-0.02,-0.01,0.85
2023-01-10,688521,45.78,46.1,46.88,45.66,22316,103352841.0,2.68,1.1,0.5,1.08
2023-01-11,688521,46.65,45.63,47.3,45.46,20937,96925356.0,3.99,-1.02,-0.47,1.01
2023-01-12,688521,45.35,45.72,45.89,44.73,13677,62218223.0,2.54,0.2,0.09,0.66
2023-01-13,688521,45.9,46.25,46.3,45.56,15140,69676531.0,1.62,1.16,0.53,0.73
2023-01-16,688521,45.92,48.09,48.47,45.8,31554,150283234.0,5.77,3.98,1.84,1.52
2023-01-17,688521,48.36,49.63,49.93,47.78,26430,130115889.0,4.47,3.2,1.54,1.27
2023-01-18,688521,50.33,49.85,50.33,49.3,19131,95473755.0,2.08,0.44,0.22,0.92
2023-01-19,688521,51.09,57.18,57.52,51.09,84740,462087900.0,12.9,14.7,7.33,4.09
2023-01-20,688521,56.65,55.7,57.18,55.05,55616,311749625.0,3.73,-2.59,-1.48,2.68
2023-01-30,688521,57.68,56.43,57.7,56.08,52687,298300417.0,2.91,1.31,0.73,2.54
2023-01-31,688521,56.4,54.99,56.97,54.87,35292,195619986.0,3.72,-2.55,-1.44,1.7
2023-02-01,688521,55.0,56.85,58.69,54.99,53806,306236684.0,6.73,3.38,1.86,2.59
2023-02-02,688521,58.23,57.8,60.08,57.4,59800,349663809.0,4.71,1.67,0.95,2.88
2023-02-03,688521,57.5,58.89,59.0,57.27,40238,233999547.0,2.99,1.89,1.09,1.94
2023-02-06,688521,58.5,58.4,60.25,57.85,38076,223944436.0,4.08,-0.83,-0.49,1.84
2023-02-07,688521,58.4,58.8,60.18,58.15,40593,239478759.0,3.48,0.68,0.4,1.96
2023-02-08,688521,59.38,57.05,60.25,57.0,42596,246811832.0,5.53,-2.98,-1.75,2.05
2023-02-09,688521,56.64,60.5,60.8,56.64,68498,406280268.0,7.29,6.05,3.45,3.3
2023-02-10,688521,62.0,60.51,62.0,59.78,55684,338366566.0,3.67,0.02,0.01,2.68
2023-02-13,688521,60.33,62.94,64.38,60.19,55013,343645083.0,6.92,4.02,2.43,2.65
2023-02-14,688521,63.21,62.01,66.68,61.8,75387,481481688.0,7.75,-1.48,-0.93,3.63
2023-02-15,688521,61.5,63.97,65.5,61.46,60814,387011875.0,6.52,3.16,1.96,2.93
2023-02-16,688521,64.0,62.32,66.2,61.88,69654,445913323.0,6.75,-2.58,-1.65,3.36
2023-02-17,688521,61.93,59.38,62.32,59.27,66586,403622563.0,4.89,-4.72,-2.94,3.21
2023-02-20,688521,59.01,62.4,62.83,58.66,53020,324958999.0,7.02,5.09,3.02,2.56
2023-02-21,688521,62.38,61.2,63.3,60.9,38640,238905678.0,3.85,-1.92,-1.2,1.86
2023-02-22,688521,60.94,61.32,62.66,60.4,26175,161386733.0,3.69,0.2,0.12,1.26
2023-02-23,688521,61.0,61.23,62.22,60.57,19601,120290671.0,2.69,-0.15,-0.09,0.95
2023-02-24,688521,61.98,62.1,63.46,61.23,47161,294713875.0,3.64,1.42,0.87,2.27
2023-02-27,688521,61.8,60.82,62.64,60.25,39271,240194557.0,3.85,-2.06,-1.28,1.89
2023-02-28,688521,61.5,62.96,63.6,61.15,43987,274663260.0,4.03,3.52,2.14,2.12
2023-03-01,688521,62.63,69.57,69.84,62.26,148646,996141708.0,12.04,10.5,6.61,7.17
2023-03-02,688521,69.99,66.38,70.68,65.6,110862,743144378.0,7.3,-4.59,-3.19,5.35
2023-03-03,688521,67.6,65.98,68.73,61.52,145133,937617498.0,10.86,-0.6,-0.4,7.0
2023-03-06,688521,65.2,65.3,66.55,63.75,79656,519160811.0,4.24,-1.03,-0.68,3.84
2023-03-07,688521,65.31,65.35,67.8,64.5,78796,520032864.0,5.05,0.08,0.05,3.8
2023-03-08,688521,65.35,68.2,69.12,65.0,73494,493989234.0,6.3,4.36,2.85,3.54
