date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300502,11.58,12.11,12.2,11.52,99425,242783805.0,5.85,4.22,0.49,2.27
2023-01-04,300502,12.11,12.16,12.28,11.97,85833,211951106.0,2.56,0.41,0.05,1.96
2023-01-05,300502,12.13,12.29,12.33,12.04,63576,158511668.0,2.38,1.07,0.13,1.45
2023-01-06,300502,12.25,12.37,12.52,12.23,74541,188301023.0,2.36,0.65,0.08,1.7
2023-01-09,300502,12.39,12.24,12.48,12.2,67040,168223620.0,2.26,-1.05,-0.13,1.53
2023-01-10,300502,12.24,12.2,12.32,12.12,50219,125036449.0,1.63,-0.33,-0.04,1.14
2023-01-11,300502,12.28,12.01,12.31,12.0,58409,144594329.0,2.54,-1.56,-0.19,1.33
2023-01-12,300502,12.01,12.1,12.13,11.96,46533,114619460.0,1.42,0.75,0.09,1.06
2023-01-13,300502,12.22,12.01,12.22,11.87,56839,138603326.0,2.89,-0.74,-0.09,1.3
2023-01-16,300502,11.96,12.31,12.44,11.95,82307,206325536.0,4.08,2.5,0.3,1.88
2023-01-17,300502,12.32,12.35,12.41,12.23,41728,104841005.0,1.46,0.32,0.04,0.95
2023-01-18,300502,12.35,12.41,12.46,12.21,59028,148763514.0,2.02,0.49,0.06,1.35
2023-01-19,300502,12.36,12.47,12.49,12.3,70670,178854482.0,1.53,0.48,0.06,1.61
2023-01-20,300502,12.44,12.56,12.67,12.44,74207,189840424.0,1.84,0.72,0.09,1.69
2023-01-30,300502,12.73,12.65,12.92,12.61,94105,243235545.0,2.47,0.72,0.09,2.15
2023-01-31,300502,12.52,12.33,12.6,12.2,182209,458046720.0,3.16,-2.53,-0.32,4.15
2023-02-01,300502,12.33,12.66,12.66,12.33,148324,378317946.0,2.68,2.68,0.33,3.38
2023-02-02,300502,12.66,12.84,13.03,12.66,161000,421116461.0,2.92,1.42,0.18,3.67
2023-02-03,300502,12.98,12.97,13.22,12.66,178344,469283618.0,4.36,1.01,0.13,4.07
2023-02-06,300502,12.97,13.4,13.53,12.96,279649,755152059.0,4.39,3.32,0.43,6.37
2023-02-07,300502,13.22,14.27,14.45,13.2,488354,1387999194.0,9.33,6.49,0.87,11.13
