date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002261,6.64,7.01,7.05,6.63,436162,300331829.69,6.33,5.73,0.38,3.89
2023-01-04,002261,7.03,7.19,7.25,7.01,535705,382048973.51,3.42,2.57,0.18,4.78
2023-01-05,002261,7.18,7.15,7.23,7.11,294118,210599624.95,1.67,-0.56,-0.04,2.62
2023-01-06,002261,7.14,7.05,7.18,7.01,251571,178648581.79,2.38,-1.4,-0.1,2.24
2023-01-09,002261,7.07,7.08,7.19,7.04,240816,171164316.38,2.13,0.43,0.03,2.15
2023-01-10,002261,7.07,7.22,7.32,7.0,338963,244269699.87,4.52,1.98,0.14,3.02
2023-01-11,002261,7.19,7.05,7.2,7.01,252739,179098867.21,2.63,-2.35,-0.17,2.25
2023-01-12,002261,7.31,7.08,7.42,6.92,431104,305324024.42,7.09,0.43,0.03,3.84
2023-01-13,002261,7.05,6.98,7.08,6.9,230406,160620702.28,2.54,-1.41,-0.1,2.05
2023-01-16,002261,7.0,7.19,7.23,6.98,338306,242502714.0,3.58,3.01,0.21,3.02
2023-01-17,002261,7.15,7.11,7.21,7.08,185442,132246505.98,1.81,-1.11,-0.08,1.65
2023-01-18,002261,7.12,7.2,7.3,7.12,241654,174354885.75,2.53,1.27,0.09,2.15
2023-01-19,002261,7.16,7.35,7.38,7.16,331014,242677548.25,3.06,2.08,0.15,2.95
2023-01-20,002261,7.4,7.37,7.46,7.29,301897,222848464.29,2.31,0.27,0.02,2.69
2023-01-30,002261,6.99,7.08,7.14,6.81,756933,530635211.27,4.48,-3.93,-0.29,6.75
2023-01-31,002261,7.08,7.03,7.08,6.96,298827,209645779.28,1.69,-0.71,-0.05,2.66
2023-02-01,002261,7.03,7.39,7.4,6.98,567743,411382517.48,5.97,5.12,0.36,5.06
2023-02-02,002261,7.41,7.36,7.54,7.31,417171,308928644.14,3.11,-0.41,-0.03,3.72
2023-02-03,002261,7.36,7.6,7.65,7.31,507636,379875267.86,4.62,3.26,0.24,4.53
