date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300383,8.0,8.33,8.37,7.98,215831,181121339.0,4.88,4.13,0.33,1.2
2023-01-04,300383,8.37,8.83,8.93,8.36,515509,456702140.0,6.84,6.0,0.5,2.87
2023-01-05,300383,8.87,8.94,9.02,8.8,410568,372455668.0,2.49,1.25,0.11,2.29
2023-01-06,300383,8.86,8.97,9.12,8.8,348680,318852137.0,3.58,0.34,0.03,1.94
2023-01-09,300383,8.96,8.96,9.08,8.93,212916,194883856.0,1.67,-0.11,-0.01,1.19
2023-01-10,300383,8.97,8.89,9.0,8.84,178201,161646585.0,1.79,-0.78,-0.07,0.99
2023-01-11,300383,8.89,8.72,8.93,8.68,216083,193412096.0,2.81,-1.91,-0.17,1.2
2023-01-12,300383,8.71,8.73,8.81,8.63,181883,161152345.0,2.06,0.11,0.01,1.01
2023-01-13,300383,8.75,8.68,8.79,8.6,138327,121967015.0,2.18,-0.57,-0.05,0.77
2023-01-16,300383,8.74,8.79,8.9,8.71,187323,168497954.0,2.19,1.27,0.11,1.04
2023-01-17,300383,8.79,8.72,8.85,8.68,120261,107110795.0,1.93,-0.8,-0.07,0.67
2023-01-18,300383,8.74,8.98,9.0,8.69,266903,242313823.0,3.56,2.98,0.26,1.49
2023-01-19,300383,8.91,9.01,9.08,8.88,202078,185065243.0,2.23,0.33,0.03,1.13
2023-01-20,300383,9.02,9.1,9.2,8.98,270417,250692320.0,2.44,1.0,0.09,1.51
2023-01-30,300383,9.26,9.17,9.37,9.15,304503,287193329.0,2.42,0.77,0.07,1.7
2023-01-31,300383,8.84,8.79,8.98,8.72,503012,452112482.0,2.84,-4.14,-0.38,2.8
2023-02-01,300383,8.79,9.11,9.13,8.78,364802,334078336.0,3.98,3.64,0.32,2.03
2023-02-02,300383,9.13,9.1,9.22,9.07,254916,236940738.0,1.65,-0.11,-0.01,1.42
2023-02-03,300383,9.1,9.3,9.31,9.04,275876,257494182.0,2.97,2.2,0.2,1.54
2023-02-06,300383,9.36,9.71,9.72,9.23,754945,731187793.0,5.27,4.41,0.41,4.21
2023-02-07,300383,9.57,9.73,9.93,9.36,705316,691775720.0,5.87,0.21,0.02,3.93
2023-02-08,300383,9.74,9.62,10.01,9.6,636537,631522228.0,4.21,-1.13,-0.11,3.55
2023-02-09,300383,9.51,10.03,10.06,9.4,832547,830348566.0,6.86,4.26,0.41,4.64
2023-02-10,300383,10.02,9.84,10.19,9.81,624568,633098469.0,3.79,-1.89,-0.19,3.48
2023-02-13,300383,9.79,9.89,10.06,9.76,427839,429583638.0,3.05,0.51,0.05,2.39
2023-02-14,300383,9.9,10.12,10.31,9.9,723851,743956218.0,4.15,2.33,0.23,4.04
2023-02-15,300383,10.07,10.42,10.52,10.02,709079,743030488.0,4.94,2.96,0.3,3.95
2023-02-16,300383,10.34,10.09,10.67,9.99,890489,935089362.0,6.53,-3.17,-0.33,4.96
2023-02-17,300383,10.1,9.6,10.24,9.58,701888,697993780.0,6.54,-4.86,-0.49,3.91
2023-02-20,300383,9.64,9.94,9.98,9.56,454391,453357250.0,4.38,3.54,0.34,2.53
2023-02-21,300383,9.88,9.93,10.14,9.83,418246,423933148.0,3.12,-0.1,-0.01,2.33
