date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300442,22.08,21.94,22.31,21.33,9741,40958074.0,4.44,-0.68,-0.15,1.48
2023-01-04,300442,22.54,22.19,23.33,22.07,17108,74150366.0,5.74,1.14,0.25,2.6
2023-01-05,300442,21.82,22.72,22.98,21.82,14025,60457800.0,5.23,2.39,0.53,2.13
2023-01-06,300442,23.28,24.43,25.71,23.25,34472,161728942.0,10.83,7.53,1.71,5.23
2023-01-09,300442,24.33,24.53,24.91,24.25,22982,107877357.0,2.7,0.41,0.1,3.49
2023-01-10,300442,24.53,25.52,25.64,24.17,48771,232946155.0,5.99,4.04,0.99,7.4
2023-01-11,300442,25.38,26.01,26.23,25.25,45771,224801864.0,3.84,1.92,0.49,6.95
2023-01-12,300442,26.06,24.89,26.13,24.56,30759,146993777.0,6.04,-4.31,-1.12,4.67
2023-01-13,300442,24.78,24.37,25.23,24.21,26415,123564363.0,4.1,-2.09,-0.52,4.01
2023-01-16,300442,24.45,24.11,24.53,24.0,19434,89862887.0,2.17,-1.07,-0.26,2.95
2023-01-17,300442,24.0,24.18,24.33,23.77,13895,63743715.0,2.32,0.29,0.07,2.11
2023-01-18,300442,24.04,25.22,25.64,23.97,29747,141763922.0,6.91,4.3,1.04,4.52
2023-01-19,300442,25.06,25.42,25.88,25.06,15583,75439453.0,3.25,0.79,0.2,2.37
2023-01-20,300442,25.32,25.52,26.04,25.23,14361,70012225.0,3.19,0.39,0.1,2.18
2023-01-30,300442,25.63,24.84,25.72,24.77,16450,78571602.0,3.72,-2.66,-0.68,2.5
2023-01-31,300442,25.14,25.0,25.14,24.67,8270,39234253.0,1.89,0.64,0.16,1.26
2023-02-01,300442,24.97,25.09,25.33,24.73,9780,46666781.0,2.4,0.36,0.09,1.48
2023-02-02,300442,25.09,25.03,25.25,24.82,15689,74783497.0,1.71,-0.24,-0.06,2.38
2023-02-03,300442,24.77,25.0,25.11,24.49,14225,67289633.0,2.48,-0.12,-0.03,2.16
2023-02-06,300442,25.21,27.43,27.64,24.97,57853,294038813.0,10.68,9.72,2.43,8.78
2023-02-07,300442,27.44,27.13,27.93,26.9,35632,184471405.0,3.76,-1.09,-0.3,5.41
2023-02-08,300442,27.14,27.49,28.66,26.95,50811,267800388.0,6.3,1.33,0.36,7.71
2023-02-09,300442,27.34,28.28,28.59,27.15,47387,250447500.0,5.24,2.87,0.79,7.19
2023-02-10,300442,28.27,27.6,28.28,27.59,24330,128430480.0,2.44,-2.4,-0.68,3.69
2023-02-13,300442,27.59,27.79,28.44,27.36,35476,187296063.0,3.91,0.69,0.19,5.38
2023-02-14,300442,28.09,27.66,28.13,27.41,16139,84610167.0,2.59,-0.47,-0.13,2.45
2023-02-15,300442,27.94,28.72,28.86,27.55,33647,181031535.0,4.74,3.83,1.06,5.11
2023-02-16,300442,28.89,28.68,30.59,28.61,71677,398680188.0,6.89,-0.14,-0.04,10.88
2023-02-17,300442,28.89,27.31,28.89,27.21,35442,187284974.0,5.86,-4.78,-1.37,5.38
2023-02-20,300442,27.44,28.41,28.66,27.29,31462,166151075.0,5.02,4.03,1.1,4.78
2023-02-21,300442,29.11,29.41,29.79,28.66,46328,256830173.0,3.98,3.52,1.0,7.03
2023-02-22,300442,29.34,29.02,29.34,28.86,16543,91049218.0,1.63,-1.33,-0.39,2.51
2023-02-23,300442,28.83,28.2,28.94,27.95,22237,119151423.0,3.41,-2.83,-0.82,3.38
2023-02-24,300442,28.2,28.15,28.55,28.0,11025,58911152.0,1.95,-0.18,-0.05,1.67
2023-02-27,300442,28.11,28.35,29.42,28.11,26165,142082037.0,4.65,0.71,0.2,3.97
2023-02-28,300442,29.24,28.92,29.5,28.44,34624,189739456.0,3.74,2.01,0.57,5.26
2023-03-01,300442,28.58,29.88,29.99,28.58,43020,239316294.0,4.88,3.32,0.96,6.53
2023-03-02,300442,29.88,29.73,30.5,29.51,22014,124165068.0,3.31,-0.5,-0.15,3.34
