date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,603019,21.33,22.0,22.06,21.18,206994,467892659.0,4.13,3.14,0.67,1.43
2023-01-04,603019,22.01,22.15,22.21,21.95,151476,346768272.0,1.18,0.68,0.15,1.04
2023-01-05,603019,22.09,22.28,22.32,21.98,117035,269203133.0,1.53,0.59,0.13,0.81
2023-01-06,603019,22.22,22.19,22.34,22.1,113131,260309996.0,1.08,-0.4,-0.09,0.78
2023-01-09,603019,22.36,22.14,22.37,22.04,94473,217395348.0,1.49,-0.23,-0.05,0.65
2023-01-10,603019,22.19,22.04,22.29,22.02,88329,202654711.0,1.22,-0.45,-0.1,0.61
2023-01-11,603019,22.08,21.76,22.23,21.75,109006,248387747.0,2.18,-1.27,-0.28,0.75
2023-01-12,603019,21.87,21.82,21.97,21.64,107033,242186937.0,1.52,0.28,0.06,0.74
2023-01-13,603019,21.87,21.89,21.92,21.7,68699,155324199.0,1.01,0.32,0.07,0.47
2023-01-16,603019,21.88,22.53,22.63,21.88,203051,471203293.0,3.43,2.92,0.64,1.4
2023-01-17,603019,22.49,22.36,22.63,22.25,116086,269439497.0,1.69,-0.75,-0.17,0.8
2023-01-18,603019,22.39,22.58,22.65,22.31,108433,253397094.0,1.52,0.98,0.22,0.75
2023-01-19,603019,22.49,23.09,23.14,22.47,179058,425047795.0,2.97,2.26,0.51,1.23
2023-01-20,603019,22.94,23.38,23.79,22.9,231732,560445987.0,3.85,1.26,0.29,1.6
2023-01-30,603019,24.01,23.52,24.02,23.36,267133,653076404.0,2.82,0.6,0.14,1.84
2023-01-31,603019,23.42,23.3,23.73,23.25,214754,520941044.0,2.04,-0.94,-0.22,1.48
2023-02-01,603019,23.31,23.89,23.89,23.31,226614,554242883.0,2.49,2.53,0.59,1.56
2023-02-02,603019,24.0,24.04,24.41,23.87,318329,794320017.0,2.26,0.63,0.15,2.19
2023-02-03,603019,24.07,24.29,24.31,23.69,267721,664834711.0,2.58,1.04,0.25,1.85
2023-02-06,603019,24.18,24.62,24.96,24.09,376084,954390149.0,3.58,1.36,0.33,2.59
2023-02-07,603019,24.79,25.28,25.55,24.34,481988,1248486928.0,4.91,2.68,0.66,3.32
2023-02-08,603019,25.44,24.58,25.71,24.58,426538,1102239571.0,4.47,-2.77,-0.7,2.94
2023-02-09,603019,24.3,26.38,27.07,24.27,868621,2314265665.0,11.39,7.32,1.8,5.99
2023-02-10,603019,26.19,25.84,26.57,25.61,588673,1585720900.0,3.64,-2.05,-0.54,4.06
2023-02-13,603019,25.9,26.99,27.54,25.9,789056,2180601192.0,6.35,4.45,1.15,5.44
2023-02-14,603019,28.07,28.28,29.69,27.85,1151095,3386276286.0,6.82,4.78,1.29,7.93
2023-02-15,603019,28.78,30.82,31.06,28.18,1474045,4507936001.0,10.18,8.98,2.54,10.16
2023-02-16,603019,30.0,28.76,30.64,28.29,1492733,4526009918.0,7.62,-6.68,-2.06,10.29
2023-02-17,603019,28.76,27.01,28.94,26.97,929114,2641300893.0,6.85,-6.08,-1.75,6.4
2023-02-20,603019,27.07,29.15,29.39,26.85,967148,2796813151.0,9.4,7.92,2.14,6.67
2023-02-21,603019,28.79,28.78,29.95,28.52,870249,2610107531.0,4.91,-1.27,-0.37,6.0
2023-02-22,603019,28.65,29.54,30.08,28.12,808967,2424106444.0,6.81,2.64,0.76,5.58
2023-02-23,603019,29.29,28.28,29.46,28.2,610379,1805661634.0,4.27,-4.27,-1.26,4.21
2023-02-24,603019,29.36,30.76,31.19,29.2,1727361,5395720121.0,7.04,8.77,2.48,11.91
2023-02-27,603019,30.73,30.6,31.51,30.27,1190611,3774124750.0,4.03,-0.52,-0.16,8.21
2023-02-28,603019,31.51,31.52,31.8,30.38,1211815,3881497654.0,4.64,3.01,0.92,8.35
2023-03-01,603019,31.2,33.52,34.57,31.07,1571637,5318512769.0,11.1,6.35,2.0,10.83
2023-03-02,603019,33.37,33.37,34.19,33.01,991816,3407858242.0,3.52,-0.45,-0.15,6.84
2023-03-03,603019,32.04,32.19,32.79,30.57,1767294,5759481940.0,6.65,-3.54,-1.18,12.18
2023-03-06,603019,32.19,32.98,33.75,32.19,1205883,4091528209.0,4.85,2.45,0.79,8.31
2023-03-07,603019,32.98,31.62,33.02,31.28,889853,2919351115.0,5.28,-4.12,-1.36,6.13
2023-03-08,603019,31.58,32.19,32.21,30.94,769700,2492257165.0,4.02,1.8,0.57,5.31
2023-03-09,603019,32.15,32.79,33.54,31.62,910402,3036069361.0,5.96,1.86,0.6,6.28
2023-03-10,603019,32.21,31.42,32.69,31.41,708710,2327503363.0,3.9,-4.18,-1.37,4.89
2023-03-13,603019,31.2,33.01,33.33,31.2,908220,3026274592.0,6.78,5.06,1.59,6.26
2023-03-14,603019,32.7,32.01,32.88,31.3,842748,2775550114.0,4.79,-3.03,-1.0,5.81
