date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002402,14.23,14.66,14.72,14.0,101221,150151677.97,5.06,3.02,0.43,1.26
2023-01-04,002402,14.63,14.61,14.77,14.55,77638,116490500.48,1.5,-0.34,-0.05,0.97
2023-01-05,002402,14.61,15.06,15.21,14.6,141845,217626984.12,4.18,3.08,0.45,1.77
2023-01-06,002402,15.05,14.95,15.12,14.87,71869,110315098.84,1.66,-0.73,-0.11,0.9
2023-01-09,002402,14.95,14.84,15.11,14.82,68711,105115982.9,1.94,-0.74,-0.11,0.86
2023-01-10,002402,14.85,14.99,15.19,14.75,92785,142313724.49,2.96,1.01,0.15,1.16
2023-01-11,002402,15.0,14.93,15.23,14.88,65091,100173819.82,2.33,-0.4,-0.06,0.81
2023-01-12,002402,14.99,15.25,15.5,14.81,149196,233623426.94,4.62,2.14,0.32,1.86
2023-01-13,002402,15.25,14.99,15.3,14.83,123762,190241953.0,3.08,-1.7,-0.26,1.54
2023-01-16,002402,14.99,15.22,15.3,14.87,85148,132317751.28,2.87,1.53,0.23,1.06
2023-01-17,002402,15.3,15.46,15.54,15.16,112485,177599905.42,2.5,1.58,0.24,1.4
2023-01-18,002402,15.46,15.42,15.52,15.27,75730,119378815.98,1.62,-0.26,-0.04,0.94
2023-01-19,002402,15.38,15.82,15.86,15.31,120942,193801194.61,3.57,2.59,0.4,1.51
2023-01-20,002402,15.79,15.83,16.14,15.75,106338,172840693.48,2.47,0.06,0.01,1.33
2023-01-30,002402,16.2,15.85,16.44,15.83,133121,219087964.2,3.85,0.13,0.02,1.66
2023-01-31,002402,15.9,15.92,15.98,15.69,91259,147779419.0,1.83,0.44,0.07,1.14
2023-02-01,002402,15.92,16.45,16.47,15.92,137509,229473411.7,3.45,3.33,0.53,1.71
2023-02-02,002402,16.45,16.52,16.65,16.33,112114,189007412.19,1.95,0.43,0.07,1.4
2023-02-03,002402,16.45,16.39,16.56,16.0,123657,205259730.55,3.39,-0.79,-0.13,1.54
2023-02-06,002402,16.18,16.19,16.4,16.05,76798,126998439.13,2.14,-1.22,-0.2,0.96
2023-02-07,002402,16.51,16.37,16.52,16.1,82814,137725092.67,2.59,1.11,0.18,1.03
2023-02-08,002402,16.32,16.16,16.46,16.13,69741,115760420.81,2.02,-1.28,-0.21,0.87
2023-02-09,002402,16.03,16.67,16.74,15.99,152714,256907815.85,4.64,3.16,0.51,1.9
2023-02-10,002402,16.67,16.45,16.79,16.3,95384,161022043.61,2.94,-1.32,-0.22,1.19
2023-02-13,002402,16.35,16.59,16.65,16.28,86689,146275378.36,2.25,0.85,0.14,1.08
2023-02-14,002402,16.59,16.79,17.01,16.55,123312,211541127.26,2.77,1.21,0.2,1.54
2023-02-15,002402,16.72,16.96,17.01,16.57,141705,243519972.61,2.62,1.01,0.17,1.77
2023-02-16,002402,16.94,16.27,16.95,16.13,153622,259733251.03,4.83,-4.07,-0.69,1.92
2023-02-17,002402,16.27,16.03,16.5,16.0,107531,178442014.13,3.07,-1.48,-0.24,1.34
2023-02-20,002402,16.06,16.14,16.19,15.82,108963,178037105.4,2.31,0.69,0.11,1.36
2023-02-21,002402,16.2,16.36,16.63,16.15,103535,173486199.73,2.97,1.36,0.22,1.29
2023-02-22,002402,16.63,16.67,17.0,16.41,204023,347261590.27,3.61,1.89,0.31,2.54
2023-02-23,002402,16.57,16.26,16.92,16.19,170839,287159567.74,4.38,-2.46,-0.41,2.13
2023-02-24,002402,16.17,16.08,16.35,15.98,104174,171659054.0,2.28,-1.11,-0.18,1.3
2023-02-27,002402,16.0,15.76,16.04,15.69,105807,171303615.73,2.18,-1.99,-0.32,1.32
2023-02-28,002402,15.85,16.08,16.53,15.85,130576,215765651.36,4.31,2.03,0.32,1.63
2023-03-01,002402,16.08,16.31,16.41,16.03,97440,162007135.34,2.36,1.43,0.23,1.21
2023-03-02,002402,16.32,16.34,16.58,16.27,102606,171976154.0,1.9,0.18,0.03,1.28
2023-03-03,002402,16.45,16.52,16.75,16.1,151431,254400885.51,3.98,1.1,0.18,1.89
2023-03-06,002402,16.36,16.55,16.75,16.26,128386,215915501.78,2.97,0.18,0.03,1.6
2023-03-07,002402,17.23,16.63,17.76,16.55,366119,638873594.73,7.31,0.48,0.08,4.56
2023-03-08,002402,16.65,16.81,17.21,16.51,267910,461248922.24,4.21,1.08,0.18,3.34
2023-03-09,002402,16.82,16.14,16.87,16.03,224992,374713347.41,5.0,-3.99,-0.67,2.81
2023-03-10,002402,15.9,15.93,16.2,15.87,112333,183633216.7,2.04,-1.3,-0.21,1.4
2023-03-13,002402,15.94,15.88,16.0,15.53,131498,211621986.88,2.95,-0.31,-0.05,1.64
2023-03-14,002402,16.2,15.79,16.25,15.44,150049,242319717.09,5.1,-0.57,-0.09,1.87
2023-03-15,002402,15.9,16.44,16.64,15.8,237227,395892111.15,5.32,4.12,0.65,2.96
2023-03-16,002402,16.35,15.85,16.48,15.74,153848,251895694.41,4.5,-3.59,-0.59,1.92
2023-03-17,002402,15.95,15.98,16.31,15.9,116614,191691335.75,2.59,0.82,0.13,1.45
2023-03-20,002402,16.07,16.25,16.44,15.88,128387,212358841.48,3.5,1.69,0.27,1.6
2023-03-21,002402,16.25,16.57,16.57,16.15,104838,175410461.25,2.58,1.97,0.32,1.31
2023-03-22,002402,16.6,16.78,16.82,16.48,159218,271660216.15,2.05,1.27,0.21,1.99
2023-03-23,002402,16.78,17.19,17.3,16.68,200712,350618471.98,3.69,2.44,0.41,2.5
2023-03-24,002402,17.2,17.26,17.37,16.98,151474,265819422.02,2.27,0.41,0.07,1.89
2023-03-27,002402,17.29,17.28,17.59,17.07,166555,294295268.52,3.01,0.12,0.02,2.08
