date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,603486,71.04,71.26,71.69,69.25,36636,264490278.0,3.42,-0.06,-0.04,0.65
2023-01-04,603486,70.94,71.85,73.86,70.94,40689,300820114.0,4.1,0.83,0.59,0.72
2023-01-05,603486,72.24,75.33,75.75,71.66,57708,436342409.0,5.69,4.84,3.48,1.02
2023-01-06,603486,74.95,73.89,75.86,73.87,31557,240859187.0,2.64,-1.91,-1.44,0.56
2023-01-09,603486,73.98,74.0,75.26,73.37,24622,187093747.0,2.56,0.15,0.11,0.44
2023-01-10,603486,73.91,74.61,75.13,73.04,27414,208178874.0,2.82,0.82,0.61,0.49
2023-01-11,603486,75.36,73.15,75.37,73.06,28450,215185782.0,3.1,-1.96,-1.46,0.5
2023-01-12,603486,72.84,72.86,73.65,72.31,20075,149730292.0,1.83,-0.4,-0.29,0.36
2023-01-13,603486,72.93,80.31,80.31,72.46,112723,901825597.0,10.77,10.23,7.45,1.99
2023-01-16,603486,81.74,87.44,88.16,80.87,143252,1242797382.0,9.08,8.88,7.13,2.54
2023-01-17,603486,88.21,86.61,88.46,85.24,62608,551288294.0,3.68,-0.95,-0.83,1.11
2023-01-18,603486,86.62,82.56,87.41,82.14,69400,591037201.0,6.08,-4.68,-4.05,1.23
2023-01-19,603486,83.22,86.94,87.36,81.56,65064,561754104.0,7.03,5.31,4.38,1.15
2023-01-20,603486,86.41,85.61,89.76,85.36,53367,471696295.0,5.06,-1.53,-1.33,0.94
2023-01-30,603486,87.06,84.43,87.36,83.69,49654,431100109.0,4.29,-1.38,-1.18,0.88
2023-01-31,603486,85.01,85.56,86.6,83.56,46450,405187000.0,3.6,1.34,1.13,0.82
2023-02-01,603486,85.97,89.94,90.86,84.79,61860,551338749.0,7.09,5.12,4.38,1.09
2023-02-02,603486,89.94,89.63,92.94,87.46,60390,555331735.0,6.09,-0.34,-0.31,1.07
2023-02-03,603486,89.51,91.16,91.34,86.66,56606,510749201.0,5.22,1.71,1.53,1.0
2023-02-06,603486,89.75,87.96,89.92,85.44,58101,515959327.0,4.91,-3.51,-3.2,1.03
2023-02-07,603486,87.79,92.06,92.26,87.17,65334,605015037.0,5.79,4.66,4.1,1.16
2023-02-08,603486,92.76,94.78,96.74,90.36,58496,560706386.0,6.93,2.95,2.72,1.04
2023-02-09,603486,93.56,95.37,97.63,91.81,56458,541008207.0,6.14,0.62,0.59,1.0
2023-02-10,603486,94.59,92.99,95.8,92.31,36970,351778717.0,3.66,-2.5,-2.38,0.65
2023-02-13,603486,92.86,92.98,95.16,92.04,35001,332778131.0,3.36,-0.01,-0.01,0.62
2023-02-14,603486,92.66,93.44,95.17,92.16,31376,299260970.0,3.24,0.49,0.46,0.56
2023-02-15,603486,92.88,89.66,93.16,89.0,53439,492117862.0,4.45,-4.05,-3.78,0.95
2023-02-16,603486,89.36,86.91,89.94,86.09,51804,464326242.0,4.29,-3.07,-2.75,0.92
