date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688169,86.5,88.44,89.17,85.58,7091,178223858.0,4.16,2.57,2.22,0.98
2023-01-04,688169,88.07,93.46,93.56,87.81,11405,300855521.0,6.5,5.68,5.02,1.58
2023-01-05,688169,93.07,96.34,97.28,92.58,11999,329988252.0,5.03,3.08,2.88,1.67
2023-01-06,688169,96.37,94.68,97.22,94.36,8424,228834968.0,2.97,-1.72,-1.66,1.17
2023-01-09,688169,94.48,94.57,95.67,93.71,4800,130038341.0,2.07,-0.12,-0.11,0.67
2023-01-10,688169,94.19,94.76,96.1,93.6,4411,119980152.0,2.64,0.2,0.19,0.61
2023-01-11,688169,95.28,95.0,96.08,93.06,5862,158733919.0,3.19,0.25,0.24,0.81
2023-01-12,688169,93.7,93.33,95.05,92.58,4136,110638016.0,2.6,-1.76,-1.67,0.57
2023-01-13,688169,93.09,104.47,104.82,92.97,19519,564985007.0,12.7,11.94,11.14,2.71
2023-01-16,688169,101.61,108.47,111.46,100.16,24552,748527415.0,10.82,3.83,4.0,3.41
2023-01-17,688169,106.92,105.65,107.41,104.18,9078,273510092.0,2.98,-2.6,-2.82,1.26
2023-01-18,688169,107.09,104.9,108.75,103.99,6848,206719864.0,4.51,-0.71,-0.75,0.95
2023-01-19,688169,104.72,105.64,106.72,103.81,4452,133297023.0,2.77,0.71,0.74,0.62
2023-01-20,688169,107.08,105.4,108.73,104.54,6424,194299481.0,3.97,-0.23,-0.24,0.89
2023-01-30,688169,108.26,108.22,109.87,105.45,10954,336129558.0,4.19,2.68,2.82,1.52
2023-01-31,688169,108.91,107.33,108.91,106.83,5823,178866485.0,1.92,-0.82,-0.89,0.81
2023-02-01,688169,107.33,115.62,116.75,107.1,9157,293610402.0,8.99,7.72,8.29,1.27
2023-02-02,688169,115.78,115.64,118.45,112.29,11189,367792777.0,5.33,0.02,0.02,1.55
2023-02-03,688169,114.83,118.72,118.72,114.07,9205,304545265.0,4.02,2.66,3.08,1.28
2023-02-06,688169,117.59,111.32,117.59,110.01,11710,375616822.0,6.38,-6.23,-7.4,1.63
2023-02-07,688169,110.42,119.84,120.39,110.42,13374,446169680.0,8.96,7.65,8.52,1.86
2023-02-08,688169,119.95,126.06,128.26,119.01,18293,650873366.0,7.72,5.19,6.22,2.54
2023-02-09,688169,125.26,125.8,132.2,124.22,11685,420607225.0,6.33,-0.21,-0.26,1.62
2023-02-10,688169,124.58,126.23,130.5,124.58,9995,361030875.0,4.71,0.34,0.43,1.39
2023-02-13,688169,126.74,123.86,127.14,121.75,8424,296495262.0,4.27,-1.88,-2.37,1.17
2023-02-14,688169,122.07,123.13,125.35,120.98,8136,283292839.0,3.53,-0.59,-0.73,1.13
2023-02-15,688169,121.67,118.24,123.07,118.02,11540,390942959.0,4.1,-3.97,-4.89,1.6
2023-02-16,688169,118.24,113.85,118.98,112.99,10497,344910979.0,5.07,-3.71,-4.39,1.46
2023-02-17,688169,114.06,114.34,117.8,113.87,8231,270814217.0,3.45,0.43,0.49,1.14
2023-02-20,688169,115.47,122.61,122.71,113.87,10280,349801487.0,7.73,7.23,8.27,1.43
2023-02-21,688169,122.4,127.18,128.23,122.4,11815,423579396.0,4.75,3.73,4.57,1.26
2023-02-22,688169,123.55,126.04,127.14,120.42,13488,473397732.0,5.28,-0.9,-1.14,1.44
2023-02-23,688169,126.04,131.55,133.51,124.95,12272,456974973.0,6.79,4.37,5.51,1.31
2023-02-24,688169,131.55,130.18,132.42,127.95,8237,303990735.0,3.4,-1.04,-1.37,0.88
2023-02-27,688169,129.14,127.63,130.78,124.96,8726,314404562.0,4.47,-1.96,-2.55,0.93
2023-02-28,688169,127.63,127.1,128.89,125.68,6255,225273040.0,2.52,-0.42,-0.53,0.67
2023-03-01,688169,127.47,136.8,139.89,125.32,15389,585404771.0,11.46,7.63,9.7,1.64
2023-03-02,688169,136.9,133.37,136.98,132.6,7145,272569893.0,3.2,-2.51,-3.43,0.76
2023-03-03,688169,133.51,129.87,135.34,127.21,10929,401715898.0,6.1,-2.62,-3.5,1.17
2023-03-06,688169,128.63,129.26,130.34,127.2,7060,257146251.0,2.42,-0.47,-0.61,0.75
2023-03-07,688169,127.66,125.5,131.68,124.58,7945,287402511.0,5.49,-2.91,-3.76,0.85
2023-03-08,688169,124.22,123.67,127.14,121.12,9520,331352570.0,4.8,-1.46,-1.83,1.02
2023-03-09,688169,122.76,122.53,124.77,122.03,5093,177381230.0,2.22,-0.92,-1.14,0.54
