date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002920,102.41,109.17,110.21,101.07,64230,700977801.45,8.9,6.25,6.42,1.17
2023-01-04,002920,108.42,106.22,109.91,105.64,35776,392890905.53,3.91,-2.7,-2.95,0.65
2023-01-05,002920,107.4,117.1,117.1,107.06,67296,782064005.09,9.45,10.24,10.88,1.22
2023-01-06,002920,118.93,120.67,123.24,116.42,105069,1295905619.07,5.82,3.05,3.57,1.91
2023-01-09,002920,121.21,119.41,122.82,118.75,44924,550910452.9,3.37,-1.04,-1.26,0.82
2023-01-10,002920,120.01,119.31,120.41,117.13,43653,529532720.38,2.75,-0.08,-0.1,0.79
2023-01-11,002920,118.7,116.69,121.11,115.67,43186,523398077.33,4.56,-2.2,-2.62,0.79
2023-01-12,002920,116.92,118.9,122.4,116.69,38473,470184282.41,4.89,1.89,2.21,0.7
2023-01-13,002920,120.21,118.43,120.71,117.42,21130,255766654.51,2.77,-0.4,-0.47,0.38
2023-01-16,002920,117.51,119.77,121.31,116.32,38150,465921409.49,4.21,1.13,1.34,0.69
2023-01-17,002920,120.41,120.02,124.4,118.98,37379,462627208.85,4.53,0.21,0.25,0.68
2023-01-18,002920,119.46,120.41,121.92,118.74,28182,347136031.37,2.65,0.32,0.39,0.51
2023-01-19,002920,121.3,119.97,121.7,118.96,24416,298793438.96,2.28,-0.37,-0.44,0.44
2023-01-20,002920,119.97,121.32,121.84,119.11,23678,291252949.48,2.28,1.13,1.35,0.43
2023-01-30,002920,125.91,129.68,132.41,125.44,70104,918616461.52,5.75,6.89,8.36,1.27
2023-01-31,002920,128.36,128.59,129.68,125.42,34055,444545425.58,3.29,-0.84,-1.09,0.62
2023-02-01,002920,129.87,131.41,132.41,127.67,38896,517100393.16,3.69,2.19,2.82,0.71
2023-02-02,002920,131.31,136.06,137.98,131.31,51432,709709501.3,5.08,3.54,4.65,0.94
2023-02-03,002920,135.9,134.09,137.91,131.91,28189,387152923.45,4.41,-1.45,-1.97,0.51
2023-02-06,002920,134.12,126.52,134.12,126.13,46549,610180801.15,5.96,-5.65,-7.57,0.85
2023-02-07,002920,127.57,126.22,127.74,124.29,30753,396704919.08,2.73,-0.24,-0.3,0.56
2023-02-08,002920,124.99,125.5,127.39,124.91,17147,220437731.72,1.96,-0.57,-0.72,0.31
2023-02-09,002920,124.91,125.74,127.21,124.11,30143,385697515.86,2.47,0.19,0.24,0.55
2023-02-10,002920,125.41,120.93,125.44,119.21,53143,657049044.24,4.95,-3.83,-4.81,0.97
2023-02-13,002920,119.78,122.87,123.61,118.75,38719,480267017.3,4.02,1.6,1.94,0.7
2023-02-14,002920,122.21,122.56,122.99,120.03,22205,275948299.14,2.41,-0.25,-0.31,0.4
2023-02-15,002920,122.62,120.57,123.91,120.01,21817,270385706.59,3.18,-1.62,-1.99,0.4
2023-02-16,002920,120.25,115.87,120.57,114.77,56777,684692236.31,4.81,-3.9,-4.7,1.03
2023-02-17,002920,115.87,113.46,116.91,113.26,29491,345152727.54,3.15,-2.08,-2.41,0.54
2023-02-20,002920,113.47,114.71,114.76,110.46,37615,435149174.94,3.79,1.1,1.25,0.68
2023-02-21,002920,114.69,116.86,117.71,114.1,38738,459984626.14,3.15,1.87,2.15,0.7
2023-02-22,002920,118.89,118.24,120.91,118.01,42440,516540366.43,2.48,1.18,1.38,0.77
2023-02-23,002920,117.33,117.87,120.69,116.91,25360,307501244.46,3.2,-0.31,-0.37,0.46
2023-02-24,002920,117.36,113.11,118.21,113.01,41656,487511918.26,4.41,-4.04,-4.76,0.76
2023-02-27,002920,112.41,112.24,113.61,111.31,27875,320134565.35,2.03,-0.77,-0.87,0.51
2023-02-28,002920,113.01,111.48,113.32,109.64,38365,434276657.19,3.28,-0.68,-0.76,0.7
2023-03-01,002920,110.91,110.61,110.91,109.08,34216,384839075.19,1.64,-0.78,-0.87,0.62
2023-03-02,002920,111.1,111.46,112.9,110.13,40280,459908745.16,2.5,0.77,0.85,0.73
2023-03-03,002920,110.41,109.56,112.5,109.36,30524,345682308.5,2.82,-1.7,-1.9,0.56
2023-03-06,002920,110.21,111.62,111.9,107.41,37102,417502363.9,4.1,1.88,2.06,0.67
2023-03-07,002920,111.62,108.27,111.63,108.09,29802,334306049.16,3.17,-3.0,-3.35,0.54
2023-03-08,002920,108.22,106.99,108.41,105.56,27715,303108750.88,2.63,-1.18,-1.28,0.5
2023-03-09,002920,107.01,106.41,108.8,106.21,20738,227582935.18,2.42,-0.54,-0.58,0.38
2023-03-10,002920,104.29,102.42,105.87,102.41,46178,488195560.83,3.25,-3.75,-3.99,0.84
2023-03-13,002920,101.77,101.19,103.31,99.7,52806,546524978.68,3.52,-1.2,-1.23,0.96
2023-03-14,002920,100.91,98.36,101.79,96.43,65466,660774604.67,5.3,-2.8,-2.83,1.19
2023-03-15,002920,98.74,97.31,101.21,97.07,39727,401124866.94,4.21,-1.07,-1.05,0.72
2023-03-16,002920,96.66,94.86,97.54,94.85,34314,338287796.8,2.76,-2.52,-2.45,0.62
2023-03-17,002920,95.91,93.21,96.16,92.56,56938,549723990.09,3.8,-1.74,-1.65,1.04
2023-03-20,002920,93.42,93.69,94.37,90.5,58312,556291687.08,4.15,0.51,0.48,1.06
2023-03-21,002920,92.41,96.27,96.61,90.8,73855,715907364.42,6.2,2.75,2.58,1.34
2023-03-22,002920,96.63,98.4,100.57,96.63,59909,608820982.2,4.09,2.21,2.13,1.09
2023-03-23,002920,98.02,99.66,100.23,97.12,43535,441007733.3,3.16,1.28,1.26,0.79
2023-03-24,002920,99.49,109.36,109.89,99.41,113836,1229588164.29,10.52,9.73,9.7,2.07
2023-03-27,002920,109.36,108.51,111.88,106.92,90194,1014229362.86,4.54,-0.78,-0.85,1.64
2023-03-28,002920,108.51,105.08,108.51,104.41,42361,460946712.08,3.78,-3.16,-3.43,0.77
2023-03-29,002920,105.01,106.8,108.41,104.5,40869,446950295.62,3.72,1.64,1.72,0.74
2023-03-30,002920,108.91,108.05,111.72,107.19,52599,589378895.67,4.24,1.17,1.25,0.96
2023-03-31,002920,108.72,108.36,111.36,107.17,40788,455058361.55,3.88,0.29,0.31,0.74
2023-04-03,002920,108.34,108.17,110.08,105.71,52008,570949103.88,4.03,-0.18,-0.19,0.95
2023-04-04,002920,107.63,110.76,111.27,104.97,66366,734719696.27,5.82,2.39,2.59,1.21
2023-04-06,002920,109.71,109.62,110.97,105.96,57841,641274173.18,4.52,-1.03,-1.14,1.05
2023-04-07,002920,109.61,114.62,116.29,109.42,73217,854203961.99,6.27,4.56,5.0,1.33
2023-04-10,002920,118.4,112.42,124.71,111.41,75454,906963901.39,11.6,-1.92,-2.2,1.37
2023-04-11,002920,112.37,110.4,112.37,108.74,45073,509197030.41,3.23,-1.8,-2.02,0.82
2023-04-12,002920,110.4,110.46,111.01,106.8,40651,453895800.94,3.81,0.05,0.06,0.74
2023-04-13,002920,109.43,106.32,110.61,106.29,33971,374939956.38,3.91,-3.75,-4.14,0.62
2023-04-14,002920,106.31,107.41,109.91,105.49,30559,337725776.94,4.16,1.03,1.09,0.56
2023-04-17,002920,108.01,113.61,115.21,107.11,61980,712675133.59,7.54,5.77,6.2,1.13
2023-04-18,002920,112.91,113.35,115.68,111.29,36008,417145591.75,3.86,-0.23,-0.26,0.65
2023-04-19,002920,113.26,112.16,114.36,111.58,30222,348214999.19,2.45,-1.05,-1.19,0.55
2023-04-20,002920,111.4,108.84,111.4,108.12,26590,297629405.37,2.92,-2.96,-3.32,0.48
2023-04-21,002920,108.82,102.87,110.09,102.87,53760,580585260.8,6.63,-5.49,-5.97,0.98
2023-04-24,002920,102.92,104.61,107.51,100.05,51690,553295184.93,7.25,1.69,1.74,0.94
2023-04-25,002920,104.41,98.33,104.63,97.38,50347,514563284.4,6.93,-6.0,-6.28,0.92
2023-04-26,002920,98.4,99.05,102.21,96.53,50692,515230370.51,5.78,0.73,0.72,0.92
2023-04-27,002920,96.41,104.99,105.72,96.01,61344,645588200.98,9.8,6.0,5.94,1.12
2023-04-28,002920,105.71,100.79,106.35,100.41,40646,425503080.55,5.66,-4.0,-4.2,0.74
2023-05-04,002920,100.21,98.94,102.77,98.61,22822,234364992.3,4.13,-1.84,-1.85,0.42
2023-05-05,002920,99.38,97.25,100.3,96.82,21311,213993969.62,3.52,-1.71,-1.69,0.39
2023-05-08,002920,98.25,96.79,98.53,94.07,35660,351053080.6,4.59,-0.47,-0.46,0.65
2023-05-09,002920,96.36,94.73,97.26,94.61,23101,227210895.73,2.74,-2.13,-2.06,0.42
2023-05-10,002920,94.96,103.48,104.03,94.47,62123,636368414.42,10.09,9.24,8.75,1.13
2023-05-11,002920,103.46,104.98,108.14,102.23,43360,465763010.25,5.71,1.45,1.5,0.79
2023-05-12,002920,104.97,103.94,106.26,102.46,25445,270518377.29,3.62,-0.99,-1.04,0.46
2023-05-15,002920,103.94,105.38,107.46,103.62,26270,283358869.02,3.69,1.39,1.44,0.48
2023-05-16,002920,105.96,104.37,105.96,103.31,16921,179709435.17,2.51,-0.96,-1.01,0.31
