date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002230,32.6,34.07,34.19,32.53,284970,967599420.76,5.1,4.73,1.54,1.34
2023-01-04,002230,34.07,33.85,34.21,33.54,146745,500429941.05,1.97,-0.65,-0.22,0.69
2023-01-05,002230,33.95,34.12,34.19,33.78,157611,540764146.82,1.21,0.8,0.27,0.74
2023-01-06,002230,34.07,33.64,34.07,33.51,155738,529433685.08,1.64,-1.41,-0.48,0.74
2023-01-09,002230,33.74,33.74,34.08,33.6,122571,418202617.47,1.43,0.3,0.1,0.58
2023-01-10,002230,33.9,33.82,33.98,33.4,129146,440422382.11,1.72,0.24,0.08,0.61
2023-01-11,002230,33.82,32.9,33.95,32.7,214169,718011117.18,3.7,-2.72,-0.92,1.01
2023-01-12,002230,32.85,33.01,33.24,32.6,118805,394752616.79,1.95,0.33,0.11,0.56
2023-01-13,002230,33.01,32.96,33.05,32.76,90080,298942657.09,0.88,-0.15,-0.05,0.43
2023-01-16,002230,32.9,34.88,35.36,32.9,479831,1675921393.61,7.46,5.83,1.92,2.26
2023-01-17,002230,35.03,35.2,35.45,34.71,222304,788330720.45,2.12,0.92,0.32,1.05
2023-01-18,002230,35.17,35.08,35.4,34.79,151456,536064215.41,1.73,-0.34,-0.12,0.71
2023-01-19,002230,35.33,38.31,38.49,35.33,646356,2431133196.36,9.01,9.21,3.23,2.94
2023-01-20,002230,38.31,37.58,38.43,37.36,312802,1190605327.09,2.79,-1.91,-0.73,1.42
2023-01-30,002230,40.7,41.37,41.37,40.23,931296,3848555442.72,3.03,10.09,3.79,4.23
2023-01-31,002230,41.37,40.28,41.37,39.39,863882,3497085811.59,4.79,-2.63,-1.09,3.93
2023-02-01,002230,40.65,42.69,43.2,40.58,906789,3839809730.44,6.5,5.98,2.41,4.12
2023-02-02,002230,42.71,42.58,45.39,42.56,1266103,5580098684.74,6.63,-0.26,-0.11,5.76
2023-02-03,002230,42.97,43.56,43.95,42.55,769873,3359957329.72,3.29,2.3,0.98,3.5
2023-02-06,002230,44.46,47.6,47.6,43.8,1198468,5544881215.98,8.72,9.27,4.04,5.45
2023-02-07,002230,45.8,46.39,48.75,45.23,1032450,4862361509.7,7.39,-2.54,-1.21,4.69
2023-02-08,002230,46.37,46.03,48.26,45.51,873651,4099749452.94,5.93,-0.78,-0.36,3.97
2023-02-09,002230,45.08,46.1,46.1,44.53,882438,4013462029.66,3.41,0.15,0.07,4.01
2023-02-10,002230,46.28,47.61,49.77,45.9,1344871,6498223490.69,8.39,3.28,1.51,6.11
2023-02-13,002230,47.2,48.2,48.55,46.67,951458,4558858140.23,3.95,1.24,0.59,4.33
2023-02-14,002230,47.63,47.08,47.63,46.18,728394,3431462444.12,3.01,-2.32,-1.12,3.31
2023-02-15,002230,47.47,50.49,51.58,46.77,1369550,6766950515.96,10.22,7.24,3.41,6.23
2023-02-16,002230,49.69,48.2,50.15,47.7,1029775,5081412114.46,4.85,-4.54,-2.29,4.68
2023-02-17,002230,47.72,46.4,47.99,46.05,811141,3825270990.11,4.02,-3.73,-1.8,3.69
2023-02-20,002230,47.09,50.64,50.7,46.81,1299092,6462270462.6,8.38,9.14,4.24,5.91
2023-02-21,002230,50.64,50.36,51.65,49.63,784130,3970888776.88,3.99,-0.55,-0.28,3.57
2023-02-22,002230,49.75,50.08,50.88,48.52,667475,3333979755.19,4.69,-0.56,-0.28,3.03
2023-02-23,002230,49.9,48.15,49.94,47.65,706496,3452827921.85,4.57,-3.85,-1.93,3.21
2023-02-24,002230,48.58,48.85,49.6,47.79,655869,3213742602.25,3.76,1.45,0.7,2.98
2023-02-27,002230,48.1,47.49,48.8,47.25,467214,2254505920.86,3.17,-2.78,-1.36,2.12
2023-02-28,002230,48.17,48.04,48.27,46.87,546379,2619790070.38,2.95,1.16,0.55,2.57
2023-03-01,002230,47.85,49.58,50.43,47.71,816245,4063329191.63,5.66,3.21,1.54,3.84
2023-03-02,002230,49.25,50.6,52.22,49.08,844033,4336915318.11,6.33,2.06,1.02,3.97
2023-03-03,002230,50.0,50.41,51.9,49.31,742819,3770907172.66,5.12,-0.38,-0.19,3.49
2023-03-06,002230,50.26,50.02,50.88,49.28,456261,2290634126.57,3.17,-0.77,-0.39,2.14
2023-03-07,002230,49.99,48.53,50.28,48.0,452532,2231404674.62,4.56,-2.98,-1.49,2.13
2023-03-08,002230,48.43,48.32,48.58,47.26,475867,2292046189.83,2.72,-0.43,-0.21,2.24
2023-03-09,002230,48.41,47.98,48.86,47.42,364652,1763326355.84,2.98,-0.7,-0.34,1.71
2023-03-10,002230,47.3,47.33,48.57,46.7,492933,2349189985.22,3.9,-1.35,-0.65,2.32
2023-03-13,002230,47.2,48.9,49.05,46.8,610956,2968069194.7,4.75,3.32,1.57,2.87
2023-03-14,002230,48.5,47.85,48.85,47.09,457981,2207796879.55,3.6,-2.15,-1.05,2.15
2023-03-15,002230,48.9,47.88,50.08,47.65,584761,2867222805.8,5.08,0.06,0.03,2.75
2023-03-16,002230,47.1,48.57,49.78,46.81,706337,3460875357.83,6.2,1.44,0.69,3.32
2023-03-17,002230,49.68,51.98,53.29,49.64,1167501,6080935514.29,7.51,7.02,3.41,5.49
2023-03-20,002230,52.2,50.78,52.99,50.65,759323,3970446495.13,4.5,-2.31,-1.2,3.57
2023-03-21,002230,50.8,50.52,51.56,49.5,557690,2834318008.12,4.06,-0.51,-0.26,2.62
2023-03-22,002230,49.7,51.25,51.25,49.28,682512,3462691751.31,3.9,1.44,0.73,3.21
2023-03-23,002230,51.7,56.41,56.41,51.12,1506766,8290109496.01,10.32,10.07,5.16,7.08
2023-03-24,002230,56.7,59.72,60.53,56.2,1414824,8249835538.6,7.68,5.87,3.31,6.65
2023-03-27,002230,58.89,60.16,61.75,58.2,1234582,7443330220.31,5.94,0.74,0.44,5.8
2023-03-28,002230,58.91,57.94,60.05,57.63,807815,4771641727.27,4.02,-3.69,-2.22,3.8
2023-03-29,002230,57.48,58.95,60.5,56.48,1038268,6106902149.32,6.94,1.74,1.01,4.88
