date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300002,4.14,4.32,4.34,4.12,372699,165810337.0,5.3,4.1,0.17,2.05
2023-01-04,300002,4.34,4.39,4.4,4.28,332330,151270197.0,2.78,1.62,0.07,1.83
2023-01-05,300002,4.39,4.39,4.43,4.35,289533,132656197.0,1.82,0.0,0.0,1.59
2023-01-06,300002,4.38,4.33,4.41,4.3,238573,108139686.0,2.51,-1.37,-0.06,1.31
2023-01-09,300002,4.34,4.32,4.4,4.3,173165,78416204.0,2.31,-0.23,-0.01,0.95
2023-01-10,300002,4.32,4.37,4.38,4.29,196196,89166651.0,2.08,1.16,0.05,1.08
2023-01-11,300002,4.38,4.32,4.4,4.31,208410,94703438.0,2.06,-1.14,-0.05,1.15
2023-01-12,300002,4.33,4.34,4.4,4.3,198338,89893175.0,2.31,0.46,0.02,1.09
2023-01-13,300002,4.34,4.34,4.36,4.3,140174,63317182.0,1.38,0.0,0.0,0.77
2023-01-16,300002,4.36,4.45,4.48,4.36,382282,177046070.0,2.76,2.53,0.11,2.1
2023-01-17,300002,4.45,4.37,4.45,4.34,256936,117591826.0,2.47,-1.8,-0.08,1.41
2023-01-18,300002,4.37,4.45,4.47,4.37,263649,122042455.0,2.29,1.83,0.08,1.45
2023-01-19,300002,4.43,4.51,4.52,4.42,267512,125176486.0,2.25,1.35,0.06,1.47
2023-01-20,300002,4.53,4.58,4.59,4.5,297255,141249091.0,2.0,1.55,0.07,1.63
2023-01-30,300002,4.71,4.77,4.84,4.71,845769,420058555.0,2.84,4.15,0.19,4.65
2023-01-31,300002,4.77,4.73,4.78,4.62,595330,290553836.0,3.35,-0.84,-0.04,3.27
2023-02-01,300002,4.74,5.14,5.26,4.69,1327011,690050561.0,12.05,8.67,0.41,7.29
2023-02-02,300002,5.16,5.11,5.25,5.08,1292388,689796196.0,3.31,-0.58,-0.03,7.1
2023-02-03,300002,5.05,5.18,5.24,5.03,931271,497978968.0,4.11,1.37,0.07,5.12
2023-02-06,300002,5.08,5.3,5.39,5.06,1471676,802778836.0,6.37,2.32,0.12,8.09
2023-02-07,300002,5.22,6.02,6.4,5.14,3456342,2114004402.0,23.77,13.58,0.72,19.0
2023-02-08,300002,5.91,5.72,5.97,5.71,2110721,1271723446.0,4.32,-4.98,-0.3,11.6
2023-02-09,300002,5.63,5.8,5.95,5.56,1601107,959034364.0,6.82,1.4,0.08,8.8
2023-02-10,300002,5.79,5.82,5.96,5.77,1250041,753424886.0,3.28,0.34,0.02,6.87
2023-02-13,300002,5.82,5.94,5.97,5.66,1538221,926571675.0,5.33,2.06,0.12,8.46
2023-02-14,300002,5.91,5.77,5.96,5.74,983064,591474878.0,3.7,-2.86,-0.17,5.4
2023-02-15,300002,5.79,6.18,6.32,5.79,2070316,1307384606.0,9.19,7.11,0.41,11.38
2023-02-16,300002,6.06,5.89,6.3,5.87,1842636,1160204264.0,6.96,-4.69,-0.29,10.13
2023-02-17,300002,5.95,5.71,5.99,5.67,1117292,665680000.0,5.43,-3.06,-0.18,6.14
2023-02-20,300002,5.69,5.9,5.93,5.69,852920,513998985.0,4.2,3.33,0.19,4.69
2023-02-21,300002,5.86,5.83,6.01,5.78,766792,465063874.0,3.9,-1.19,-0.07,4.22
2023-02-22,300002,5.76,5.81,5.89,5.69,539476,322215096.0,3.43,-0.34,-0.02,2.97
2023-02-23,300002,5.81,5.64,5.82,5.6,601334,353298469.0,3.79,-2.93,-0.17,3.31
2023-02-24,300002,5.66,5.72,5.77,5.65,473977,279786162.0,2.13,1.42,0.08,2.61
2023-02-27,300002,5.79,5.75,6.0,5.73,996960,604532637.0,4.72,0.52,0.03,5.48
2023-02-28,300002,5.83,5.87,5.89,5.75,713252,428413587.0,2.43,2.09,0.12,3.92
2023-03-01,300002,5.83,6.46,6.58,5.82,2105477,1354974337.0,12.95,10.05,0.59,11.57
2023-03-02,300002,6.51,6.67,6.84,6.44,1886363,1280773331.0,6.19,3.25,0.21,10.37
2023-03-03,300002,6.58,6.54,6.64,6.31,1465448,976154905.0,4.95,-1.95,-0.13,8.06
2023-03-06,300002,6.64,6.35,6.69,6.29,827454,546041553.0,6.12,-2.91,-0.19,4.55
2023-03-07,300002,6.32,6.06,6.35,6.03,782556,497728257.0,5.04,-4.57,-0.29,4.3
2023-03-08,300002,6.05,6.1,6.18,6.01,583631,365797214.0,2.81,0.66,0.04,3.21
2023-03-09,300002,6.08,6.18,6.33,5.99,818099,517721232.0,5.57,1.31,0.08,4.5
