date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300418,14.34,14.57,14.64,14.13,203127,293968259.0,3.55,1.46,0.21,1.89
2023-01-04,300418,14.64,14.67,14.92,14.55,237774,351565314.0,2.54,0.69,0.1,2.21
2023-01-05,300418,14.7,14.59,15.0,14.55,192485,283902792.0,3.07,-0.55,-0.08,1.79
2023-01-06,300418,14.54,14.38,14.58,14.31,129274,187118480.0,1.85,-1.44,-0.21,1.2
2023-01-09,300418,14.36,14.56,14.59,14.36,127456,185226256.0,1.6,1.25,0.18,1.18
2023-01-10,300418,14.55,14.63,14.74,14.34,147303,215311126.0,2.75,0.48,0.07,1.37
2023-01-11,300418,14.61,14.32,14.63,14.27,102750,148819775.0,2.46,-2.12,-0.31,0.95
2023-01-12,300418,14.35,14.28,14.44,14.2,73315,105343660.0,1.68,-0.28,-0.04,0.68
2023-01-13,300418,14.39,14.5,14.5,14.29,79548,115095927.0,1.47,1.54,0.22,0.74
2023-01-16,300418,14.45,14.54,14.67,14.41,97949,143388591.0,1.79,0.28,0.04,0.91
2023-01-17,300418,14.77,14.53,14.82,14.52,96764,142008753.0,2.06,-0.07,-0.01,0.9
2023-01-18,300418,14.56,14.68,14.88,14.56,121262,179204666.0,2.2,1.03,0.15,1.13
2023-01-19,300418,14.64,14.83,14.87,14.56,100572,148733873.0,2.11,1.02,0.15,0.93
2023-01-20,300418,14.81,14.8,14.97,14.73,105803,157431616.0,1.62,-0.2,-0.03,0.98
2023-01-30,300418,15.45,15.41,16.2,15.4,480646,756875860.0,5.41,4.12,0.61,4.46
2023-01-31,300418,15.65,16.37,16.62,15.61,586064,946942871.0,6.55,6.23,0.96,5.44
2023-02-01,300418,16.26,16.81,16.92,16.22,433314,718906253.0,4.28,2.69,0.44,4.02
2023-02-02,300418,17.15,18.18,19.12,17.15,1071211,1960504775.0,11.72,8.15,1.37,9.94
2023-02-03,300418,18.06,18.45,18.61,17.93,566023,1037700420.0,3.74,1.49,0.27,5.25
2023-02-06,300418,18.8,19.56,19.8,18.33,979971,1893555916.0,7.97,6.02,1.11,9.1
2023-02-07,300418,18.95,20.93,22.1,18.75,1208623,2474257933.0,17.13,7.0,1.37,11.22
2023-02-08,300418,20.83,20.81,21.44,20.0,906949,1867279093.0,6.88,-0.57,-0.12,8.42
2023-02-09,300418,20.26,21.56,22.03,19.57,1167805,2466794025.0,11.82,3.6,0.75,10.84
2023-02-10,300418,23.15,21.73,24.95,21.73,1774968,4130654879.0,14.94,0.79,0.17,16.48
2023-02-13,300418,21.76,24.89,25.11,21.55,1825453,4289190514.0,16.38,14.54,3.16,16.94
2023-02-14,300418,24.45,24.65,25.09,23.87,1103166,2694564867.0,4.9,-0.96,-0.24,10.24
2023-02-15,300418,24.25,25.15,25.74,23.21,1678800,4118240686.0,10.26,2.03,0.5,15.58
2023-02-16,300418,24.45,24.8,26.5,24.1,1632135,4137765786.0,9.54,-1.39,-0.35,15.15
2023-02-17,300418,24.75,22.93,24.75,22.85,1261140,2958455408.0,7.66,-7.54,-1.87,11.71
2023-02-20,300418,23.42,23.95,24.15,23.04,1133773,2681077921.0,4.84,4.45,1.02,10.52
2023-02-21,300418,23.55,23.56,24.27,23.14,866179,2058368624.0,4.72,-1.63,-0.39,8.04
2023-02-22,300418,23.29,22.83,23.53,22.11,861275,1961963304.0,6.03,-3.1,-0.73,7.99
2023-02-23,300418,22.65,21.27,22.77,20.98,1208089,2630488419.0,7.84,-6.83,-1.56,11.21
2023-02-24,300418,21.45,21.91,22.2,21.2,963651,2095756354.0,4.7,3.01,0.64,8.93
2023-02-27,300418,21.65,21.11,22.45,20.95,757964,1633211441.0,6.85,-3.65,-0.8,7.02
2023-02-28,300418,21.63,22.15,22.43,21.12,978476,2140731896.0,6.21,4.93,1.04,9.06
2023-03-01,300418,22.7,25.16,25.9,22.63,1751311,4252342291.0,14.76,13.59,3.01,16.22
2023-03-02,300418,25.2,25.33,25.99,24.42,1407365,3533939528.0,6.24,0.68,0.17,13.04
2023-03-03,300418,24.56,25.08,25.91,24.49,1153780,2916791971.0,5.61,-0.99,-0.25,10.69
2023-03-06,300418,25.0,24.61,25.34,24.05,803047,1978029198.0,5.14,-1.87,-0.47,7.44
2023-03-07,300418,24.83,24.74,25.35,24.35,746958,1861888471.0,4.06,0.53,0.13,6.92
2023-03-08,300418,24.19,24.42,24.62,23.85,625341,1514182021.0,3.11,-1.29,-0.32,5.79
2023-03-09,300418,23.85,23.72,24.09,23.15,714009,1690437897.0,3.85,-2.87,-0.7,6.61
2023-03-10,300418,23.26,23.13,24.05,23.08,549898,1297105042.0,4.09,-2.49,-0.59,5.09
2023-03-13,300418,23.61,25.03,25.28,22.95,1008607,2447624907.0,10.07,8.21,1.9,9.34
2023-03-14,300418,24.78,24.56,25.2,24.38,747126,1855189894.0,3.28,-1.88,-0.47,6.92
2023-03-15,300418,25.15,24.57,25.49,23.81,754847,1868271114.0,6.84,0.04,0.01,6.99
2023-03-16,300418,24.21,26.6,27.38,23.25,1589389,4106052919.0,16.81,8.26,2.03,14.72
2023-03-17,300418,26.66,27.24,27.94,26.66,1441503,3949757561.0,4.81,2.41,0.64,13.35
2023-03-20,300418,27.96,27.75,29.33,27.25,1219318,3448076261.0,7.64,1.87,0.51,11.29
2023-03-21,300418,27.65,30.05,31.25,27.65,1310817,3917332496.0,12.97,8.29,2.3,12.14
2023-03-22,300418,29.44,33.15,33.66,29.0,1399669,4361600488.0,15.51,10.32,3.1,12.96
2023-03-23,300418,32.69,33.74,34.79,32.53,1118702,3766015174.0,6.82,1.78,0.59,10.36
2023-03-24,300418,33.65,40.5,40.5,33.45,1356183,5041863230.0,20.9,20.04,6.76,12.56
2023-03-27,300418,39.95,42.4,43.6,38.35,1524825,6174200869.0,12.96,4.69,1.9,14.12
2023-03-28,300418,40.93,38.2,40.93,37.81,1275475,5022270686.0,7.36,-9.91,-4.2,11.81
2023-03-29,300418,38.06,37.53,40.06,37.3,1297934,5024930425.0,7.23,-1.75,-0.67,12.02
2023-03-30,300418,37.1,38.95,38.95,35.75,1316785,4951720924.0,8.53,3.78,1.42,12.2
2023-03-31,300418,37.71,46.73,46.75,37.08,1685681,7123107851.0,24.83,19.97,7.78,15.61
2023-04-03,300418,45.4,50.6,50.83,45.4,1357465,6639341843.0,11.62,8.28,3.87,12.57
2023-04-04,300418,49.95,49.45,51.4,48.29,1001782,4988447625.0,6.15,-2.27,-1.15,9.28
2023-04-06,300418,48.1,52.83,52.85,46.95,1236437,6148561520.0,11.93,6.84,3.38,11.45
2023-04-07,300418,51.78,50.45,53.15,47.68,1073118,5416503645.0,10.35,-4.51,-2.38,9.94
2023-04-10,300418,49.35,41.74,49.89,40.35,1720861,7701664395.0,18.91,-17.26,-8.71,15.94
2023-04-11,300418,44.35,45.71,48.37,43.9,1701378,7763381226.0,10.71,9.51,3.97,15.76
2023-04-12,300418,44.32,51.23,53.18,44.32,1661597,7952975878.0,19.38,12.08,5.52,15.39
2023-04-13,300418,50.51,50.05,54.95,50.05,1450959,7596125639.0,9.56,-2.3,-1.18,13.44
2023-04-14,300418,50.75,48.7,53.05,47.25,1299229,6536452003.0,11.59,-2.7,-1.35,12.03
2023-04-17,300418,48.0,47.36,48.58,44.76,902208,4234300030.0,7.84,-2.75,-1.34,8.3
2023-04-18,300418,46.95,51.0,51.73,42.63,1688423,7988791796.0,19.21,7.69,3.64,15.53
2023-04-19,300418,50.81,49.15,51.36,48.95,1157779,5810599239.0,4.73,-3.63,-1.85,10.65
2023-04-20,300418,48.14,51.33,52.28,48.14,1361406,6901399917.0,8.42,4.44,2.18,12.52
2023-04-21,300418,52.92,48.89,55.9,48.89,1599788,8508330659.0,13.66,-4.75,-2.44,14.72
2023-04-24,300418,49.14,55.75,57.28,49.13,1627030,8777964972.0,16.67,14.03,6.86,14.97
2023-04-25,300418,55.95,58.96,59.61,54.75,1446696,8269915035.0,8.72,5.76,3.21,13.31
2023-04-26,300418,58.45,59.44,63.06,54.73,1567702,9204904758.0,14.13,0.81,0.48,14.42
