date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,002236,9.56,9.82,9.83,9.45,256682,293903696.4,3.97,2.72,0.26,1.31
2023-01-04,002236,9.8,9.82,9.86,9.69,166222,191738378.06,1.73,0.0,0.0,0.85
2023-01-05,002236,9.85,9.94,9.96,9.79,217327,253228840.97,1.73,1.22,0.12,1.11
2023-01-06,002236,9.92,9.85,9.98,9.81,190748,222146352.13,1.71,-0.91,-0.09,0.97
2023-01-09,002236,9.87,9.94,9.99,9.85,180440,210518988.08,1.42,0.91,0.09,0.92
2023-01-10,002236,9.95,9.87,9.95,9.8,168345,195311303.3,1.51,-0.7,-0.07,0.86
2023-01-11,002236,9.87,9.71,9.9,9.71,182873,211042834.68,1.93,-1.62,-0.16,0.93
2023-01-12,002236,9.71,9.72,9.78,9.66,109149,125096738.54,1.24,0.1,0.01,0.56
2023-01-13,002236,9.73,9.85,9.86,9.72,136867,157935006.44,1.44,1.34,0.13,0.7
2023-01-16,002236,9.89,10.51,10.62,9.87,705446,857417166.58,7.61,6.7,0.66,3.6
2023-01-17,002236,10.46,10.54,10.64,10.42,273964,336177514.34,2.09,0.29,0.03,1.4
2023-01-18,002236,10.53,10.59,10.71,10.47,177668,219178008.55,2.28,0.47,0.05,0.91
2023-01-19,002236,10.55,10.84,10.93,10.5,419275,524337104.49,4.06,2.36,0.25,2.14
2023-01-20,002236,10.93,10.93,11.07,10.83,360662,457299715.69,2.21,0.83,0.09,1.84
2023-01-30,002236,11.18,11.09,11.3,11.05,442855,572255585.04,2.29,1.46,0.16,2.26
2023-01-31,002236,11.09,10.9,11.12,10.82,295614,374272705.05,2.71,-1.71,-0.19,1.51
2023-02-01,002236,10.9,11.18,11.19,10.9,252985,324099305.72,2.66,2.57,0.28,1.29
2023-02-02,002236,11.26,11.15,11.41,11.13,397044,516704494.58,2.5,-0.27,-0.03,2.03
2023-02-03,002236,11.16,11.3,11.33,11.08,335735,435625318.92,2.24,1.35,0.15,1.71
2023-02-06,002236,11.3,11.19,11.62,11.16,476021,623810604.36,4.07,-0.97,-0.11,2.43
2023-02-07,002236,11.24,11.63,11.67,11.18,534406,706972945.36,4.38,3.93,0.44,2.73
2023-02-08,002236,11.69,11.43,11.96,11.43,478585,641044671.67,4.56,-1.72,-0.2,2.44
2023-02-09,002236,11.29,11.84,11.87,11.29,457680,613214890.5,5.07,3.59,0.41,2.34
2023-02-10,002236,11.77,11.7,11.94,11.62,342128,462317614.8,2.7,-1.18,-0.14,1.75
2023-02-13,002236,11.7,11.75,11.83,11.57,288996,388843766.49,2.22,0.43,0.05,1.48
2023-02-14,002236,11.75,11.7,11.87,11.6,240059,323103673.34,2.3,-0.43,-0.05,1.23
2023-02-15,002236,11.65,11.77,11.84,11.55,357090,481292519.05,2.48,0.6,0.07,1.82
2023-02-16,002236,11.65,11.87,12.43,11.65,842822,1163046607.98,6.63,0.85,0.1,4.3
2023-02-17,002236,11.8,11.46,12.0,11.46,499900,671738406.52,4.55,-3.45,-0.41,2.55
2023-02-20,002236,11.46,12.07,12.07,11.45,597038,813875197.8,5.41,5.32,0.61,3.05
2023-02-21,002236,12.0,11.94,12.18,11.83,408818,561064207.99,2.9,-1.08,-0.13,2.09
2023-02-22,002236,11.81,11.82,11.96,11.75,237298,322671872.19,1.76,-1.01,-0.12,1.21
2023-02-23,002236,11.87,11.62,11.92,11.45,339434,454649736.74,3.98,-1.69,-0.2,1.73
2023-02-24,002236,11.61,11.59,11.74,11.46,228631,305630790.76,2.41,-0.26,-0.03,1.17
2023-02-27,002236,11.79,12.25,12.35,11.7,886818,1234928505.89,5.61,5.69,0.66,4.53
2023-02-28,002236,12.53,12.75,13.03,12.44,1007879,1456281432.17,4.82,4.08,0.5,5.15
2023-03-01,002236,13.2,14.12,14.2,13.05,1871547,2919482351.49,9.02,10.75,1.37,9.56
2023-03-02,002236,14.24,14.15,14.83,14.07,2056052,3337159047.0,5.38,0.21,0.03,10.5
2023-03-03,002236,14.0,13.9,14.27,13.67,1097347,1716485306.74,4.24,-1.77,-0.25,5.6
2023-03-06,002236,13.76,14.14,14.42,13.67,979756,1554096593.58,5.4,1.73,0.24,5.0
2023-03-07,002236,14.0,13.42,14.24,13.27,900064,1390983586.48,6.86,-5.09,-0.72,4.6
