date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,000032,20.24,21.86,21.86,19.86,399676,850323135.9,10.08,10.18,2.02,6.2
2023-01-04,000032,23.14,24.08,24.08,22.99,531629,1281719117.93,4.99,10.16,2.22,8.25
2023-01-05,000032,24.39,23.74,24.59,23.0,842555,2027484306.51,6.6,-1.41,-0.34,13.07
2023-01-06,000032,23.75,24.2,24.54,23.38,649714,1579797595.5,4.89,1.94,0.46,10.08
2023-01-09,000032,24.18,24.1,24.64,23.79,461951,1131257209.95,3.51,-0.41,-0.1,7.16
2023-01-10,000032,23.87,23.65,24.26,23.37,367529,885065509.8,3.69,-1.87,-0.45,5.7
2023-01-11,000032,23.4,23.26,24.48,23.09,446796,1075165786.21,5.88,-1.65,-0.39,6.93
2023-01-12,000032,23.1,23.11,23.94,22.88,421515,995667140.02,4.56,-0.64,-0.15,6.54
2023-01-13,000032,23.07,22.15,23.2,21.89,409887,932283293.61,5.67,-4.15,-0.96,6.36
2023-01-16,000032,22.69,22.93,23.59,22.37,351331,821982257.55,5.51,3.52,0.78,5.45
2023-01-17,000032,23.09,22.92,23.45,22.59,262272,611432778.09,3.75,-0.04,-0.01,4.07
2023-01-18,000032,22.89,23.89,24.57,22.63,478572,1158389923.64,8.46,4.23,0.97,7.42
2023-01-19,000032,23.89,25.03,26.05,23.77,596894,1512820163.81,9.54,4.77,1.14,9.26
2023-01-20,000032,25.14,26.72,27.56,24.97,834050,2256780065.0,10.35,6.75,1.69,12.94
2023-01-30,000032,26.79,27.65,28.18,25.99,655094,1804258729.44,8.2,3.48,0.93,10.16
2023-01-31,000032,27.34,26.69,27.75,26.46,359364,979165280.17,4.67,-3.47,-0.96,5.57
2023-02-01,000032,26.6,27.57,27.69,26.37,403776,1102427199.1,4.95,3.3,0.88,6.26
2023-02-02,000032,27.2,27.67,29.29,27.13,447775,1272290151.1,7.83,0.36,0.1,6.94
2023-02-03,000032,27.39,28.75,29.69,27.22,595735,1710955095.04,8.93,3.9,1.08,9.24
2023-02-06,000032,28.89,28.46,29.67,27.59,433443,1255069961.0,7.23,-1.01,-0.29,6.72
2023-02-07,000032,28.32,27.18,28.35,26.81,362106,1003359625.82,5.41,-4.5,-1.28,5.62
2023-02-08,000032,27.05,27.03,27.48,26.08,270634,730378463.01,5.15,-0.55,-0.15,4.2
2023-02-09,000032,26.7,27.22,27.48,26.42,261844,715611453.79,3.92,0.7,0.19,4.06
2023-02-10,000032,27.16,26.99,27.96,26.31,342413,936949986.55,6.06,-0.84,-0.23,5.31
2023-02-13,000032,27.08,27.08,27.87,26.69,284340,783290676.43,4.37,0.33,0.09,4.41
2023-02-14,000032,27.08,26.38,27.35,26.11,257747,689347935.77,4.58,-2.58,-0.7,4.0
2023-02-15,000032,26.26,26.98,27.86,26.19,344083,938595984.79,6.33,2.27,0.6,5.34
2023-02-16,000032,27.49,27.49,29.55,26.13,627696,1746857124.33,12.68,1.89,0.51,9.74
2023-02-17,000032,27.44,25.69,27.44,25.09,547708,1433185607.49,8.55,-6.55,-1.8,8.49
2023-02-20,000032,25.59,25.84,26.31,25.24,275655,721856853.88,4.17,0.58,0.15,4.28
2023-02-21,000032,25.84,26.6,27.53,25.78,409511,1103877808.89,6.77,2.94,0.76,6.35
2023-02-22,000032,26.48,26.84,27.52,26.25,348266,946734950.04,4.77,0.9,0.24,5.4
2023-02-23,000032,26.56,25.07,26.77,24.69,433816,1119094662.69,7.75,-6.59,-1.77,6.73
2023-02-24,000032,25.07,25.19,25.33,24.49,200992,508038308.8,3.35,0.48,0.12,3.12
2023-02-27,000032,24.7,24.72,25.39,24.09,207175,519682360.48,5.16,-1.87,-0.47,3.21
2023-02-28,000032,26.69,25.71,27.04,25.3,530571,1399809424.52,7.04,4.0,0.99,8.23
2023-03-01,000032,26.07,28.31,28.31,26.01,977493,2738118067.72,8.95,10.11,2.6,15.16
2023-03-02,000032,27.7,28.05,28.42,27.3,600119,1700139239.66,3.96,-0.92,-0.26,9.31
2023-03-03,000032,27.76,28.11,28.8,27.4,465215,1328795192.08,4.99,0.21,0.06,7.22
2023-03-06,000032,28.38,27.41,28.75,27.2,444280,1253995725.76,5.51,-2.49,-0.7,6.89
2023-03-07,000032,28.25,28.14,29.59,27.87,700574,2018116669.15,6.28,2.66,0.73,10.87
2023-03-08,000032,28.91,29.68,30.19,28.37,759692,2253814401.93,6.47,5.47,1.54,11.78
2023-03-09,000032,28.78,28.53,29.59,28.18,500657,1452012531.0,4.75,-3.87,-1.15,7.76
2023-03-10,000032,28.47,29.52,30.64,28.19,692152,2066697257.73,8.59,3.47,0.99,10.73
2023-03-13,000032,29.19,32.5,32.5,28.57,671644,2089948661.46,13.31,10.09,2.98,10.42
2023-03-14,000032,32.33,34.61,35.74,32.32,683264,2336355013.26,10.52,6.49,2.11,10.6
2023-03-15,000032,34.5,34.19,34.88,33.25,426297,1458351201.79,4.71,-1.21,-0.42,6.61
2023-03-16,000032,33.84,34.67,35.84,33.1,552647,1919307210.08,8.01,1.4,0.48,8.57
2023-03-17,000032,34.5,36.08,36.38,33.95,482286,1715245436.87,7.01,4.07,1.41,7.48
2023-03-20,000032,35.58,34.04,36.76,33.39,608137,2140353366.25,9.34,-5.65,-2.04,9.43
2023-03-21,000032,34.04,34.09,34.54,33.19,401396,1373092950.4,3.97,0.15,0.05,6.23
2023-03-22,000032,33.89,34.38,34.44,32.65,377936,1289956012.18,5.25,0.85,0.29,5.86
2023-03-23,000032,34.37,35.95,36.03,33.69,472884,1667633051.17,6.81,4.57,1.57,7.33
2023-03-24,000032,36.57,34.47,36.57,33.87,473211,1666377299.97,7.51,-4.12,-1.48,7.34
2023-03-27,000032,34.34,33.53,35.38,32.49,490185,1664042762.12,8.38,-2.73,-0.94,7.6
2023-03-28,000032,33.48,35.12,36.39,33.03,568366,2003077590.96,10.02,4.74,1.59,8.82
2023-03-29,000032,34.55,33.55,35.48,32.89,408281,1391878952.61,7.37,-4.47,-1.57,6.33
2023-03-30,000032,33.01,32.02,33.59,31.54,349180,1143424025.14,6.11,-4.56,-1.53,5.42
2023-03-31,000032,32.03,32.75,33.24,31.66,246122,807986808.65,4.93,2.28,0.73,3.82
2023-04-03,000032,32.79,33.51,33.84,32.24,370182,1238709488.54,4.89,2.32,0.76,5.74
2023-04-04,000032,34.19,35.4,36.57,33.29,562526,1982102068.59,9.79,5.64,1.89,8.72
2023-04-06,000032,34.69,38.97,38.97,34.03,621949,2360322159.86,13.95,10.08,3.57,9.65
2023-04-07,000032,38.96,39.79,40.34,37.59,518511,2033622871.96,7.06,2.1,0.82,8.04
2023-04-10,000032,39.69,38.1,41.24,37.9,395037,1567734057.44,8.39,-4.25,-1.69,6.13
2023-04-11,000032,38.12,38.24,38.9,37.02,304652,1164557782.79,4.93,0.37,0.14,4.73
2023-04-12,000032,38.14,39.35,41.23,37.78,451253,1800130125.68,9.02,2.9,1.11,7.0
2023-04-13,000032,40.49,38.08,41.19,37.65,490844,1954219129.55,9.0,-3.23,-1.27,7.61
2023-04-14,000032,38.17,37.87,39.35,37.22,275137,1055019617.71,5.59,-0.55,-0.21,4.27
2023-04-17,000032,37.64,37.81,38.99,37.04,201181,771558183.79,5.15,-0.16,-0.06,3.12
2023-04-18,000032,37.69,37.9,38.34,36.27,231727,870235488.16,5.47,0.24,0.09,3.59
2023-04-19,000032,37.7,38.45,39.54,37.55,295499,1153773466.57,5.25,1.45,0.55,4.58
2023-04-20,000032,38.19,39.29,39.89,37.72,282915,1107926270.48,5.64,2.18,0.84,4.39
2023-04-21,000032,38.87,35.33,38.87,35.33,356970,1314657606.31,9.01,-10.08,-3.96,5.54
2023-04-24,000032,35.33,33.08,35.35,32.58,470903,1601173112.1,7.84,-6.37,-2.25,7.3
2023-04-25,000032,33.14,32.85,33.87,32.59,283040,947740860.73,3.87,-0.7,-0.23,4.39
2023-04-26,000032,32.61,29.97,33.24,29.65,545416,1704118286.62,10.93,-8.77,-2.88,8.46
2023-04-27,000032,29.96,30.39,31.62,29.96,290854,904741314.17,5.54,1.4,0.42,4.51
2023-04-28,000032,30.29,31.29,31.48,29.86,242162,756037850.14,5.33,2.96,0.9,3.76
2023-05-04,000032,30.69,30.49,31.05,29.06,308031,933159622.04,6.36,-2.56,-0.8,4.78
2023-05-05,000032,30.49,31.69,32.46,29.99,368148,1162887129.33,8.1,3.94,1.2,5.71
2023-05-08,000032,31.62,33.91,34.68,31.35,501454,1668256331.84,10.51,7.01,2.22,7.78
2023-05-09,000032,33.69,33.49,35.19,33.34,337612,1165846578.65,5.46,-1.24,-0.42,5.24
2023-05-10,000032,33.22,33.73,34.04,32.79,241720,813252379.3,3.73,0.72,0.24,3.75
2023-05-11,000032,33.59,32.21,33.79,31.74,275407,897984671.01,6.08,-4.51,-1.52,4.27
2023-05-12,000032,32.22,31.34,32.38,31.31,161337,517474476.63,3.32,-2.7,-0.87,2.5
2023-05-15,000032,31.34,31.66,31.75,29.69,284714,886823373.33,6.57,1.02,0.32,4.42
2023-05-16,000032,31.44,30.28,31.96,30.26,202352,626625462.01,5.37,-4.36,-1.38,3.14
2023-05-17,000032,30.29,30.44,30.89,29.49,232857,710484837.54,4.62,0.53,0.16,3.61
2023-05-18,000032,30.67,31.14,31.37,30.17,203336,635541634.03,3.94,2.3,0.7,3.15
2023-05-19,000032,31.12,31.28,31.29,29.64,240410,742696958.23,5.3,0.45,0.14,3.73
2023-05-22,000032,30.89,30.81,31.8,30.41,182651,572664729.81,4.44,-1.5,-0.47,2.83
