date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,300496,99.53,102.74,103.23,98.23,54938,561752784.0,5.02,3.23,3.21,1.64
2023-01-04,300496,102.33,100.81,104.17,100.04,36215,369628311.0,4.02,-1.88,-1.93,1.08
2023-01-05,300496,102.25,106.04,107.17,100.14,76480,808196496.0,6.97,5.19,5.23,2.29
2023-01-06,300496,105.11,106.75,107.7,104.58,50931,546491733.0,2.94,0.67,0.71,1.52
2023-01-09,300496,106.53,104.97,107.95,104.34,47186,502992643.0,3.38,-1.67,-1.78,1.41
2023-01-10,300496,104.91,106.92,107.59,104.78,37840,405847996.0,2.68,1.86,1.95,1.13
2023-01-11,300496,106.03,103.69,106.73,102.74,50637,532111442.0,3.73,-3.02,-3.23,1.51
2023-01-12,300496,103.3,103.69,105.96,102.73,34081,356694490.0,3.12,0.0,0.0,1.02
2023-01-13,300496,104.73,102.54,104.73,101.23,37868,389738865.0,3.38,-1.11,-1.15,1.13
2023-01-16,300496,102.92,103.98,105.13,102.23,42029,440503163.0,2.83,1.4,1.44,1.26
2023-01-17,300496,104.12,104.76,105.58,103.28,40942,431839101.0,2.21,0.75,0.78,1.22
2023-01-18,300496,104.76,105.01,106.08,102.25,34056,358729527.0,3.66,0.24,0.25,1.02
2023-01-19,300496,104.52,105.23,105.39,103.19,31588,332567208.0,2.1,0.21,0.22,0.94
2023-01-20,300496,105.91,105.83,108.75,104.23,52044,556179677.0,4.3,0.57,0.6,1.56
2023-01-30,300496,108.73,110.6,112.17,108.11,88787,990355425.0,3.84,4.51,4.77,2.65
2023-01-31,300496,110.13,108.96,110.87,107.99,40268,442405070.0,2.6,-1.48,-1.64,1.2
2023-02-01,300496,109.63,113.61,113.73,108.09,60088,675446499.0,5.18,4.27,4.65,1.8
2023-02-02,300496,113.23,113.19,115.23,112.37,40656,466661039.0,2.52,-0.37,-0.42,1.22
2023-02-03,300496,112.56,111.51,113.48,109.55,43455,486481845.0,3.47,-1.48,-1.68,1.3
2023-02-06,300496,111.03,107.03,111.47,106.66,60102,654854164.0,4.31,-4.02,-4.48,1.8
2023-02-07,300496,108.11,101.61,108.12,98.89,166250,1691520953.0,8.62,-5.06,-5.42,4.97
2023-02-08,300496,100.45,101.64,102.02,98.29,105656,1062070180.0,3.67,0.03,0.03,3.16
2023-02-09,300496,100.23,101.75,102.11,99.51,86685,879460693.0,2.56,0.11,0.11,2.59
2023-02-10,300496,104.13,101.75,104.43,100.91,74241,766561052.0,3.46,0.0,0.0,2.22
2023-02-13,300496,101.16,99.89,101.18,99.23,78570,790876555.0,1.92,-1.83,-1.86,2.35
2023-02-14,300496,99.99,100.13,100.23,99.11,55447,555813280.0,1.12,0.24,0.24,1.66
2023-02-15,300496,99.73,99.13,100.54,98.89,51115,511644427.0,1.65,-1.0,-1.0,1.53
2023-02-16,300496,98.98,96.24,99.71,95.88,80026,791134655.0,3.86,-2.92,-2.89,2.39
2023-02-17,300496,95.67,93.39,96.19,93.39,64305,613316450.0,2.91,-2.96,-2.85,1.92
2023-02-20,300496,93.05,93.64,94.17,91.15,67826,632139699.0,3.23,0.27,0.25,2.03
2023-02-21,300496,93.33,94.38,95.39,92.93,54070,514082811.0,2.63,0.79,0.74,1.62
2023-02-22,300496,94.18,93.88,95.06,93.2,39031,369260070.0,1.97,-0.53,-0.5,1.17
2023-02-23,300496,94.39,93.41,94.83,93.11,37746,357280042.0,1.83,-0.5,-0.47,1.13
2023-02-24,300496,93.44,92.23,93.61,92.12,39827,372127742.0,1.6,-1.26,-1.18,1.19
2023-02-27,300496,91.23,93.21,95.02,91.23,53759,506422063.0,4.11,1.06,0.98,1.61
2023-02-28,300496,93.26,94.83,95.23,93.23,68082,649026670.0,2.15,1.74,1.62,2.03
2023-03-01,300496,95.06,98.68,99.03,94.25,117153,1146782331.0,5.04,4.06,3.85,3.5
2023-03-02,300496,103.2,106.08,106.82,102.11,210026,2217758309.0,4.77,7.5,7.4,6.28
2023-03-03,300496,103.93,101.38,106.03,101.13,115279,1195929327.0,4.62,-4.43,-4.7,3.45
2023-03-06,300496,103.77,103.74,108.23,102.83,128930,1367016105.0,5.33,2.33,2.36,3.85
2023-03-07,300496,103.76,102.01,106.3,101.59,82496,862596345.0,4.54,-1.67,-1.73,2.47
2023-03-08,300496,101.33,101.83,103.81,100.93,48199,495152260.0,2.82,-0.18,-0.18,1.44
2023-03-09,300496,102.41,102.23,103.92,99.76,80980,830384522.0,4.09,0.39,0.4,2.42
2023-03-10,300496,100.93,99.53,101.93,99.03,59343,597078885.0,2.84,-2.64,-2.7,1.77
2023-03-13,300496,98.72,102.54,105.91,98.32,102696,1064614273.0,7.63,3.02,3.01,3.07
2023-03-14,300496,103.23,103.19,106.45,102.54,81266,851074215.0,3.81,0.63,0.65,2.43
2023-03-15,300496,104.23,103.55,106.43,103.11,62226,657175156.0,3.22,0.35,0.36,1.86
2023-03-16,300496,102.61,102.58,105.19,101.67,51861,539659823.0,3.4,-0.94,-0.97,1.55
2023-03-17,300496,103.83,108.22,108.81,103.83,119280,1287013816.0,4.85,5.5,5.64,3.56
2023-03-20,300496,107.83,102.53,111.89,101.11,141384,1523433458.0,9.96,-5.26,-5.69,4.23
2023-03-21,300496,102.5,101.98,103.81,100.23,51413,528426927.0,3.49,-0.54,-0.55,1.54
2023-03-22,300496,102.43,102.21,102.88,99.44,79842,813702557.0,3.37,0.23,0.23,2.39
2023-03-23,300496,101.48,114.43,114.45,101.33,146359,1599036011.0,12.84,11.96,12.22,4.37
2023-03-24,300496,113.63,114.73,116.92,112.04,133470,1537313605.0,4.26,0.26,0.3,3.99
2023-03-27,300496,115.65,111.58,121.07,111.24,164466,1915716330.0,8.57,-2.75,-3.15,4.92
2023-03-28,300496,111.12,106.84,111.58,106.29,125874,1368956677.0,4.74,-4.25,-4.74,3.76
2023-03-29,300496,106.84,107.55,109.73,105.87,80005,869715737.0,3.61,0.66,0.71,2.39
2023-03-30,300496,107.92,107.35,108.75,104.72,73166,783554675.0,3.75,-0.19,-0.2,2.19
2023-03-31,300496,107.31,107.92,108.57,103.45,86804,924788655.0,4.77,0.53,0.57,2.59
2023-04-03,300496,108.78,109.42,112.37,107.75,119739,1319529841.0,4.28,1.39,1.5,3.58
2023-04-04,300496,112.78,118.69,119.76,110.47,287542,3308856895.0,8.49,8.47,9.27,7.88
2023-04-06,300496,115.82,115.97,119.37,113.9,168096,1966667480.0,4.61,-2.29,-2.72,4.61
2023-04-07,300496,117.86,119.11,122.27,115.8,143175,1702049890.0,5.58,2.71,3.14,3.93
2023-04-10,300496,121.38,111.97,124.72,111.57,187728,2239037933.0,11.04,-5.99,-7.14,5.15
2023-04-11,300496,112.37,110.65,114.17,109.27,117478,1312135532.0,4.38,-1.18,-1.32,3.22
2023-04-12,300496,110.18,110.93,112.45,107.99,128631,1419810113.0,4.03,0.25,0.28,3.53
2023-04-13,300496,109.68,101.45,109.71,101.37,181865,1912399110.0,7.52,-8.55,-9.48,4.99
2023-04-14,300496,101.57,100.57,103.07,98.07,130545,1312002104.0,4.93,-0.87,-0.88,3.58
2023-04-17,300496,99.58,101.02,102.22,98.2,96343,973899288.0,4.0,0.45,0.45,2.64
2023-04-18,300496,100.19,99.23,100.77,98.66,82076,820134254.0,2.09,-1.77,-1.79,2.25
2023-04-19,300496,99.23,96.58,99.25,96.32,104069,1019721700.0,2.95,-2.67,-2.65,2.85
2023-04-20,300496,96.08,96.67,98.9,93.97,125678,1216085767.0,5.1,0.09,0.09,3.45
2023-04-21,300496,96.08,91.87,96.42,91.63,98937,930027964.0,4.96,-4.97,-4.8,2.71
2023-04-24,300496,91.87,87.58,91.95,86.75,122481,1091009117.0,5.66,-4.67,-4.29,3.36
2023-04-25,300496,87.58,84.55,88.22,83.79,91986,789629467.0,5.06,-3.46,-3.03,2.52
2023-04-26,300496,85.82,84.88,88.47,82.45,152583,1302143906.0,7.12,0.39,0.33,4.18
2023-04-27,300496,86.28,83.43,87.0,83.09,94082,800822132.0,4.61,-1.71,-1.45,2.58
2023-04-28,300496,83.08,84.06,84.23,82.93,84178,708071483.0,1.56,0.76,0.63,2.31
2023-05-04,300496,84.02,80.7,84.07,80.34,103216,846755303.0,4.44,-4.0,-3.36,2.83
2023-05-05,300496,80.47,79.81,81.35,79.37,69512,561120129.0,2.45,-1.1,-0.89,1.91
2023-05-08,300496,81.45,84.14,84.87,79.38,134496,1112758255.0,6.88,5.43,4.33,3.69
2023-05-09,300496,83.95,84.61,86.45,82.78,112157,955424874.0,4.36,0.56,0.47,3.08
2023-05-10,300496,85.01,86.94,88.46,84.44,119932,1041347691.0,4.75,2.75,2.33,3.29
2023-05-11,300496,91.57,88.87,93.46,88.57,152779,1394446228.0,5.62,2.22,1.93,4.19
2023-05-12,300496,88.46,89.2,90.45,86.96,92420,826766355.0,3.93,0.37,0.33,2.53
2023-05-15,300496,92.12,91.74,93.24,89.64,120366,1109589776.0,4.04,2.85,2.54,3.3
2023-05-16,300496,91.74,86.95,92.37,86.95,100261,894974066.0,5.91,-5.22,-4.79,2.75
2023-05-17,300496,85.99,87.85,90.94,85.88,84215,748344594.0,5.82,1.04,0.9,2.31
2023-05-18,300496,88.37,90.87,92.79,87.45,116628,1058133112.0,6.08,3.44,3.02,3.2
2023-05-19,300496,89.57,89.54,92.87,88.87,109432,998858834.0,4.4,-1.46,-1.33,3.0
2023-05-22,300496,89.77,87.75,90.15,87.02,69551,615237414.0,3.5,-2.0,-1.79,1.91
2023-05-23,300496,87.58,83.74,87.74,83.69,104290,892746887.0,4.62,-4.57,-4.01,2.86
2023-05-24,300496,83.54,83.67,85.04,83.17,61354,518683893.0,2.23,-0.08,-0.07,1.68
2023-05-25,300496,84.57,83.06,85.27,81.97,58981,493955999.0,3.94,-0.73,-0.61,1.62
2023-05-26,300496,83.38,83.02,83.5,81.79,49245,408992131.0,2.06,-0.05,-0.04,1.35
2023-05-29,300496,85.03,91.85,95.46,84.96,251089,2282135553.0,12.65,10.64,8.83,6.88
2023-05-30,300496,90.57,91.05,91.2,88.57,137877,1244018595.0,2.86,-0.87,-0.8,3.78
2023-05-31,300496,95.16,97.37,98.47,95.16,258506,2510750887.0,3.64,6.94,6.32,7.09
2023-06-01,300496,94.57,99.19,99.82,94.29,212128,2087758668.0,5.68,1.87,1.82,5.82
2023-06-02,300496,99.57,100.27,104.96,99.19,216976,2212574513.0,5.82,1.09,1.08,5.95
2023-06-05,300496,99.07,99.34,101.92,98.51,122012,1226211779.0,3.4,-0.93,-0.93,3.35
2023-06-06,300496,98.85,93.7,99.42,93.45,157193,1509341386.0,6.01,-5.68,-5.64,4.31
2023-06-07,300496,94.59,93.99,95.84,93.09,95518,906954148.0,2.93,0.31,0.29,2.62
2023-06-08,300496,97.56,94.89,99.75,93.88,124960,1205849497.0,6.25,0.96,0.9,3.43
2023-06-09,300496,95.84,96.84,97.12,92.34,123012,1169778662.0,5.04,2.06,1.95,3.37
2023-06-12,300496,98.78,103.45,105.87,98.28,266604,2751893143.0,7.84,6.83,6.61,7.31
2023-06-13,300496,103.42,104.73,106.23,102.08,176179,1844974354.0,4.01,1.24,1.28,4.83
2023-06-14,300496,104.57,103.55,105.95,102.09,103361,1074774916.0,3.69,-1.13,-1.18,2.83
2023-06-15,300496,103.54,103.42,107.37,103.0,127707,1343153535.0,4.22,-0.13,-0.13,3.5
2023-06-16,300496,101.89,107.2,110.27,99.57,216962,2277318204.0,10.35,3.66,3.78,5.95
2023-06-19,300496,110.23,110.87,115.05,108.77,258605,2902958646.0,5.86,3.42,3.67,7.09
2023-06-20,300496,108.85,111.36,112.37,107.85,134941,1495200216.0,4.08,0.44,0.49,3.7
2023-06-21,300496,110.92,106.27,111.42,106.17,118301,1282290264.0,4.71,-4.57,-5.09,3.24
2023-06-26,300496,104.55,102.27,109.55,101.57,131156,1383397287.0,7.51,-3.76,-4.0,3.6
2023-06-27,300496,102.59,103.87,104.57,101.08,81365,841784093.0,3.41,1.56,1.6,2.23
2023-06-28,300496,102.57,94.68,102.57,92.06,195753,1870374092.0,10.12,-8.85,-9.19,5.37
2023-06-29,300496,94.66,96.63,98.07,94.25,103055,995588144.0,4.03,2.06,1.95,2.83
2023-06-30,300496,96.37,95.92,96.78,93.04,106774,1019954164.0,3.87,-0.73,-0.71,2.92
2023-07-03,300496,96.22,97.15,99.74,95.98,90260,885327535.0,3.92,1.28,1.23,2.47
2023-07-04,300496,96.07,108.62,112.11,95.57,253965,2707317218.0,17.03,11.81,11.47,6.95
2023-07-05,300496,109.61,104.36,110.56,103.75,157766,1697431355.0,6.27,-3.92,-4.26,4.31
2023-07-06,300496,103.36,105.24,107.2,102.77,113478,1200574829.0,4.24,0.84,0.88,3.1
2023-07-07,300496,104.42,100.69,105.24,98.91,121039,1228509431.0,6.01,-4.32,-4.55,3.31
2023-07-10,300496,101.6,100.69,102.87,99.85,79526,807344399.0,3.0,0.0,0.0,2.17
2023-07-11,300496,100.09,104.65,105.73,98.35,139251,1431068028.0,7.33,3.93,3.96,3.81
2023-07-12,300496,104.65,100.87,106.19,100.57,105578,1095599594.0,5.37,-3.61,-3.78,2.89
2023-07-13,300496,100.9,99.37,101.57,97.72,136405,1361478153.0,3.82,-1.49,-1.5,3.73
2023-07-14,300496,99.27,99.64,100.91,98.68,84012,839760981.0,2.24,0.27,0.27,2.3
2023-07-17,300496,98.56,96.81,98.56,96.57,72591,710200107.0,2.0,-2.84,-2.83,1.99
2023-07-18,300496,97.37,96.87,98.44,96.75,52357,512928489.0,1.75,0.06,0.06,1.43
2023-07-19,300496,97.87,97.69,99.34,96.89,53611,527705433.0,2.53,0.85,0.82,1.47
2023-07-20,300496,97.47,91.09,97.62,90.9,132667,1241310356.0,6.88,-6.76,-6.6,3.63
2023-07-21,300496,90.77,89.22,90.96,88.19,80627,724306362.0,3.04,-2.05,-1.87,2.2
2023-07-24,300496,88.69,88.95,90.1,88.37,52610,471932156.0,1.94,-0.3,-0.27,1.44
2023-07-25,300496,90.02,90.1,91.4,88.88,85839,774829969.0,2.83,1.29,1.15,2.35
2023-07-26,300496,89.57,87.77,89.62,87.4,69058,610643899.0,2.46,-2.59,-2.33,1.89
2023-07-27,300496,90.57,87.52,92.0,87.52,88863,797239938.0,5.1,-0.28,-0.25,2.43
2023-07-28,300496,86.56,88.57,89.45,85.17,81867,721732855.0,4.89,1.2,1.05,2.24
2023-07-31,300496,88.57,89.92,90.74,87.21,59923,539872864.0,3.99,1.52,1.35,1.64
2023-08-01,300496,89.96,88.87,89.96,87.87,51625,460591614.0,2.32,-1.17,-1.05,1.41
2023-08-02,300496,88.6,88.88,89.58,87.95,33598,300160663.0,1.83,0.01,0.01,0.92
2023-08-03,300496,88.57,88.09,89.25,87.81,40112,355736379.0,1.62,-0.89,-0.79,1.1
2023-08-04,300496,88.07,89.63,90.57,87.57,72580,651257508.0,3.41,1.75,1.54,1.98
2023-08-07,300496,89.93,90.17,91.42,89.33,67296,611144890.0,2.33,0.6,0.54,1.84
2023-08-08,300496,89.91,89.55,90.59,89.43,38538,348303044.0,1.29,-0.69,-0.62,1.05
2023-08-09,300496,89.47,87.42,89.76,87.16,60299,532683520.0,2.9,-2.38,-2.13,1.65
2023-08-10,300496,87.38,87.18,87.79,86.07,45291,395131079.0,1.97,-0.27,-0.24,1.24
2023-08-11,300496,87.07,85.26,87.6,85.23,38267,332038804.0,2.72,-2.2,-1.92,1.05
