date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,600845,29.11,30.22,30.41,28.91,128781,589909424.0,5.15,3.78,1.1,0.9
2023-01-04,600845,30.18,30.05,30.75,29.63,69151,318988110.0,3.71,-0.56,-0.17,0.48
2023-01-05,600845,30.07,29.96,30.39,29.84,40353,186097916.0,1.83,-0.3,-0.09,0.28
2023-01-06,600845,29.96,29.68,30.16,29.64,35871,164304390.0,1.74,-0.93,-0.28,0.25
2023-01-09,600845,29.74,29.41,29.87,29.41,39844,181017468.0,1.55,-0.91,-0.27,0.28
2023-01-10,600845,29.47,29.46,29.74,29.16,35230,159330782.0,1.97,0.17,0.05,0.25
2023-01-11,600845,29.48,29.19,29.52,28.87,43423,194857951.0,2.21,-0.92,-0.27,0.3
2023-01-12,600845,29.12,29.71,30.01,28.99,40779,185595369.0,3.49,1.78,0.52,0.28
2023-01-13,600845,29.61,29.92,29.96,29.33,34391,157456031.0,2.12,0.71,0.21,0.24
2023-01-16,600845,29.93,29.84,30.34,29.75,35997,165914462.0,1.97,-0.27,-0.08,0.25
2023-01-17,600845,29.87,30.12,30.3,29.68,50871,234972728.0,2.08,0.94,0.28,0.35
2023-01-18,600845,30.21,30.86,31.26,30.01,74434,351370480.0,4.15,2.46,0.74,0.52
2023-01-19,600845,31.18,31.52,31.68,30.93,53741,258237601.0,2.43,2.14,0.66,0.37
2023-01-20,600845,31.97,32.94,34.82,31.97,163034,835909046.0,9.04,4.51,1.42,1.13
2023-01-30,600845,33.21,32.79,33.5,32.35,80900,405730067.0,3.49,-0.46,-0.15,0.56
2023-01-31,600845,32.91,32.75,33.29,32.59,60723,305495600.0,2.13,-0.12,-0.04,0.42
2023-02-01,600845,32.75,32.39,32.77,32.04,60605,299575176.0,2.23,-1.1,-0.36,0.42
2023-02-02,600845,32.55,31.93,32.66,31.8,71209,349681605.0,2.66,-1.42,-0.46,0.5
2023-02-03,600845,31.77,32.82,32.94,31.73,57866,287162909.0,3.79,2.79,0.89,0.4
2023-02-06,600845,32.82,33.14,33.3,32.48,53960,272121090.0,2.5,0.98,0.32,0.38
2023-02-07,600845,32.96,32.39,33.07,32.39,32343,161461735.0,2.05,-2.26,-0.75,0.23
2023-02-08,600845,32.46,32.07,32.64,31.96,35196,172994908.0,2.1,-0.99,-0.32,0.24
2023-02-09,600845,32.46,32.25,32.46,31.76,45307,222176309.0,2.18,0.56,0.18,0.32
2023-02-10,600845,32.35,31.7,32.64,31.41,62695,304490535.0,3.81,-1.71,-0.55,0.44
2023-02-13,600845,31.73,31.66,32.15,31.48,59207,287423243.0,2.11,-0.13,-0.04,0.41
2023-02-14,600845,31.83,31.87,32.27,31.73,53931,263987397.0,1.71,0.66,0.21,0.38
2023-02-15,600845,31.81,32.62,32.71,31.81,49125,243652592.0,2.82,2.35,0.75,0.34
2023-02-16,600845,32.44,32.88,34.37,32.44,118535,603225753.0,5.92,0.8,0.26,0.82
2023-02-17,600845,32.91,31.22,33.22,31.12,90175,437994500.0,6.39,-5.05,-1.66,0.63
2023-02-20,600845,31.27,32.75,32.87,31.06,66509,328645246.0,5.8,4.9,1.53,0.46
2023-02-21,600845,32.67,31.87,32.93,31.62,61001,298503112.0,4.0,-2.69,-0.88,0.42
2023-02-22,600845,31.72,31.89,32.31,31.66,46891,229127906.0,2.04,0.06,0.02,0.33
2023-02-23,600845,31.83,31.29,31.96,31.13,39346,189349322.0,2.6,-1.88,-0.6,0.27
2023-02-24,600845,31.34,32.16,32.41,31.2,52768,258272315.0,3.87,2.78,0.87,0.37
2023-02-27,600845,32.04,32.5,33.01,31.73,40660,202436207.0,3.98,1.06,0.34,0.28
2023-02-28,600845,33.26,32.38,33.66,32.17,77193,386544699.0,4.58,-0.37,-0.12,0.54
2023-03-01,600845,32.21,33.68,33.72,32.15,67384,341316347.0,4.85,4.01,1.3,0.47
2023-03-02,600845,33.64,33.44,33.93,33.14,42699,218381042.0,2.35,-0.71,-0.24,0.3
2023-03-03,600845,33.23,33.18,33.42,32.93,28288,143128990.0,1.47,-0.78,-0.26,0.2
