date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,601360,6.24,6.44,6.45,6.2,395655,263973542.0,4.01,3.21,0.2,0.55
2023-01-04,601360,6.44,6.5,6.5,6.41,372649,251973075.0,1.4,0.93,0.06,0.52
2023-01-05,601360,6.5,6.48,6.51,6.45,210570,142793393.0,0.92,-0.31,-0.02,0.29
2023-01-06,601360,6.47,6.43,6.49,6.41,191053,128824252.0,1.23,-0.77,-0.05,0.27
2023-01-09,601360,6.43,6.45,6.51,6.43,176322,119216014.0,1.24,0.31,0.02,0.25
2023-01-10,601360,6.45,6.5,6.53,6.4,233783,158580203.0,2.02,0.78,0.05,0.33
2023-01-11,601360,6.48,6.37,6.49,6.36,234215,157327458.0,2.0,-2.0,-0.13,0.33
2023-01-12,601360,6.38,6.4,6.45,6.32,195174,130484752.0,2.04,0.47,0.03,0.27
2023-01-13,601360,6.4,6.42,6.43,6.37,148628,99511658.0,0.94,0.31,0.02,0.21
2023-01-16,601360,6.46,6.55,6.59,6.46,490812,336439255.0,2.02,2.02,0.13,0.69
2023-01-17,601360,6.56,6.5,6.57,6.46,233206,158778339.0,1.68,-0.76,-0.05,0.33
2023-01-18,601360,6.51,6.65,6.68,6.48,382627,264772139.0,3.08,2.31,0.15,0.54
2023-01-19,601360,6.6,6.74,6.77,6.6,381431,267249202.0,2.56,1.35,0.09,0.53
2023-01-20,601360,6.74,6.74,6.79,6.69,352812,248280856.0,1.48,0.0,0.0,0.49
2023-01-30,601360,6.81,6.81,6.86,6.76,433686,308283378.0,1.48,1.04,0.07,0.61
2023-01-31,601360,6.77,6.7,6.8,6.67,456708,320521997.0,1.91,-1.62,-0.11,0.64
2023-02-01,601360,6.71,6.89,6.9,6.7,616131,437914840.0,2.99,2.84,0.19,0.86
2023-02-02,601360,6.89,6.84,6.93,6.83,416037,298336463.0,1.45,-0.73,-0.05,0.58
2023-02-03,601360,6.83,6.97,7.03,6.76,618842,444841016.0,3.95,1.9,0.13,0.87
2023-02-06,601360,6.93,6.99,7.11,6.9,683763,499174842.0,3.01,0.29,0.02,0.96
2023-02-07,601360,6.95,7.72,7.72,6.89,1313618,1009027218.0,11.87,10.44,0.73,1.84
2023-02-08,601360,8.52,8.52,8.52,8.52,347093,306135858.0,0.0,10.36,0.8,0.49
2023-02-09,601360,9.4,9.4,9.4,8.96,4496078,4309951689.0,5.16,10.33,0.88,6.29
2023-02-10,601360,9.6,9.07,9.86,9.01,6009744,5829711940.0,9.04,-3.51,-0.33,8.41
2023-02-13,601360,8.96,9.39,9.58,8.95,4482778,4316588327.0,6.95,3.53,0.32,6.27
2023-02-14,601360,9.43,9.88,10.36,9.42,4852687,4974696489.0,10.01,5.22,0.49,6.79
2023-02-15,601360,10.04,10.9,10.9,9.75,5834654,6230190057.0,11.64,10.32,1.02,8.17
2023-02-16,601360,10.7,10.54,11.28,10.38,5469705,6063731836.0,8.26,-3.3,-0.36,7.65
2023-02-17,601360,10.43,9.71,10.62,9.67,3986991,4101467755.0,9.01,-7.87,-0.83,5.58
2023-02-20,601360,9.81,10.71,10.71,9.72,4036655,4244858322.0,10.2,10.3,1.0,5.65
2023-02-21,601360,11.01,11.58,11.8,10.71,5936995,6937569233.0,10.18,8.12,0.87,8.31
2023-02-22,601360,11.5,11.35,11.54,10.9,4045005,4669115287.0,5.53,-1.99,-0.23,5.66
2023-02-23,601360,11.38,10.89,11.53,10.84,3962152,4539036070.0,6.08,-4.05,-0.46,5.55
2023-02-24,601360,11.0,11.42,11.67,10.68,4416282,5073481069.0,9.09,4.87,0.53,6.18
2023-02-27,601360,11.1,10.46,11.27,10.31,4293263,4754642679.0,8.41,-8.41,-0.96,6.01
2023-02-28,601360,10.59,10.49,10.6,10.06,3329407,3536597768.0,5.16,0.29,0.03,4.66
2023-03-01,601360,10.39,11.01,11.28,10.33,4358719,4867377989.0,9.06,4.96,0.52,6.1
