date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2023-01-03,688568,18.74,19.02,19.22,18.39,10568,67147232.0,4.48,2.7,0.5,0.99
2023-01-04,688568,18.95,19.07,19.26,18.81,12494,79511851.0,2.37,0.26,0.05,1.17
2023-01-05,688568,18.99,18.98,19.2,18.8,7022,44642577.0,2.1,-0.47,-0.09,0.66
2023-01-06,688568,19.08,18.35,19.08,18.28,20708,128161494.0,4.21,-3.32,-0.63,1.94
2023-01-09,688568,18.35,18.12,18.53,18.09,9386,57332094.0,2.4,-1.25,-0.23,0.88
2023-01-10,688568,18.36,18.15,18.36,17.9,6338,38595538.0,2.54,0.17,0.03,0.59
2023-01-11,688568,18.04,17.84,18.17,17.84,7049,42436286.0,1.82,-1.71,-0.31,0.66
2023-01-12,688568,17.78,17.84,18.02,17.57,6468,38511613.0,2.52,0.0,0.0,0.61
2023-01-13,688568,17.78,17.72,18.2,17.5,6797,40345222.0,3.92,-0.67,-0.12,0.64
2023-01-16,688568,17.9,18.07,18.3,17.75,6244,37847123.0,3.1,1.98,0.35,0.59
2023-01-17,688568,18.05,18.15,18.29,17.97,4726,28713620.0,1.77,0.44,0.08,0.44
2023-01-18,688568,18.12,18.41,18.44,17.91,5659,34757877.0,2.92,1.43,0.26,0.53
2023-01-19,688568,18.4,19.41,19.51,18.33,18163,116480079.0,6.41,5.43,1.0,1.38
2023-01-20,688568,19.35,19.63,19.98,19.05,8461,55739908.0,4.79,1.13,0.22,0.64
2023-01-30,688568,19.72,19.53,19.92,19.42,16750,110188504.0,2.55,-0.51,-0.1,1.27
2023-01-31,688568,19.48,19.05,19.54,18.96,9292,59761905.0,2.97,-2.46,-0.48,0.7
2023-02-01,688568,19.11,19.62,19.86,19.03,11615,75906545.0,4.36,2.99,0.57,0.88
2023-02-02,688568,19.81,19.94,20.11,19.64,14420,96058162.0,2.4,1.63,0.32,1.09
2023-02-03,688568,19.64,20.1,20.16,19.64,12044,80469033.0,2.61,0.8,0.16,0.91
2023-02-06,688568,20.17,20.22,20.53,19.95,10198,69104025.0,2.89,0.6,0.12,0.77
2023-02-07,688568,20.14,19.96,20.2,19.65,12833,85438799.0,2.72,-1.29,-0.26,0.97
2023-02-08,688568,19.95,19.74,20.17,19.45,9487,62536927.0,3.61,-1.1,-0.22,0.72
2023-02-09,688568,19.72,20.08,20.11,19.44,12603,84156781.0,3.39,1.72,0.34,0.96
2023-02-10,688568,19.84,19.8,20.13,19.69,10296,68548149.0,2.19,-1.39,-0.28,0.78
2023-02-13,688568,19.74,19.87,20.02,19.6,12254,81179298.0,2.12,0.35,0.07,0.93
2023-02-14,688568,20.02,19.85,20.13,19.71,7699,51192602.0,2.11,-0.1,-0.02,0.58
2023-02-15,688568,19.96,20.77,21.02,19.72,23819,164049475.0,6.55,4.63,0.92,1.81
2023-02-16,688568,20.91,20.47,21.14,20.43,17770,123505261.0,3.42,-1.44,-0.3,1.35
2023-02-17,688568,20.63,19.94,20.65,19.81,12900,86711346.0,4.1,-2.59,-0.53,0.98
2023-02-20,688568,19.78,20.29,20.47,19.61,8181,55047193.0,4.31,1.76,0.35,0.62
2023-02-21,688568,20.47,20.16,20.74,20.02,9010,61011059.0,3.55,-0.64,-0.13,0.68
2023-02-22,688568,20.04,20.6,20.76,20.01,9985,68405500.0,3.72,2.18,0.44,0.76
2023-02-23,688568,20.55,20.64,21.53,20.48,24862,174370478.0,5.1,0.19,0.04,1.89
2023-02-24,688568,20.64,20.98,21.33,20.51,16631,116910359.0,3.97,1.65,0.34,1.26
2023-02-27,688568,20.84,21.65,22.2,20.84,31369,228136986.0,6.48,3.19,0.67,2.38
2023-02-28,688568,21.27,21.59,22.02,21.06,37943,274249416.0,4.43,-0.28,-0.06,2.88
2023-03-01,688568,21.5,22.24,22.45,21.41,42013,308587434.0,4.82,3.01,0.65,3.19
2023-03-02,688568,22.29,22.59,23.13,22.02,32393,245423532.0,4.99,1.57,0.35,2.46
2023-03-03,688568,22.44,22.21,22.56,21.99,14246,105987150.0,2.52,-1.68,-0.38,1.08
2023-03-06,688568,22.51,22.28,23.22,22.21,17843,135129424.0,4.55,0.32,0.07,1.35
2023-03-07,688568,22.28,21.5,22.34,21.47,20628,150599704.0,3.9,-3.5,-0.78,1.56
2023-03-08,688568,21.64,21.81,22.29,21.52,13478,98657025.0,3.58,1.44,0.31,1.02
2023-03-09,688568,21.83,22.08,22.24,21.74,10992,80994807.0,2.29,1.24,0.27,0.83
2023-03-10,688568,21.87,22.31,22.92,21.71,21884,164297931.0,5.48,1.04,0.23,1.66
2023-03-13,688568,22.12,23.34,23.38,22.05,21471,165501308.0,5.96,4.62,1.03,1.63
2023-03-14,688568,23.36,23.08,23.52,22.55,19971,153642303.0,4.16,-1.11,-0.26,1.51
2023-03-15,688568,23.06,23.16,23.4,22.77,11412,88083688.0,2.73,0.35,0.08,0.87
2023-03-16,688568,23.04,22.34,23.16,22.15,13730,103375440.0,4.36,-3.54,-0.82,1.04
2023-03-17,688568,22.53,22.44,22.98,22.32,15395,116382149.0,2.95,0.45,0.1,1.17
2023-03-20,688568,22.62,22.11,23.19,22.02,14639,110332066.0,5.21,-1.47,-0.33,1.11
2023-03-21,688568,22.22,22.44,22.61,22.08,10988,82359872.0,2.4,1.49,0.33,0.83
2023-03-22,688568,22.43,22.75,22.92,22.18,12944,97436433.0,3.3,1.38,0.31,0.98
2023-03-23,688568,22.54,22.73,22.77,22.06,15520,116439408.0,3.12,-0.09,-0.02,1.18
2023-03-24,688568,22.68,23.94,24.12,22.38,25720,202421552.0,7.66,5.32,1.21,1.95
2023-03-27,688568,23.88,24.1,24.9,23.74,23894,193464782.0,4.85,0.67,0.16,1.81
2023-03-28,688568,24.25,23.55,24.25,23.29,18632,147386058.0,3.98,-2.28,-0.55,1.41
2023-03-29,688568,23.47,23.65,24.49,23.09,18417,146004202.0,5.94,0.42,0.1,1.4
2023-03-30,688568,23.54,23.08,23.78,22.84,12769,99248514.0,3.97,-2.41,-0.57,0.97
2023-03-31,688568,23.08,23.51,23.53,22.47,16419,126308942.0,4.59,1.86,0.43,1.24
2023-04-03,688568,23.29,23.93,24.13,23.01,17061,134476625.0,4.76,1.79,0.42,1.29
2023-04-04,688568,23.9,24.86,25.13,23.58,36558,297612813.0,6.48,3.89,0.93,2.77
2023-04-06,688568,24.54,25.31,25.45,24.26,20300,169546048.0,4.79,1.81,0.45,1.54
2023-04-07,688568,25.26,25.87,26.3,24.83,23796,203652486.0,5.81,2.21,0.56,1.8
