代码,名称,板块
688256,寒武纪,上游_AI芯片
688008,澜起科技,上游_AI芯片
688385,复旦微电,上游_AI芯片
688521,芯原股份,上游_AI芯片
300474,景嘉微,上游_AI芯片
603893,瑞芯微,上游_AI芯片
300223,北京君正,上游_AI芯片
301536,星宸科技,上游_AI芯片
300458,全志科技,上游_AI芯片
603160,汇顶科技,上游_AI芯片
688018,乐鑫科技,上游_AI芯片
688099,晶晨股份,上游_AI芯片
688608,恒玄科技,上游_AI芯片
603501,韦尔股份,上游_AI芯片
002281,光迅科技,上游_光通信
300502,新易盛,上游_光通信
300308,中际旭创,上游_光通信
000977,浪潮信息,上游_算力基础设施
000938,紫光股份,上游_算力基础设施
603019,中科曙光,上游_算力基础设施
600100,同方股份,上游_算力基础设施
002261,拓维信息,上游_算力基础设施
300857,协创数据,上游_算力基础设施
300442,润泽科技,上游_算力基础设施
300383,光环新网,上游_算力基础设施
002230,科大讯飞,中游_大模型与AI技术
300418,昆仑万维,中游_大模型与AI技术
300002,神州泰岳,中游_大模型与AI技术
688615,合合信息,中游_大模型与AI技术
002555,三七互娱,中游_大模型与AI技术
002415,海康威视,中游_计算机视觉
002236,大华股份,中游_计算机视觉
688322,奥比中光,中游_计算机视觉
688475,萤石网络,中游_计算机视觉
300454,深信服,中游_软件与云平台
002065,东华软件,中游_软件与云平台
002152,广电运通,中游_软件与云平台
600845,宝信软件,中游_软件与云平台
688568,中科星图,中游_软件与云平台
000032,深桑达A,中游_软件与云平台
600536,中国软件,中游_软件与云平台
688111,金山办公,中游_软件与云平台
600588,用友网络,中游_软件与云平台
300496,中科创达,中游_软件与云平台
601360,三六零,中游_软件与云平台
002920,德赛西威,下游_智能驾驶与汽车
600699,均胜电子,下游_智能驾驶与汽车
603486,科沃斯,下游_智能终端与机器人
688169,石头科技,下游_智能终端与机器人
002402,和而泰,下游_智能终端与机器人
